#    L    TT             EE             BB             TE          
     2   0.100723E+04   0.486783E-01   0.119349E-05   0.299387E+01
     3   0.938476E+03   0.784421E-01   0.238744E-05   0.375386E+01
     4   0.874681E+03   0.868668E-01   0.398008E-05   0.385517E+01
     5   0.825507E+03   0.758286E-01   0.597200E-05   0.356543E+01
     6   0.789668E+03   0.551013E-01   0.836394E-05   0.309421E+01
     7   0.764845E+03   0.345308E-01   0.111568E-04   0.257369E+01
     8   0.748262E+03   0.197443E-01   0.143515E-04   0.208331E+01
     9   0.737921E+03   0.116873E-01   0.179492E-04   0.166372E+01
    10   0.732329E+03   0.845138E-02   0.219511E-04   0.133713E+01
    11   0.730040E+03   0.747018E-02   0.263585E-04   0.111101E+01
    12   0.731305E+03   0.699345E-02   0.311729E-04   0.983643E+00
    13   0.734567E+03   0.623913E-02   0.363956E-04   0.933593E+00
    14   0.739056E+03   0.542510E-02   0.420282E-04   0.934963E+00
    15   0.744892E+03   0.481177E-02   0.480724E-04   0.970630E+00
    16   0.752279E+03   0.457280E-02   0.545296E-04   0.102665E+01
    17   0.761179E+03   0.471288E-02   0.614015E-04   0.108984E+01
    18   0.770749E+03   0.500795E-02   0.686898E-04   0.115016E+01
    19   0.781914E+03   0.533679E-02   0.763961E-04   0.120259E+01
    20   0.793064E+03   0.568389E-02   0.845219E-04   0.124236E+01
    21   0.804487E+03   0.608655E-02   0.930688E-04   0.127496E+01
    22   0.816396E+03   0.666701E-02   0.102038E-03   0.130623E+01
    23   0.828638E+03   0.747517E-02   0.111432E-03   0.133788E+01
    24   0.841309E+03   0.850442E-02   0.121251E-03   0.137071E+01
    25   0.854296E+03   0.976590E-02   0.131497E-03   0.140600E+01
    26   0.867375E+03   0.112310E-01   0.142171E-03   0.144588E+01
    27   0.880902E+03   0.128586E-01   0.153274E-03   0.148814E+01
    28   0.894827E+03   0.146375E-01   0.164807E-03   0.153068E+01
    29   0.909069E+03   0.165735E-01   0.176770E-03   0.157098E+01
    30   0.923392E+03   0.186807E-01   0.189166E-03   0.160538E+01
    31   0.937723E+03   0.209500E-01   0.201993E-03   0.163244E+01
    32   0.952403E+03   0.233609E-01   0.215254E-03   0.165089E+01
    33   0.967478E+03   0.259203E-01   0.228947E-03   0.165813E+01
    34   0.982796E+03   0.286527E-01   0.243074E-03   0.165316E+01
    35   0.998276E+03   0.315781E-01   0.257633E-03   0.163975E+01
    36   0.101380E+04   0.347170E-01   0.272627E-03   0.162038E+01
    37   0.102939E+04   0.380629E-01   0.288053E-03   0.159164E+01
    38   0.104536E+04   0.416129E-01   0.303912E-03   0.155177E+01
    39   0.106169E+04   0.453765E-01   0.320203E-03   0.150264E+01
    40   0.107812E+04   0.493721E-01   0.336926E-03   0.144681E+01
    41   0.109475E+04   0.536187E-01   0.354080E-03   0.138581E+01
    42   0.111135E+04   0.581176E-01   0.371664E-03   0.131784E+01
    43   0.112808E+04   0.628657E-01   0.389678E-03   0.124026E+01
    44   0.114479E+04   0.678450E-01   0.408120E-03   0.115133E+01
    45   0.116185E+04   0.730478E-01   0.426991E-03   0.104938E+01
    46   0.117920E+04   0.784712E-01   0.446287E-03   0.931452E+00
    47   0.119669E+04   0.841173E-01   0.466010E-03   0.799319E+00
    48   0.121425E+04   0.899965E-01   0.486156E-03   0.658593E+00
    49   0.123196E+04   0.960971E-01   0.506727E-03   0.514290E+00
    50   0.125004E+04   0.102400E+00   0.527719E-03   0.364642E+00
    51   0.126828E+04   0.108880E+00   0.549133E-03   0.206063E+00
    52   0.128688E+04   0.115621E+00   0.570967E-03   0.333213E-01
    53   0.130547E+04   0.122765E+00   0.593221E-03  -0.157371E+00
    54   0.132396E+04   0.130302E+00   0.615893E-03  -0.361834E+00
    55   0.134257E+04   0.138203E+00   0.638982E-03  -0.575769E+00
    56   0.136151E+04   0.146323E+00   0.662488E-03  -0.800963E+00
    57   0.138071E+04   0.154556E+00   0.686411E-03  -0.103722E+01
    58   0.140019E+04   0.162915E+00   0.710749E-03  -0.128510E+01
    59   0.141980E+04   0.171440E+00   0.735502E-03  -0.154515E+01
    60   0.143957E+04   0.180191E+00   0.760670E-03  -0.181651E+01
    61   0.145979E+04   0.189261E+00   0.786252E-03  -0.209821E+01
    62   0.147987E+04   0.198637E+00   0.812250E-03  -0.239123E+01
    63   0.150005E+04   0.208275E+00   0.838662E-03  -0.269666E+01
    64   0.152061E+04   0.218183E+00   0.865489E-03  -0.301582E+01
    65   0.154118E+04   0.228333E+00   0.892732E-03  -0.334942E+01
    66   0.156207E+04   0.238656E+00   0.920390E-03  -0.369570E+01
    67   0.158310E+04   0.249157E+00   0.948466E-03  -0.405188E+01
    68   0.160453E+04   0.259880E+00   0.976959E-03  -0.441628E+01
    69   0.162613E+04   0.270792E+00   0.100587E-02  -0.478712E+01
    70   0.164800E+04   0.281936E+00   0.103520E-02  -0.516605E+01
    71   0.167000E+04   0.293305E+00   0.106496E-02  -0.555544E+01
    72   0.169215E+04   0.304869E+00   0.109513E-02  -0.595661E+01
    73   0.171443E+04   0.316590E+00   0.112573E-02  -0.637010E+01
    74   0.173689E+04   0.328450E+00   0.115676E-02  -0.679496E+01
    75   0.175964E+04   0.340456E+00   0.118821E-02  -0.722968E+01
    76   0.178265E+04   0.352604E+00   0.122010E-02  -0.767359E+01
    77   0.180596E+04   0.364893E+00   0.125242E-02  -0.812669E+01
    78   0.182961E+04   0.377356E+00   0.128517E-02  -0.859061E+01
    79   0.185339E+04   0.389943E+00   0.131836E-02  -0.906177E+01
    80   0.187742E+04   0.402668E+00   0.135199E-02  -0.954180E+01
    81   0.190158E+04   0.415485E+00   0.138606E-02  -0.100313E+02
    82   0.192595E+04   0.428415E+00   0.142057E-02  -0.105293E+02
    83   0.195049E+04   0.441428E+00   0.145553E-02  -0.110353E+02
    84   0.197527E+04   0.454518E+00   0.149094E-02  -0.115471E+02
    85   0.200018E+04   0.467658E+00   0.152681E-02  -0.120658E+02
    86   0.202530E+04   0.480858E+00   0.156312E-02  -0.125901E+02
    87   0.205084E+04   0.494088E+00   0.159990E-02  -0.131194E+02
    88   0.207636E+04   0.507368E+00   0.163713E-02  -0.136539E+02
    89   0.210223E+04   0.520686E+00   0.167483E-02  -0.141953E+02
    90   0.212828E+04   0.534007E+00   0.171299E-02  -0.147407E+02
    91   0.215444E+04   0.547328E+00   0.175162E-02  -0.152911E+02
    92   0.218086E+04   0.560636E+00   0.179072E-02  -0.158459E+02
    93   0.220753E+04   0.573925E+00   0.183029E-02  -0.164050E+02
    94   0.223425E+04   0.587159E+00   0.187034E-02  -0.169672E+02
    95   0.226122E+04   0.600342E+00   0.191087E-02  -0.175332E+02
    96   0.228816E+04   0.613459E+00   0.195187E-02  -0.181023E+02
    97   0.231552E+04   0.626499E+00   0.199336E-02  -0.186739E+02
    98   0.234306E+04   0.639455E+00   0.203533E-02  -0.192459E+02
    99   0.237065E+04   0.652291E+00   0.207779E-02  -0.198212E+02
   100   0.239851E+04   0.665012E+00   0.212074E-02  -0.203955E+02
   101   0.242649E+04   0.677676E+00   0.216418E-02  -0.209719E+02
   102   0.245496E+04   0.690138E+00   0.220812E-02  -0.215481E+02
   103   0.248333E+04   0.702474E+00   0.225255E-02  -0.221251E+02
   104   0.251191E+04   0.714686E+00   0.229748E-02  -0.226999E+02
   105   0.254061E+04   0.726702E+00   0.234290E-02  -0.232741E+02
   106   0.256951E+04   0.738598E+00   0.238884E-02  -0.238469E+02
   107   0.259832E+04   0.750226E+00   0.243527E-02  -0.244171E+02
   108   0.262748E+04   0.761664E+00   0.248222E-02  -0.249854E+02
   109   0.265678E+04   0.772839E+00   0.252967E-02  -0.255504E+02
   110   0.268614E+04   0.783752E+00   0.257763E-02  -0.261107E+02
   111   0.271563E+04   0.794481E+00   0.262611E-02  -0.266679E+02
   112   0.274525E+04   0.804952E+00   0.267511E-02  -0.272212E+02
   113   0.277509E+04   0.815166E+00   0.272462E-02  -0.277693E+02
   114   0.280498E+04   0.825050E+00   0.277466E-02  -0.283113E+02
   115   0.283509E+04   0.834754E+00   0.282522E-02  -0.288473E+02
   116   0.286517E+04   0.844057E+00   0.287631E-02  -0.293767E+02
   117   0.289554E+04   0.853034E+00   0.292793E-02  -0.298987E+02
   118   0.292605E+04   0.861834E+00   0.298008E-02  -0.304140E+02
   119   0.295653E+04   0.870311E+00   0.303277E-02  -0.309206E+02
   120   0.298715E+04   0.878317E+00   0.308600E-02  -0.314184E+02
   121   0.301775E+04   0.886151E+00   0.313978E-02  -0.319074E+02
   122   0.304841E+04   0.893517E+00   0.319411E-02  -0.323870E+02
   123   0.307913E+04   0.900489E+00   0.324899E-02  -0.328572E+02
   124   0.310990E+04   0.907144E+00   0.330442E-02  -0.333150E+02
   125   0.314065E+04   0.913410E+00   0.336042E-02  -0.337627E+02
   126   0.317146E+04   0.919360E+00   0.341699E-02  -0.341996E+02
   127   0.320225E+04   0.924848E+00   0.347412E-02  -0.346251E+02
   128   0.323303E+04   0.930024E+00   0.353183E-02  -0.350383E+02
   129   0.326385E+04   0.934741E+00   0.359013E-02  -0.354385E+02
   130   0.329466E+04   0.938999E+00   0.364901E-02  -0.358252E+02
   131   0.332545E+04   0.942949E+00   0.370848E-02  -0.361997E+02
   132   0.335629E+04   0.946442E+00   0.376855E-02  -0.365593E+02
   133   0.338704E+04   0.949552E+00   0.382922E-02  -0.369061E+02
   134   0.341778E+04   0.952280E+00   0.389050E-02  -0.372359E+02
   135   0.344851E+04   0.954552E+00   0.395240E-02  -0.375515E+02
   136   0.347908E+04   0.956366E+00   0.401492E-02  -0.378496E+02
   137   0.350964E+04   0.957798E+00   0.407807E-02  -0.381322E+02
   138   0.354013E+04   0.958774E+00   0.414185E-02  -0.383980E+02
   139   0.357039E+04   0.959442E+00   0.420627E-02  -0.386464E+02
   140   0.360072E+04   0.959580E+00   0.427134E-02  -0.388781E+02
   141   0.363083E+04   0.959261E+00   0.433706E-02  -0.390911E+02
   142   0.366095E+04   0.958560E+00   0.440344E-02  -0.392860E+02
   143   0.369100E+04   0.957478E+00   0.447048E-02  -0.394630E+02
   144   0.372084E+04   0.955939E+00   0.453820E-02  -0.396215E+02
   145   0.375053E+04   0.954093E+00   0.460659E-02  -0.397607E+02
   146   0.378032E+04   0.951717E+00   0.467566E-02  -0.398808E+02
   147   0.380975E+04   0.949034E+00   0.474543E-02  -0.399803E+02
   148   0.383905E+04   0.945895E+00   0.481588E-02  -0.400607E+02
   149   0.386829E+04   0.942374E+00   0.488704E-02  -0.401207E+02
   150   0.389726E+04   0.938547E+00   0.495890E-02  -0.401582E+02
   151   0.392611E+04   0.934338E+00   0.503146E-02  -0.401761E+02
   152   0.395468E+04   0.929671E+00   0.510474E-02  -0.401729E+02
   153   0.398313E+04   0.924694E+00   0.517874E-02  -0.401466E+02
   154   0.401138E+04   0.919404E+00   0.525346E-02  -0.400992E+02
   155   0.403943E+04   0.913798E+00   0.532890E-02  -0.400301E+02
   156   0.406714E+04   0.907877E+00   0.540507E-02  -0.399392E+02
   157   0.409479E+04   0.901636E+00   0.548198E-02  -0.398252E+02
   158   0.412218E+04   0.895149E+00   0.555961E-02  -0.396887E+02
   159   0.414929E+04   0.888264E+00   0.563798E-02  -0.395297E+02
   160   0.417620E+04   0.881129E+00   0.571709E-02  -0.393468E+02
   161   0.420292E+04   0.873816E+00   0.579694E-02  -0.391414E+02
   162   0.422936E+04   0.866175E+00   0.587752E-02  -0.389136E+02
   163   0.425568E+04   0.858276E+00   0.595885E-02  -0.386618E+02
   164   0.428158E+04   0.850194E+00   0.604092E-02  -0.383877E+02
   165   0.430736E+04   0.841851E+00   0.612372E-02  -0.380889E+02
   166   0.433286E+04   0.833394E+00   0.620727E-02  -0.377669E+02
   167   0.435817E+04   0.824599E+00   0.629155E-02  -0.374226E+02
   168   0.438305E+04   0.815834E+00   0.637657E-02  -0.370536E+02
   169   0.440767E+04   0.806801E+00   0.646233E-02  -0.366600E+02
   170   0.443201E+04   0.797720E+00   0.654881E-02  -0.362432E+02
   171   0.445593E+04   0.788589E+00   0.663603E-02  -0.358011E+02
   172   0.447951E+04   0.779333E+00   0.672397E-02  -0.353352E+02
   173   0.450266E+04   0.769948E+00   0.681263E-02  -0.348454E+02
   174   0.452555E+04   0.760731E+00   0.690202E-02  -0.343317E+02
   175   0.454809E+04   0.751381E+00   0.699212E-02  -0.337935E+02
   176   0.457013E+04   0.742120E+00   0.708293E-02  -0.332307E+02
   177   0.459184E+04   0.732869E+00   0.717445E-02  -0.326447E+02
   178   0.461312E+04   0.723848E+00   0.726666E-02  -0.320342E+02
   179   0.463399E+04   0.714754E+00   0.735958E-02  -0.313991E+02
   180   0.465459E+04   0.705807E+00   0.745319E-02  -0.307408E+02
   181   0.467471E+04   0.697003E+00   0.754748E-02  -0.300593E+02
   182   0.469442E+04   0.688412E+00   0.764245E-02  -0.293532E+02
   183   0.471364E+04   0.679954E+00   0.773809E-02  -0.286239E+02
   184   0.473253E+04   0.671702E+00   0.783440E-02  -0.278706E+02
   185   0.475102E+04   0.663798E+00   0.793138E-02  -0.270956E+02
   186   0.476873E+04   0.656098E+00   0.802901E-02  -0.262959E+02
   187   0.478633E+04   0.648739E+00   0.812728E-02  -0.254729E+02
   188   0.480346E+04   0.641702E+00   0.822620E-02  -0.246281E+02
   189   0.482004E+04   0.635019E+00   0.832575E-02  -0.237600E+02
   190   0.483652E+04   0.628739E+00   0.842593E-02  -0.228709E+02
   191   0.485216E+04   0.622880E+00   0.852673E-02  -0.219577E+02
   192   0.486747E+04   0.617460E+00   0.862815E-02  -0.210226E+02
   193   0.488225E+04   0.612518E+00   0.873017E-02  -0.200672E+02
   194   0.489671E+04   0.608082E+00   0.883280E-02  -0.190891E+02
   195   0.491062E+04   0.604183E+00   0.893601E-02  -0.180906E+02
   196   0.492401E+04   0.600855E+00   0.903982E-02  -0.170710E+02
   197   0.493700E+04   0.598138E+00   0.914420E-02  -0.160317E+02
   198   0.494953E+04   0.596051E+00   0.924915E-02  -0.149719E+02
   199   0.496161E+04   0.594625E+00   0.935467E-02  -0.138924E+02
   200   0.497323E+04   0.593887E+00   0.946074E-02  -0.127939E+02
   201   0.498432E+04   0.593892E+00   0.956737E-02  -0.116756E+02
   202   0.499495E+04   0.594643E+00   0.967453E-02  -0.105390E+02
   203   0.500505E+04   0.596197E+00   0.978223E-02  -0.938316E+01
   204   0.501455E+04   0.598571E+00   0.989046E-02  -0.821112E+01
   205   0.502360E+04   0.601808E+00   0.999920E-02  -0.702051E+01
   206   0.503203E+04   0.605941E+00   0.101085E-01  -0.581254E+01
   207   0.504001E+04   0.610987E+00   0.102182E-01  -0.458757E+01
   208   0.504731E+04   0.616996E+00   0.103285E-01  -0.334606E+01
   209   0.505408E+04   0.623986E+00   0.104392E-01  -0.208831E+01
   210   0.506032E+04   0.632006E+00   0.105504E-01  -0.815136E+00
   211   0.506602E+04   0.641081E+00   0.106621E-01   0.473475E+00
   212   0.507104E+04   0.651238E+00   0.107743E-01   0.177666E+01
   213   0.507560E+04   0.662517E+00   0.108869E-01   0.309453E+01
   214   0.507956E+04   0.674907E+00   0.109999E-01   0.442595E+01
   215   0.508298E+04   0.688599E+00   0.111134E-01   0.577027E+01
   216   0.508579E+04   0.703401E+00   0.112273E-01   0.712805E+01
   217   0.508814E+04   0.719467E+00   0.113416E-01   0.849739E+01
   218   0.508989E+04   0.736793E+00   0.114563E-01   0.987856E+01
   219   0.509109E+04   0.755375E+00   0.115714E-01   0.112726E+02
   220   0.509176E+04   0.775358E+00   0.116869E-01   0.126751E+02
   221   0.509190E+04   0.796664E+00   0.118027E-01   0.140885E+02
   222   0.509150E+04   0.819438E+00   0.119189E-01   0.155112E+02
   223   0.509041E+04   0.843601E+00   0.120354E-01   0.169441E+02
   224   0.508894E+04   0.869150E+00   0.121523E-01   0.183836E+02
   225   0.508686E+04   0.896230E+00   0.122695E-01   0.198326E+02
   226   0.508423E+04   0.924837E+00   0.123870E-01   0.212877E+02
   227   0.508100E+04   0.954967E+00   0.125048E-01   0.227502E+02
   228   0.507730E+04   0.986616E+00   0.126229E-01   0.242188E+02
   229   0.507306E+04   0.101985E+01   0.127412E-01   0.256922E+02
   230   0.506822E+04   0.105468E+01   0.128598E-01   0.271710E+02
   231   0.506275E+04   0.109116E+01   0.129786E-01   0.286547E+02
   232   0.505682E+04   0.112922E+01   0.130977E-01   0.301418E+02
   233   0.505036E+04   0.116908E+01   0.132169E-01   0.316310E+02
   234   0.504320E+04   0.121058E+01   0.133363E-01   0.331229E+02
   235   0.503558E+04   0.125380E+01   0.134560E-01   0.346163E+02
   236   0.502734E+04   0.129873E+01   0.135757E-01   0.361112E+02
