#    L    TT             EE             BB             TE          
     2   0.100875E+04   0.487284E-01   0.818013E-04   0.299501E+01
     3   0.939699E+03   0.785053E-01   0.942627E-04   0.375276E+01
     4   0.875826E+03   0.869332E-01   0.931533E-04   0.385336E+01
     5   0.826620E+03   0.758887E-01   0.834178E-04   0.356349E+01
     6   0.790767E+03   0.551500E-01   0.702486E-04   0.309240E+01
     7   0.765939E+03   0.345671E-01   0.576593E-04   0.257210E+01
     8   0.749355E+03   0.197699E-01   0.479882E-04   0.208196E+01
     9   0.739017E+03   0.117054E-01   0.421261E-04   0.166256E+01
    10   0.733429E+03   0.846514E-02   0.400284E-04   0.133613E+01
    11   0.731145E+03   0.748224E-02   0.411659E-04   0.111011E+01
    12   0.732412E+03   0.700566E-02   0.448596E-04   0.982801E+00
    13   0.735676E+03   0.625264E-02   0.504702E-04   0.932769E+00
    14   0.740168E+03   0.544052E-02   0.574295E-04   0.934127E+00
    15   0.746007E+03   0.482942E-02   0.653910E-04   0.969754E+00
    16   0.753398E+03   0.459286E-02   0.740960E-04   0.102571E+01
    17   0.762302E+03   0.473545E-02   0.834154E-04   0.108883E+01
    18   0.771874E+03   0.503315E-02   0.932666E-04   0.114905E+01
    19   0.783041E+03   0.536471E-02   0.103625E-03   0.120138E+01
    20   0.794190E+03   0.571465E-02   0.114480E-03   0.124103E+01
    21   0.805613E+03   0.612025E-02   0.125829E-03   0.127351E+01
    22   0.817521E+03   0.670376E-02   0.137667E-03   0.130465E+01
    23   0.829760E+03   0.751505E-02   0.149991E-03   0.133616E+01
    24   0.842428E+03   0.854752E-02   0.162798E-03   0.136884E+01
    25   0.855412E+03   0.981229E-02   0.176080E-03   0.140399E+01
    26   0.868487E+03   0.112807E-01   0.189832E-03   0.144371E+01
    27   0.882010E+03   0.129118E-01   0.204056E-03   0.148581E+01
    28   0.895930E+03   0.146941E-01   0.218755E-03   0.152818E+01
    29   0.910166E+03   0.166336E-01   0.233927E-03   0.156831E+01
    30   0.924484E+03   0.187444E-01   0.249572E-03   0.160254E+01
    31   0.938809E+03   0.210174E-01   0.265687E-03   0.162943E+01
    32   0.953481E+03   0.234322E-01   0.282270E-03   0.164770E+01
    33   0.968550E+03   0.259954E-01   0.299318E-03   0.165476E+01
    34   0.983860E+03   0.287317E-01   0.316826E-03   0.164961E+01
    35   0.999333E+03   0.316610E-01   0.334783E-03   0.163601E+01
    36   0.101485E+04   0.348038E-01   0.353181E-03   0.161646E+01
    37   0.103043E+04   0.381538E-01   0.372026E-03   0.158754E+01
    38   0.104639E+04   0.417078E-01   0.391323E-03   0.154749E+01
    39   0.106271E+04   0.454756E-01   0.411065E-03   0.149817E+01
    40   0.107913E+04   0.494753E-01   0.431238E-03   0.144216E+01
    41   0.109575E+04   0.537261E-01   0.451833E-03   0.138099E+01
    42   0.111234E+04   0.582292E-01   0.472845E-03   0.131284E+01
    43   0.112906E+04   0.629816E-01   0.494269E-03   0.123509E+01
    44   0.114576E+04   0.679651E-01   0.516102E-03   0.114598E+01
    45   0.116281E+04   0.731722E-01   0.538340E-03   0.104386E+01
    46   0.118015E+04   0.785999E-01   0.560977E-03   0.925759E+00
    47   0.119763E+04   0.842503E-01   0.584010E-03   0.793460E+00
    48   0.121518E+04   0.901339E-01   0.607432E-03   0.652571E+00
    49   0.123287E+04   0.962387E-01   0.631237E-03   0.508108E+00
    50   0.125094E+04   0.102546E+00   0.655421E-03   0.358305E+00
    51   0.126917E+04   0.109030E+00   0.679977E-03   0.199574E+00
    52   0.128776E+04   0.115775E+00   0.704903E-03   0.266859E-01
    53   0.130634E+04   0.122924E+00   0.730194E-03  -0.164149E+00
