#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.100875E+04   0.487272E-01   0.806078E-04   0.299501E+01   0.439731E-07   0.310987E-02  -0.145132E-04
     3   0.939694E+03   0.785029E-01   0.918753E-04   0.375276E+01   0.536014E-07   0.309668E-02  -0.176484E-04
     4   0.875817E+03   0.869292E-01   0.891732E-04   0.385336E+01   0.618270E-07   0.301883E-02  -0.176162E-04
     5   0.826607E+03   0.758827E-01   0.774458E-04   0.356349E+01   0.689684E-07   0.291614E-02  -0.153449E-04
     6   0.790750E+03   0.551417E-01   0.618846E-04   0.309240E+01   0.751985E-07   0.280470E-02  -0.116797E-04
     7   0.765916E+03   0.345559E-01   0.465025E-04   0.257211E+01   0.806798E-07   0.269381E-02  -0.743270E-05
     8   0.749326E+03   0.197556E-01   0.336367E-04   0.208197E+01   0.855290E-07   0.258525E-02  -0.333986E-05
     9   0.738981E+03   0.116874E-01   0.241770E-04   0.166257E+01   0.898438E-07   0.247868E-02   0.230696E-07
    10   0.733385E+03   0.844319E-02   0.180773E-04   0.133614E+01   0.936839E-07   0.237508E-02   0.235123E-05
    11   0.731092E+03   0.745589E-02   0.148073E-04   0.111012E+01   0.971329E-07   0.227807E-02   0.361129E-05
    12   0.732350E+03   0.697449E-02   0.136867E-04   0.982816E+00   0.100212E-06   0.218942E-02   0.390077E-05
    13   0.735603E+03   0.621625E-02   0.140746E-04   0.932789E+00   0.102961E-06   0.210913E-02   0.337140E-05
    14   0.740084E+03   0.539850E-02   0.154012E-04   0.934153E+00   0.105427E-06   0.203639E-02   0.222137E-05
    15   0.745912E+03   0.478136E-02   0.173186E-04   0.969788E+00   0.107637E-06   0.196754E-02   0.824128E-06
    16   0.753291E+03   0.453835E-02   0.195664E-04   0.102576E+01   0.109615E-06   0.189951E-02  -0.454478E-06
    17   0.762182E+03   0.467408E-02   0.220138E-04   0.108888E+01   0.111385E-06   0.183377E-02  -0.142583E-05
    18   0.771741E+03   0.496449E-02   0.245768E-04   0.114912E+01   0.112971E-06   0.177234E-02  -0.198961E-05
    19   0.782894E+03   0.528836E-02   0.272286E-04   0.120146E+01   0.114382E-06   0.171491E-02  -0.221974E-05
    20   0.794029E+03   0.563019E-02   0.299584E-04   0.124113E+01   0.115627E-06   0.166065E-02  -0.220828E-05
    21   0.805437E+03   0.602726E-02   0.327600E-04   0.127363E+01   0.116726E-06   0.160865E-02  -0.195412E-05
    22   0.817329E+03   0.660183E-02   0.356286E-04   0.130480E+01   0.117697E-06   0.155828E-02  -0.146753E-05
    23   0.829553E+03   0.740376E-02   0.385593E-04   0.133633E+01   0.118548E-06   0.151002E-02  -0.895980E-06
    24   0.842204E+03   0.842645E-02   0.415465E-04   0.136904E+01   0.119285E-06   0.146442E-02  -0.406855E-06
    25   0.855171E+03   0.968102E-02   0.445825E-04   0.140421E+01   0.119919E-06   0.142102E-02  -0.115499E-06
    26   0.868229E+03   0.111388E-01   0.476609E-04   0.144396E+01   0.120460E-06   0.137936E-02  -0.826158E-07
    27   0.881734E+03   0.127589E-01   0.507822E-04   0.148610E+01   0.120915E-06   0.133973E-02  -0.204199E-06
    28   0.895635E+03   0.145297E-01   0.539482E-04   0.152852E+01   0.121292E-06   0.130248E-02  -0.358432E-06
    29   0.909853E+03   0.164574E-01   0.571571E-04   0.156869E+01   0.121589E-06   0.126733E-02  -0.513091E-06
    30   0.924152E+03   0.185559E-01   0.604065E-04   0.160297E+01   0.121809E-06   0.123389E-02  -0.664855E-06
    31   0.938457E+03   0.208162E-01   0.636939E-04   0.162990E+01   0.121962E-06   0.120179E-02  -0.836617E-06
    32   0.953110E+03   0.232179E-01   0.670165E-04   0.164823E+01   0.122056E-06   0.117074E-02  -0.103796E-05
    33   0.968159E+03   0.257676E-01   0.703708E-04   0.165534E+01   0.122097E-06   0.114052E-02  -0.119968E-05
    34   0.983449E+03   0.284899E-01   0.737520E-04   0.165025E+01   0.122087E-06   0.111106E-02  -0.124569E-05
