#           k/h    P           
   0.100000E-03   0.469681E+03
   0.102020E-03   0.478681E+03
   0.104081E-03   0.487852E+03
   0.106184E-03   0.497200E+03
   0.108329E-03   0.506726E+03
   0.110517E-03   0.517275E+03
   0.112750E-03   0.527184E+03
   0.115027E-03   0.537284E+03
   0.117351E-03   0.547576E+03
   0.119722E-03   0.558975E+03
   0.122140E-03   0.569681E+03
   0.124608E-03   0.580592E+03
   0.127125E-03   0.591711E+03
   0.129693E-03   0.604028E+03
   0.132313E-03   0.615594E+03
   0.134986E-03   0.627381E+03
   0.137713E-03   0.639394E+03
   0.140495E-03   0.652702E+03
   0.143333E-03   0.665197E+03
   0.146228E-03   0.677931E+03
   0.149182E-03   0.690908E+03
   0.152196E-03   0.705286E+03
   0.155271E-03   0.718784E+03
   0.158407E-03   0.732539E+03
   0.161607E-03   0.746558E+03
   0.164872E-03   0.760844E+03
   0.168203E-03   0.776672E+03
   0.171601E-03   0.791530E+03
   0.175067E-03   0.806672E+03
   0.178604E-03   0.822103E+03
   0.182212E-03   0.839202E+03
   0.185893E-03   0.855250E+03
   0.189648E-03   0.871605E+03
   0.193479E-03   0.888271E+03
   0.197388E-03   0.906742E+03
   0.201375E-03   0.924074E+03
   0.205443E-03   0.941737E+03
   0.209594E-03   0.959737E+03
   0.213828E-03   0.979687E+03
   0.218147E-03   0.998405E+03
   0.222554E-03   0.101748E+04
   0.227050E-03   0.103692E+04
   0.231637E-03   0.105846E+04
   0.236316E-03   0.107867E+04
   0.241090E-03   0.109927E+04
   0.245960E-03   0.112026E+04
   0.250929E-03   0.114353E+04
   0.255998E-03   0.116535E+04
   0.261170E-03   0.118758E+04
   0.266446E-03   0.121024E+04
   0.271828E-03   0.123333E+04
   0.277319E-03   0.125892E+04
   0.282922E-03   0.128293E+04
   0.288637E-03   0.130739E+04
   0.294468E-03   0.133231E+04
   0.300417E-03   0.135994E+04
   0.306485E-03   0.138585E+04
   0.312677E-03   0.141224E+04
   0.318993E-03   0.143914E+04
   0.325437E-03   0.146897E+04
   0.332012E-03   0.149692E+04
   0.338719E-03   0.152541E+04
   0.345561E-03   0.155443E+04
   0.352542E-03   0.158662E+04
   0.359664E-03   0.161678E+04
   0.366930E-03   0.164751E+04
   0.374342E-03   0.167883E+04
   0.381904E-03   0.171356E+04
   0.389619E-03   0.174609E+04
   0.397490E-03   0.177924E+04
   0.405520E-03   0.181300E+04
   0.413712E-03   0.185046E+04
   0.422070E-03   0.188555E+04
   0.430596E-03   0.192129E+04
   0.439295E-03   0.195769E+04
   0.448169E-03   0.199477E+04
   0.457222E-03   0.203591E+04
   0.466459E-03   0.207444E+04
   0.475882E-03   0.211367E+04
   0.485496E-03   0.215364E+04
   0.495303E-03   0.219799E+04
   0.505309E-03   0.223950E+04
   0.515517E-03   0.228178E+04
   0.525931E-03   0.232483E+04
   0.536556E-03   0.237263E+04
   0.547395E-03   0.241734E+04
   0.558453E-03   0.246287E+04
   0.569734E-03   0.250924E+04
   0.581244E-03   0.256073E+04
   0.592986E-03   0.260887E+04
   0.604965E-03   0.265789E+04
   0.617186E-03   0.270780E+04
   0.629654E-03   0.276323E+04
   0.642374E-03   0.281505E+04
   0.655350E-03   0.286779E+04
   0.668589E-03   0.292149E+04
   0.682096E-03   0.297616E+04
   0.695875E-03   0.303688E+04
   0.709933E-03   0.309361E+04
   0.724274E-03   0.315136E+04
   0.738906E-03   0.321014E+04
   0.753832E-03   0.327544E+04
   0.769061E-03   0.333642E+04
   0.784597E-03   0.339848E+04
   0.800447E-03   0.346164E+04
   0.816617E-03   0.353183E+04
   0.833114E-03   0.359733E+04
   0.849944E-03   0.366399E+04
   0.867114E-03   0.373181E+04
   0.884631E-03   0.380721E+04
   0.902501E-03   0.387752E+04
   0.920733E-03   0.394905E+04
   0.939333E-03   0.402182E+04
   0.958309E-03   0.410275E+04
   0.977668E-03   0.417817E+04
   0.997418E-03   0.425488E+04
   0.101757E-02   0.433290E+04
   0.103812E-02   0.441971E+04
   0.105910E-02   0.450053E+04
   0.108049E-02   0.458272E+04
   0.110232E-02   0.466629E+04
   0.112459E-02   0.475127E+04
   0.114730E-02   0.484584E+04
   0.117048E-02   0.493381E+04
   0.119413E-02   0.502325E+04
   0.121825E-02   0.511416E+04
   0.124286E-02   0.521537E+04
   0.126797E-02   0.530944E+04
   0.129358E-02   0.540503E+04
   0.131971E-02   0.550218E+04
   0.134637E-02   0.561039E+04
   0.137357E-02   0.571084E+04
   0.140132E-02   0.581290E+04
   0.142963E-02   0.591658E+04
   0.145851E-02   0.603212E+04
   0.148797E-02   0.613926E+04
   0.151803E-02   0.624807E+04
   0.154870E-02   0.635857E+04
   0.157998E-02   0.648178E+04
   0.161190E-02   0.659588E+04
   0.164446E-02   0.671172E+04
   0.167768E-02   0.682931E+04
   0.171158E-02   0.696050E+04
   0.174615E-02   0.708182E+04
   0.178143E-02   0.720494E+04
   0.181741E-02   0.732987E+04
   0.185413E-02   0.745662E+04
   0.189158E-02   0.759810E+04
   0.192980E-02   0.772872E+04
   0.196878E-02   0.786119E+04
   0.200855E-02   0.799553E+04
   0.204913E-02   0.814560E+04
   0.209052E-02   0.828390E+04
   0.213276E-02   0.842410E+04
   0.217584E-02   0.856619E+04
   0.221979E-02   0.872505E+04
   0.226464E-02   0.887117E+04
   0.231039E-02   0.901919E+04
   0.235706E-02   0.916914E+04
   0.240467E-02   0.933694E+04
   0.245325E-02   0.949095E+04
   0.250281E-02   0.964687E+04
   0.255337E-02   0.980471E+04
   0.260495E-02   0.998153E+04
   0.265758E-02   0.101434E+05
   0.271126E-02   0.103072E+05
   0.276603E-02   0.104729E+05
   0.282191E-02   0.106405E+05
   0.287892E-02   0.108285E+05
   0.293708E-02   0.110000E+05
   0.299641E-02   0.111735E+05
   0.305694E-02   0.113487E+05
   0.311870E-02   0.115456E+05
   0.318170E-02   0.117247E+05
   0.324597E-02   0.119056E+05
   0.331155E-02   0.120883E+05
   0.337844E-02   0.122938E+05
   0.344669E-02   0.124802E+05
   0.351632E-02   0.126682E+05
   0.358735E-02   0.128579E+05
   0.365982E-02   0.130717E+05
   0.373376E-02   0.132648E+05
   0.380918E-02   0.134595E+05
   0.388613E-02   0.136557E+05
   0.396464E-02   0.138772E+05
   0.404473E-02   0.140765E+05
   0.412644E-02   0.142771E+05
   0.420980E-02   0.144791E+05
   0.429484E-02   0.147076E+05
   0.438160E-02   0.149123E+05
   0.447012E-02   0.151180E+05
   0.456042E-02   0.153249E+05
   0.465255E-02   0.155327E+05
   0.474653E-02   0.157685E+05
   0.484242E-02   0.159784E+05
   0.494024E-02   0.161890E+05
   0.504004E-02   0.164003E+05
   0.514186E-02   0.166409E+05
   0.524573E-02   0.168535E+05
   0.535170E-02   0.170666E+05
   0.545981E-02   0.172800E+05
   0.557011E-02   0.175239E+05
   0.568263E-02   0.177379E+05
   0.579743E-02   0.179518E+05
   0.591455E-02   0.181657E+05
   0.603403E-02   0.184112E+05
   0.615592E-02   0.186248E+05
   0.628028E-02   0.188378E+05
   0.640715E-02   0.190502E+05
   0.653658E-02   0.192954E+05
   0.666863E-02   0.195065E+05
   0.680335E-02   0.197165E+05
   0.694078E-02   0.199253E+05
   0.708100E-02   0.201678E+05
   0.722404E-02   0.203740E+05
   0.736998E-02   0.205786E+05
   0.751886E-02   0.207813E+05
   0.767075E-02   0.209820E+05
   0.782571E-02   0.212173E+05
   0.798380E-02   0.214137E+05
   0.814509E-02   0.216074E+05
   0.830963E-02   0.217985E+05
   0.847750E-02   0.220248E+05
   0.864875E-02   0.222099E+05
   0.882347E-02   0.223916E+05
   0.900171E-02   0.225698E+05
   0.918356E-02   0.227838E+05
   0.936908E-02   0.229542E+05
   0.955835E-02   0.231203E+05
   0.975144E-02   0.232820E+05
   0.994843E-02   0.234799E+05
   0.101494E-01   0.236320E+05
   0.103544E-01   0.237788E+05
   0.105636E-01   0.239202E+05
   0.107770E-01   0.240980E+05
   0.109947E-01   0.242277E+05
   0.112168E-01   0.243510E+05
   0.114434E-01   0.244677E+05
   0.116746E-01   0.245775E+05
   0.119104E-01   0.247235E+05
   0.121510E-01   0.248192E+05
   0.123965E-01   0.249076E+05
   0.126469E-01   0.249885E+05
   0.129024E-01   0.251054E+05
   0.131631E-01   0.251696E+05
   0.134290E-01   0.252243E+05
   0.137003E-01   0.252687E+05
   0.139770E-01   0.253467E+05
   0.142594E-01   0.253700E+05
   0.145474E-01   0.253846E+05
   0.148413E-01   0.253922E+05
   0.151411E-01   0.254390E+05
   0.154470E-01   0.254367E+05
   0.157590E-01   0.254287E+05
   0.160774E-01   0.254121E+05
   0.164022E-01   0.254287E+05
   0.167335E-01   0.253856E+05
   0.170716E-01   0.253252E+05
   0.174164E-01   0.252481E+05
   0.177683E-01   0.252006E+05
   0.181272E-01   0.250952E+05
   0.184934E-01   0.249786E+05
   0.188670E-01   0.248523E+05
   0.192481E-01   0.247155E+05
   0.196370E-01   0.246096E+05
   0.200337E-01   0.244457E+05
   0.204384E-01   0.242658E+05
   0.208513E-01   0.240686E+05
   0.212725E-01   0.238978E+05
   0.217022E-01   0.236705E+05
   0.221406E-01   0.234317E+05
   0.225879E-01   0.231836E+05
   0.230442E-01   0.229685E+05
   0.235097E-01   0.227050E+05
   0.239847E-01   0.224342E+05
   0.244692E-01   0.221561E+05
   0.249635E-01   0.219096E+05
   0.254678E-01   0.216163E+05
   0.259823E-01   0.213154E+05
   0.265072E-01   0.210066E+05
   0.270426E-01   0.207265E+05
   0.275889E-01   0.204006E+05
   0.281463E-01   0.200666E+05
   0.287149E-01   0.197252E+05
   0.292949E-01   0.194124E+05
   0.298867E-01   0.190592E+05
   0.304905E-01   0.187022E+05
   0.311064E-01   0.183423E+05
   0.317348E-01   0.179811E+05
   0.323759E-01   0.176514E+05
   0.330299E-01   0.172910E+05
   0.336972E-01   0.169332E+05
   0.343779E-01   0.165791E+05
   0.350724E-01   0.162587E+05
   0.357809E-01   0.159139E+05
   0.365038E-01   0.155751E+05
   0.372412E-01   0.152430E+05
   0.379935E-01   0.149447E+05
   0.387610E-01   0.146269E+05
   0.395440E-01   0.143174E+05
   0.403429E-01   0.140166E+05
   0.411579E-01   0.137495E+05
   0.419893E-01   0.134670E+05
   0.428375E-01   0.131952E+05
   0.437029E-01   0.129348E+05
   0.445858E-01   0.127096E+05
   0.454865E-01   0.124743E+05
   0.464053E-01   0.122520E+05
   0.473428E-01   0.120416E+05
   0.482992E-01   0.118423E+05
   0.492749E-01   0.116740E+05
   0.502703E-01   0.114935E+05
   0.512858E-01   0.113213E+05
   0.523219E-01   0.111565E+05
   0.533789E-01   0.110182E+05
   0.544572E-01   0.108654E+05
   0.555573E-01   0.107168E+05
   0.566796E-01   0.105706E+05
   0.578246E-01   0.104442E+05
   0.589927E-01   0.102982E+05
   0.601845E-01   0.101505E+05
   0.614003E-01   0.999961E+04
   0.626407E-01   0.986217E+04
   0.639061E-01   0.970017E+04
   0.651971E-01   0.952952E+04
   0.665142E-01   0.934844E+04
   0.678578E-01   0.917423E+04
   0.692287E-01   0.897559E+04
   0.706272E-01   0.877134E+04
   0.720539E-01   0.855963E+04
   0.735095E-01   0.835151E+04
   0.749945E-01   0.811336E+04
   0.765095E-01   0.786306E+04
   0.780551E-01   0.760508E+04
   0.796319E-01   0.734308E+04
   0.812406E-01   0.709178E+04
   0.828817E-01   0.682654E+04
   0.845561E-01   0.656294E+04
   0.862642E-01   0.630375E+04
   0.880068E-01   0.606262E+04
   0.897847E-01   0.582016E+04
   0.915985E-01   0.559055E+04
   0.934489E-01   0.537600E+04
   0.953367E-01   0.518769E+04
   0.972626E-01   0.500782E+04
   0.992274E-01   0.484733E+04
   0.101232E+00   0.470603E+04
   0.103277E+00   0.459064E+04
   0.105363E+00   0.448273E+04
   0.107492E+00   0.438865E+04
   0.109663E+00   0.430511E+04
   0.111879E+00   0.423670E+04
   0.114139E+00   0.416465E+04
   0.116445E+00   0.409351E+04
   0.118797E+00   0.402020E+04
   0.121197E+00   0.394890E+04
   0.123645E+00   0.386222E+04
   0.126143E+00   0.376535E+04
   0.128691E+00   0.365708E+04
   0.131291E+00   0.353685E+04
   0.133943E+00   0.341231E+04
   0.136649E+00   0.327307E+04
   0.139409E+00   0.312893E+04
   0.142226E+00   0.298407E+04
   0.145099E+00   0.284759E+04
   0.148030E+00   0.271262E+04
   0.151020E+00   0.258772E+04
   0.154071E+00   0.247520E+04
   0.157184E+00   0.238097E+04
   0.160359E+00   0.229642E+04
   0.163598E+00   0.222561E+04
   0.166903E+00   0.216651E+04
   0.170275E+00   0.212033E+04
   0.173715E+00   0.207543E+04
   0.177224E+00   0.203189E+04
   0.180804E+00   0.198578E+04
   0.184457E+00   0.193752E+04
   0.188183E+00   0.187777E+04
   0.191985E+00   0.180996E+04
   0.195863E+00   0.173536E+04
   0.199820E+00   0.165976E+04
   0.203856E+00   0.158032E+04
   0.207974E+00   0.150361E+04
   0.212176E+00   0.143257E+04
   0.216462E+00   0.136939E+04
   0.220835E+00   0.131770E+04
   0.225296E+00   0.127240E+04
   0.229847E+00   0.123412E+04
   0.234490E+00   0.120003E+04
   0.239227E+00   0.116925E+04
   0.244060E+00   0.113497E+04
   0.248990E+00   0.109758E+04
   0.254020E+00   0.105614E+04
   0.259152E+00   0.101303E+04
   0.264387E+00   0.966517E+03
   0.269728E+00   0.921292E+03
   0.275177E+00   0.879428E+03
   0.280736E+00   0.843688E+03
   0.286407E+00   0.811233E+03
   0.292193E+00   0.782943E+03
   0.298096E+00   0.757093E+03
   0.304118E+00   0.733140E+03
   0.310261E+00   0.706908E+03
   0.316529E+00   0.679158E+03
   0.322923E+00   0.650208E+03
   0.329447E+00   0.621214E+03
