#    L    TT             EE             TE             PP             TP          
     2   0.100722E+04   0.486771E-01   0.299387E+01   0.912510E+06   0.289943E+05
     3   0.938471E+03   0.784397E-01   0.375386E+01   0.140777E+07   0.344504E+05
     4   0.874673E+03   0.868629E-01   0.385517E+01   0.184753E+07   0.369982E+05
     5   0.825495E+03   0.758226E-01   0.356543E+01   0.223625E+07   0.379964E+05
     6   0.789651E+03   0.550929E-01   0.309421E+01   0.257958E+07   0.381218E+05
     7   0.764822E+03   0.345196E-01   0.257369E+01   0.288412E+07   0.377647E+05
     8   0.748233E+03   0.197299E-01   0.208331E+01   0.315531E+07   0.371091E+05
     9   0.737885E+03   0.116693E-01   0.166372E+01   0.339787E+07   0.362486E+05
    10   0.732285E+03   0.842943E-02   0.133714E+01   0.361504E+07   0.352611E+05
    11   0.729987E+03   0.744382E-02   0.111102E+01   0.381085E+07   0.342444E+05
    12   0.731243E+03   0.696228E-02   0.983658E+00   0.398682E+07   0.332577E+05
    13   0.734494E+03   0.620274E-02   0.933613E+00   0.414511E+07   0.323245E+05
    14   0.738973E+03   0.538308E-02   0.934990E+00   0.428804E+07   0.314501E+05
    15   0.744797E+03   0.476371E-02   0.970664E+00   0.441711E+07   0.305905E+05
    16   0.752172E+03   0.451829E-02   0.102669E+01   0.453360E+07   0.297068E+05
    17   0.761059E+03   0.465150E-02   0.108990E+01   0.463886E+07   0.288281E+05
    18   0.770616E+03   0.493930E-02   0.115023E+01   0.473409E+07   0.279918E+05
    19   0.781768E+03   0.526044E-02   0.120268E+01   0.481988E+07   0.271978E+05
    20   0.792903E+03   0.559943E-02   0.124246E+01   0.489682E+07   0.264364E+05
    21   0.804311E+03   0.599356E-02   0.127508E+01   0.496584E+07   0.256959E+05
    22   0.816205E+03   0.656508E-02   0.130637E+01   0.502790E+07   0.249686E+05
    23   0.828431E+03   0.736387E-02   0.133804E+01   0.508346E+07   0.242642E+05
    24   0.841085E+03   0.838334E-02   0.137090E+01   0.513289E+07   0.235927E+05
    25   0.854055E+03   0.963462E-02   0.140622E+01   0.517671E+07   0.229486E+05
    26   0.867117E+03   0.110891E-01   0.144613E+01   0.521547E+07   0.223253E+05
    27   0.880626E+03   0.127057E-01   0.148843E+01   0.524958E+07   0.217286E+05
    28   0.894533E+03   0.144732E-01   0.153101E+01   0.527939E+07   0.211650E+05
    29   0.908756E+03   0.163973E-01   0.157135E+01   0.530496E+07   0.206306E+05
    30   0.923060E+03   0.184922E-01   0.160580E+01   0.532639E+07   0.201197E+05
    31   0.937372E+03   0.207488E-01   0.163291E+01   0.534416E+07   0.196270E+05
    32   0.952032E+03   0.231466E-01   0.165142E+01   0.535878E+07   0.191479E+05
    33   0.967087E+03   0.256925E-01   0.165871E+01   0.537044E+07   0.186794E+05
    34   0.982385E+03   0.284110E-01   0.165380E+01   0.537928E+07   0.182205E+05
    35   0.997845E+03   0.313220E-01   0.164045E+01   0.538549E+07   0.177754E+05
    36   0.101335E+04   0.344462E-01   0.162115E+01   0.538926E+07   0.173490E+05
    37   0.102891E+04   0.377771E-01   0.159248E+01   0.539078E+07   0.169435E+05
    38   0.104486E+04   0.413115E-01   0.155268E+01   0.539019E+07   0.165591E+05
    39   0.106118E+04   0.450593E-01   0.150362E+01   0.538762E+07   0.161922E+05
    40   0.107758E+04   0.490387E-01   0.144787E+01   0.538315E+07   0.158384E+05
    41   0.109419E+04   0.532686E-01   0.138696E+01   0.537690E+07   0.154939E+05
    42   0.111077E+04   0.577505E-01   0.131907E+01   0.536899E+07   0.151584E+05
    43   0.112748E+04   0.624813E-01   0.124157E+01   0.535951E+07   0.148324E+05
    44   0.114416E+04   0.674429E-01   0.115272E+01   0.534859E+07   0.145164E+05
    45   0.116120E+04   0.726277E-01   0.105086E+01   0.533634E+07   0.142110E+05
    46   0.117853E+04   0.780327E-01   0.933015E+00   0.532286E+07   0.139161E+05
    47   0.119599E+04   0.836601E-01   0.800969E+00   0.530824E+07   0.136305E+05
    48   0.121353E+04   0.895203E-01   0.660330E+00   0.529256E+07   0.133525E+05
    49   0.123122E+04   0.956015E-01   0.516114E+00   0.527589E+07   0.130804E+05
    50   0.124927E+04   0.101885E+00   0.366551E+00   0.525831E+07   0.128123E+05
    51   0.126749E+04   0.108345E+00   0.208056E+00   0.523990E+07   0.125474E+05
    52   0.128607E+04   0.115065E+00   0.353959E-01   0.522070E+07   0.122875E+05
    53   0.130463E+04   0.122189E+00  -0.155217E+00   0.520076E+07   0.120355E+05
    54   0.132310E+04   0.129705E+00  -0.359604E+00   0.518014E+07   0.117939E+05
    55   0.134168E+04   0.137586E+00  -0.573467E+00   0.515888E+07   0.115656E+05
    56   0.136060E+04   0.145685E+00  -0.798594E+00   0.513703E+07   0.113522E+05
    57   0.137977E+04   0.153896E+00  -0.103479E+01   0.511462E+07   0.111514E+05
    58   0.139923E+04   0.162233E+00  -0.128261E+01   0.509169E+07   0.109601E+05
    59   0.141882E+04   0.170737E+00  -0.154261E+01   0.506825E+07   0.107749E+05
    60   0.143856E+04   0.179465E+00  -0.181393E+01   0.504434E+07   0.105926E+05
    61   0.145875E+04   0.188513E+00  -0.209560E+01   0.501998E+07   0.104106E+05
    62   0.147881E+04   0.197867E+00  -0.238859E+01   0.499524E+07   0.102292E+05
    63   0.149896E+04   0.207482E+00  -0.269400E+01   0.497014E+07   0.100491E+05
    64   0.151949E+04   0.217368E+00  -0.301315E+01   0.494473E+07   0.987120E+04
    65   0.154004E+04   0.227495E+00  -0.334676E+01   0.491906E+07   0.969639E+04
    66   0.156091E+04   0.237795E+00  -0.369305E+01   0.489317E+07   0.952542E+04
    67   0.158191E+04   0.248272E+00  -0.404926E+01   0.486708E+07   0.935876E+04
    68   0.160332E+04   0.258973E+00  -0.441370E+01   0.484082E+07   0.919679E+04
    69   0.162489E+04   0.269861E+00  -0.478459E+01   0.481441E+07   0.903992E+04
    70   0.164674E+04   0.280982E+00  -0.516360E+01   0.478787E+07   0.888853E+04
    71   0.166871E+04   0.292327E+00  -0.555308E+01   0.476122E+07   0.874288E+04
    72   0.169084E+04   0.303868E+00  -0.595435E+01   0.473446E+07   0.860275E+04
    73   0.171309E+04   0.315565E+00  -0.636796E+01   0.470760E+07   0.846779E+04
    74   0.173552E+04   0.327402E+00  -0.679297E+01   0.468065E+07   0.833765E+04
