#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.100722E+04   0.299387E+01   0.310987E-02   0.299387E+01   0.486771E-01  -0.145132E-04   0.310987E-02  -0.145132E-04   0.439731E-07
     3   0.938471E+03   0.375386E+01   0.309668E-02   0.375386E+01   0.784397E-01  -0.176484E-04   0.309668E-02  -0.176484E-04   0.536014E-07
     4   0.874673E+03   0.385517E+01   0.301883E-02   0.385517E+01   0.868629E-01  -0.176162E-04   0.301883E-02  -0.176162E-04   0.618270E-07
     5   0.825495E+03   0.356543E+01   0.291614E-02   0.356543E+01   0.758226E-01  -0.153449E-04   0.291614E-02  -0.153449E-04   0.689684E-07
     6   0.789651E+03   0.309421E+01   0.280470E-02   0.309421E+01   0.550929E-01  -0.116797E-04   0.280470E-02  -0.116797E-04   0.751986E-07
     7   0.764822E+03   0.257369E+01   0.269381E-02   0.257369E+01   0.345196E-01  -0.743269E-05   0.269381E-02  -0.743269E-05   0.806798E-07
     8   0.748233E+03   0.208331E+01   0.258525E-02   0.208331E+01   0.197299E-01  -0.333986E-05   0.258525E-02  -0.333986E-05   0.855290E-07
     9   0.737885E+03   0.166372E+01   0.247868E-02   0.166372E+01   0.116693E-01   0.230696E-07   0.247868E-02   0.230696E-07   0.898438E-07
    10   0.732285E+03   0.133714E+01   0.237508E-02   0.133714E+01   0.842943E-02   0.235123E-05   0.237508E-02   0.235123E-05   0.936839E-07
    11   0.729987E+03   0.111102E+01   0.227807E-02   0.111102E+01   0.744382E-02   0.361129E-05   0.227807E-02   0.361129E-05   0.971329E-07
    12   0.731243E+03   0.983658E+00   0.218939E-02   0.983658E+00   0.696228E-02   0.390138E-05   0.218939E-02   0.390138E-05   0.100212E-06
    13   0.734494E+03   0.933613E+00   0.210913E-02   0.933613E+00   0.620274E-02   0.337140E-05   0.210913E-02   0.337140E-05   0.102961E-06
    14   0.738973E+03   0.934990E+00   0.203637E-02   0.934990E+00   0.538308E-02   0.222212E-05   0.203637E-02   0.222212E-05   0.105427E-06
    15   0.744797E+03   0.970664E+00   0.196754E-02   0.970664E+00   0.476371E-02   0.824128E-06   0.196754E-02   0.824128E-06   0.107637E-06
    16   0.752172E+03   0.102669E+01   0.189952E-02   0.102669E+01   0.451829E-02  -0.454540E-06   0.189952E-02  -0.454540E-06   0.109615E-06
    17   0.761059E+03   0.108990E+01   0.183377E-02   0.108990E+01   0.465150E-02  -0.142583E-05   0.183377E-02  -0.142583E-05   0.111385E-06
    18   0.770616E+03   0.115023E+01   0.177233E-02   0.115023E+01   0.493930E-02  -0.198990E-05   0.177233E-02  -0.198990E-05   0.112971E-06
    19   0.781768E+03   0.120268E+01   0.171491E-02   0.120268E+01   0.526044E-02  -0.221974E-05   0.171491E-02  -0.221974E-05   0.114382E-06
    20   0.792903E+03   0.124246E+01   0.166065E-02   0.124246E+01   0.559943E-02  -0.220811E-05   0.166065E-02  -0.220811E-05   0.115627E-06
    21   0.804311E+03   0.127508E+01   0.160865E-02   0.127508E+01   0.599356E-02  -0.195412E-05   0.160865E-02  -0.195412E-05   0.116726E-06
    22   0.816205E+03   0.130637E+01   0.155828E-02   0.130637E+01   0.656508E-02  -0.146774E-05   0.155828E-02  -0.146774E-05   0.117697E-06
    23   0.828431E+03   0.133804E+01   0.151002E-02   0.133804E+01   0.736387E-02  -0.895980E-06   0.151002E-02  -0.895980E-06   0.118548E-06
    24   0.841085E+03   0.137090E+01   0.146441E-02   0.137090E+01   0.838334E-02  -0.406895E-06   0.146441E-02  -0.406895E-06   0.119285E-06
