#    L    TT             EE             BB             TE          
     2   0.152355E+01   0.501137E-04   0.806078E-04   0.113975E-02
     3   0.122261E+01   0.632744E-04   0.918753E-04  -0.110117E-02
     4   0.114440E+01   0.663277E-04   0.891732E-04  -0.181148E-02
     5   0.111263E+01   0.600911E-04   0.774458E-04  -0.194271E-02
     6   0.109856E+01   0.487286E-04   0.618846E-04  -0.181029E-02
     7   0.109359E+01   0.362832E-04   0.465025E-04  -0.158140E-02
     8   0.109319E+01   0.256459E-04   0.336367E-04  -0.134840E-02
     9   0.109569E+01   0.180935E-04   0.241770E-04  -0.115375E-02
    10   0.109991E+01   0.137588E-04   0.180773E-04  -0.100088E-02
    11   0.110422E+01   0.120660E-04   0.148073E-04  -0.898998E-03
    12   0.110702E+01   0.122061E-04   0.136867E-04  -0.842185E-03
    13   0.110904E+01   0.135083E-04   0.140746E-04  -0.823394E-03
    14   0.111150E+01   0.154167E-04   0.154012E-04  -0.836692E-03
    15   0.111482E+01   0.176567E-04   0.173186E-04  -0.876310E-03
    16   0.111900E+01   0.200564E-04   0.195664E-04  -0.937056E-03
    17   0.112293E+01   0.225723E-04   0.220138E-04  -0.101587E-02
    18   0.112548E+01   0.251951E-04   0.245768E-04  -0.110989E-02
    19   0.112665E+01   0.279241E-04   0.272286E-04  -0.121487E-02
    20   0.112669E+01   0.307603E-04   0.299584E-04  -0.132732E-02
    21   0.112584E+01   0.337028E-04   0.327600E-04  -0.144809E-02
    22   0.112431E+01   0.367479E-04   0.356286E-04  -0.157851E-02
    23   0.112212E+01   0.398850E-04   0.385593E-04  -0.171734E-02
    24   0.111930E+01   0.431024E-04   0.415465E-04  -0.186294E-02
    25   0.111591E+01   0.463918E-04   0.445825E-04  -0.201458E-02
    26   0.111200E+01   0.497440E-04   0.476609E-04  -0.217151E-02
    27   0.110759E+01   0.531433E-04   0.507822E-04  -0.233192E-02
    28   0.110270E+01   0.565826E-04   0.539482E-04  -0.249452E-02
    29   0.109732E+01   0.600962E-04   0.571571E-04  -0.266096E-02
    30   0.109145E+01   0.637184E-04   0.604065E-04  -0.283291E-02
    31   0.108516E+01   0.674412E-04   0.636939E-04  -0.300913E-02
    32   0.107851E+01   0.712438E-04   0.670165E-04  -0.318790E-02
    33   0.107146E+01   0.750943E-04   0.703708E-04  -0.336842E-02
    34   0.106397E+01   0.789681E-04   0.737520E-04  -0.355019E-02
    35   0.105610E+01   0.828781E-04   0.771495E-04  -0.373288E-02
    36   0.104790E+01   0.868434E-04   0.805547E-04  -0.391611E-02
    37   0.103938E+01   0.908680E-04   0.839735E-04  -0.409920E-02
    38   0.103054E+01   0.949500E-04   0.874117E-04  -0.428151E-02
    39   0.102139E+01   0.990798E-04   0.908617E-04  -0.446289E-02
    40   0.101193E+01   0.103246E-03   0.943121E-04  -0.464330E-02
    41   0.100217E+01   0.107438E-03   0.977533E-04  -0.482267E-02
    42   0.992121E+00   0.111653E-03   0.101181E-03  -0.500071E-02
    43   0.981802E+00   0.115891E-03   0.104591E-03  -0.517709E-02
    44   0.971222E+00   0.120149E-03   0.107982E-03  -0.535146E-02
    45   0.960396E+00   0.124426E-03   0.111349E-03  -0.552348E-02
    46   0.949337E+00   0.128720E-03   0.114690E-03  -0.569283E-02
    47   0.938056E+00   0.133028E-03   0.118000E-03  -0.585918E-02
    48   0.926566E+00   0.137344E-03   0.121275E-03  -0.602223E-02
    49   0.914880E+00   0.141663E-03   0.124510E-03  -0.618167E-02
    50   0.903010E+00   0.145981E-03   0.127702E-03  -0.633718E-02
    51   0.890968E+00   0.150292E-03   0.130844E-03  -0.648848E-02
    52   0.878766E+00   0.154593E-03   0.133936E-03  -0.663541E-02
    53   0.866415E+00   0.158878E-03   0.136974E-03  -0.677785E-02
    54   0.853928E+00   0.163144E-03   0.139955E-03  -0.691566E-02
    55   0.841316E+00   0.167384E-03   0.142878E-03  -0.704872E-02
    56   0.828590E+00   0.171595E-03   0.145739E-03  -0.717687E-02
    57   0.815757E+00   0.175775E-03   0.148535E-03  -0.729991E-02
    58   0.802825E+00   0.179923E-03   0.151264E-03  -0.741762E-02
    59   0.789801E+00   0.184037E-03   0.153922E-03  -0.752977E-02
    60   0.776691E+00   0.188115E-03   0.156506E-03  -0.763614E-02
    61   0.763504E+00   0.192157E-03   0.159013E-03  -0.773655E-02
    62   0.750253E+00   0.196157E-03   0.161442E-03  -0.783104E-02
