#    L    TT             EE             BB             TE          
     2   0.100875E+04   0.487272E-01   0.806078E-04   0.299501E+01
     3   0.939694E+03   0.785029E-01   0.918753E-04   0.375276E+01
     4   0.875817E+03   0.869292E-01   0.891732E-04   0.385336E+01
     5   0.826607E+03   0.758827E-01   0.774458E-04   0.356349E+01
     6   0.790750E+03   0.551417E-01   0.618846E-04   0.309240E+01
     7   0.765916E+03   0.345559E-01   0.465025E-04   0.257211E+01
     8   0.749326E+03   0.197556E-01   0.336367E-04   0.208197E+01
     9   0.738981E+03   0.116874E-01   0.241770E-04   0.166257E+01
    10   0.733385E+03   0.844319E-02   0.180773E-04   0.133614E+01
    11   0.731092E+03   0.745589E-02   0.148073E-04   0.111012E+01
    12   0.732350E+03   0.697449E-02   0.136867E-04   0.982816E+00
    13   0.735603E+03   0.621625E-02   0.140746E-04   0.932789E+00
    14   0.740084E+03   0.539850E-02   0.154012E-04   0.934153E+00
    15   0.745912E+03   0.478136E-02   0.173186E-04   0.969788E+00
    16   0.753291E+03   0.453835E-02   0.195664E-04   0.102576E+01
    17   0.762182E+03   0.467408E-02   0.220138E-04   0.108888E+01
    18   0.771741E+03   0.496449E-02   0.245768E-04   0.114912E+01
    19   0.782894E+03   0.528836E-02   0.272286E-04   0.120146E+01
    20   0.794029E+03   0.563019E-02   0.299584E-04   0.124113E+01
    21   0.805437E+03   0.602726E-02   0.327600E-04   0.127363E+01
    22   0.817329E+03   0.660183E-02   0.356286E-04   0.130480E+01
    23   0.829553E+03   0.740376E-02   0.385593E-04   0.133633E+01
    24   0.842204E+03   0.842645E-02   0.415465E-04   0.136904E+01
    25   0.855171E+03   0.968102E-02   0.445825E-04   0.140421E+01
    26   0.868229E+03   0.111388E-01   0.476609E-04   0.144396E+01
    27   0.881734E+03   0.127589E-01   0.507822E-04   0.148610E+01
    28   0.895635E+03   0.145297E-01   0.539482E-04   0.152852E+01
    29   0.909853E+03   0.164574E-01   0.571571E-04   0.156869E+01
    30   0.924152E+03   0.185559E-01   0.604065E-04   0.160297E+01
    31   0.938457E+03   0.208162E-01   0.636939E-04   0.162990E+01
    32   0.953110E+03   0.232179E-01   0.670165E-04   0.164823E+01
    33   0.968159E+03   0.257676E-01   0.703708E-04   0.165534E+01
    34   0.983449E+03   0.284899E-01   0.737520E-04   0.165025E+01
    35   0.998901E+03   0.314049E-01   0.771495E-04   0.163672E+01
    36   0.101440E+04   0.345331E-01   0.805547E-04   0.161723E+01
    37   0.102995E+04   0.378679E-01   0.839735E-04   0.158838E+01
    38   0.104589E+04   0.414065E-01   0.874117E-04   0.154840E+01
    39   0.106220E+04   0.451584E-01   0.908617E-04   0.149916E+01
    40   0.107860E+04   0.491419E-01   0.943121E-04   0.144323E+01
    41   0.109519E+04   0.533760E-01   0.977533E-04   0.138213E+01
    42   0.111176E+04   0.578622E-01   0.101181E-03   0.131407E+01
    43   0.112846E+04   0.625972E-01   0.104591E-03   0.123639E+01
    44   0.114513E+04   0.675630E-01   0.107982E-03   0.114737E+01
    45   0.116216E+04   0.727521E-01   0.111349E-03   0.104533E+01
    46   0.117948E+04   0.781614E-01   0.114690E-03   0.927322E+00
    47   0.119693E+04   0.837931E-01   0.118000E-03   0.795110E+00
    48   0.121446E+04   0.896576E-01   0.121275E-03   0.654308E+00
    49   0.123213E+04   0.957432E-01   0.124510E-03   0.509932E+00
    50   0.125018E+04   0.102031E+00   0.127702E-03   0.360214E+00
    51   0.126838E+04   0.108495E+00   0.130844E-03   0.201567E+00
    52   0.128695E+04   0.115220E+00   0.133936E-03   0.287605E-01
    53   0.130550E+04   0.122348E+00   0.136974E-03  -0.161995E+00
    54   0.132396E+04   0.129868E+00   0.139955E-03  -0.366520E+00
    55   0.134253E+04   0.137753E+00   0.142878E-03  -0.580516E+00
    56   0.136143E+04   0.145856E+00   0.145739E-03  -0.805771E+00
    57   0.138059E+04   0.154072E+00   0.148535E-03  -0.104209E+01
    58   0.140003E+04   0.162413E+00   0.151264E-03  -0.129003E+01
    59   0.141961E+04   0.170921E+00   0.153922E-03  -0.155014E+01
    60   0.143933E+04   0.179653E+00   0.156506E-03  -0.182157E+01
    61   0.145952E+04   0.188706E+00   0.159013E-03  -0.210333E+01
    62   0.147956E+04   0.198063E+00   0.161442E-03  -0.239642E+01
    63   0.149970E+04   0.207682E+00   0.163791E-03  -0.270192E+01
    64   0.152022E+04   0.217572E+00   0.166058E-03  -0.302115E+01
    65   0.154076E+04   0.227703E+00   0.168243E-03  -0.335484E+01
    66   0.156160E+04   0.238007E+00   0.170345E-03  -0.370120E+01
