#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.993124E-05   0.203668E+08   0.203668E+08   0.271415E+08   0.271411E+08   0.000000E+00   0.203668E+08   0.203668E+08   0.203752E+08  -0.458042E+00   0.993832E+07   0.993832E+07   0.640243E+01
   0.109661E-04   0.203668E+08   0.203668E+08   0.271384E+08   0.271379E+08   0.000000E+00   0.203668E+08   0.203668E+08   0.203752E+08  -0.458041E+00   0.993832E+07   0.993832E+07   0.706935E+01
   0.121087E-04   0.203668E+08   0.203668E+08   0.271346E+08   0.271340E+08   0.000000E+00   0.203668E+08   0.203668E+08   0.203752E+08  -0.458041E+00   0.993831E+07   0.993831E+07   0.780568E+01
   0.133705E-04   0.203668E+08   0.203668E+08   0.271300E+08   0.271292E+08   0.000000E+00   0.203668E+08   0.203668E+08   0.203752E+08  -0.458041E+00   0.993831E+07   0.993831E+07   0.861864E+01
   0.147637E-04   0.203668E+08   0.203667E+08   0.271243E+08   0.271234E+08   0.000000E+00   0.203668E+08   0.203668E+08   0.203752E+08  -0.458041E+00   0.993830E+07   0.993830E+07   0.951618E+01
   0.163020E-04   0.203667E+08   0.203667E+08   0.271174E+08   0.271163E+08   0.000000E+00   0.203667E+08   0.203667E+08   0.203752E+08  -0.458040E+00   0.993830E+07   0.993830E+07   0.105071E+02
   0.180007E-04   0.203667E+08   0.203667E+08   0.271090E+08   0.271076E+08   0.000000E+00   0.203667E+08   0.203667E+08   0.203751E+08  -0.458040E+00   0.993829E+07   0.993829E+07   0.116009E+02
   0.198764E-04   0.203667E+08   0.203667E+08   0.270988E+08   0.270971E+08   0.000000E+00   0.203667E+08   0.203667E+08   0.203751E+08  -0.458039E+00   0.993828E+07   0.993828E+07   0.128085E+02
   0.219475E-04   0.203667E+08   0.203667E+08   0.270863E+08   0.270842E+08   0.000000E+00   0.203667E+08   0.203667E+08   0.203751E+08  -0.458038E+00   0.993826E+07   0.993826E+07   0.141414E+02
   0.242344E-04   0.203666E+08   0.203666E+08   0.270711E+08   0.270685E+08   0.000000E+00   0.203666E+08   0.203666E+08   0.203751E+08  -0.458037E+00   0.993825E+07   0.993825E+07   0.156126E+02
   0.267596E-04   0.203666E+08   0.203666E+08   0.270525E+08   0.270495E+08   0.000000E+00   0.203666E+08   0.203666E+08   0.203750E+08  -0.458036E+00   0.993823E+07   0.993823E+07   0.172363E+02
   0.295480E-04   0.203666E+08   0.203665E+08   0.270300E+08   0.270262E+08   0.000000E+00   0.203666E+08   0.203666E+08   0.203750E+08  -0.458035E+00   0.993820E+07   0.993820E+07   0.190281E+02
   0.326268E-04   0.203665E+08   0.203665E+08   0.270025E+08   0.269979E+08   0.000000E+00   0.203665E+08   0.203665E+08   0.203749E+08  -0.458033E+00   0.993818E+07   0.993817E+07   0.210052E+02
   0.360266E-04   0.203664E+08   0.203664E+08   0.269690E+08   0.269634E+08   0.000000E+00   0.203664E+08   0.203664E+08   0.203748E+08  -0.458031E+00   0.993814E+07   0.993814E+07   0.231864E+02
   0.397805E-04   0.203663E+08   0.203663E+08   0.269282E+08   0.269214E+08   0.000000E+00   0.203663E+08   0.203663E+08   0.203747E+08  -0.458029E+00   0.993810E+07   0.993810E+07   0.255922E+02
   0.439256E-04   0.203662E+08   0.203662E+08   0.268785E+08   0.268702E+08   0.000000E+00   0.203662E+08   0.203662E+08   0.203746E+08  -0.458026E+00   0.993805E+07   0.993804E+07   0.282451E+02
   0.485027E-04   0.203661E+08   0.203661E+08   0.268180E+08   0.268080E+08   0.000000E+00   0.203661E+08   0.203661E+08   0.203744E+08  -0.458022E+00   0.993798E+07   0.993798E+07   0.311697E+02
