#    L    TT             EE             BB             TE          
     2   0.488344E+04   0.236530E+00   0.275554E-04   0.145773E+02
     3   0.454611E+04   0.380612E+00   0.551178E-04   0.182456E+02
     4   0.423397E+04   0.421108E+00   0.918786E-04   0.187156E+02
     5   0.399331E+04   0.367380E+00   0.137847E-03   0.172927E+02
     6   0.381759E+04   0.266885E+00   0.193035E-03   0.149957E+02
     7   0.369556E+04   0.167283E+00   0.257455E-03   0.124652E+02
     8   0.361373E+04   0.957534E-01   0.331124E-03   0.100845E+02
     9   0.356228E+04   0.568195E-01   0.414059E-03   0.804922E+01
    10   0.353386E+04   0.412211E-01   0.506280E-03   0.646585E+01
    11   0.352145E+04   0.365390E-01   0.607807E-03   0.536943E+01
    12   0.352571E+04   0.339130E-01   0.718663E-03   0.475210E+01
    13   0.354092E+04   0.307559E-01   0.838872E-03   0.450712E+01
    14   0.356176E+04   0.270278E-01   0.968459E-03   0.451148E+01
    15   0.358885E+04   0.240685E-01   0.110745E-02   0.468216E+01
    16   0.362367E+04   0.231133E-01   0.125587E-02   0.494947E+01
    17   0.366556E+04   0.238217E-01   0.141376E-02   0.525389E+01
    18   0.371249E+04   0.253282E-01   0.158113E-02   0.554537E+01
    19   0.376384E+04   0.270934E-01   0.175802E-02   0.579486E+01
    20   0.381669E+04   0.288716E-01   0.194445E-02   0.598527E+01
    21   0.387119E+04   0.310009E-01   0.214046E-02   0.614101E+01
    22   0.392770E+04   0.339806E-01   0.234607E-02   0.629046E+01
    23   0.398618E+04   0.380121E-01   0.256132E-02   0.644138E+01
    24   0.404667E+04   0.431577E-01   0.278622E-02   0.659748E+01
    25   0.410852E+04   0.493924E-01   0.302081E-02   0.676684E+01
    26   0.417107E+04   0.566133E-01   0.326511E-02   0.695672E+01
    27   0.423541E+04   0.646571E-01   0.351915E-02   0.715949E+01
    28   0.430209E+04   0.734142E-01   0.378295E-02   0.736416E+01
    29   0.437011E+04   0.829359E-01   0.405654E-02   0.755598E+01
    30   0.443828E+04   0.932904E-01   0.433993E-02   0.771969E+01
    31   0.450699E+04   0.104413E+00   0.463314E-02   0.784795E+01
    32   0.457723E+04   0.116226E+00   0.493620E-02   0.793436E+01
    33   0.464919E+04   0.128773E+00   0.524912E-02   0.796829E+01
    34   0.472255E+04   0.142147E+00   0.557191E-02   0.794409E+01
    35   0.479658E+04   0.156457E+00   0.590459E-02   0.787713E+01
    36   0.487065E+04   0.171796E+00   0.624717E-02   0.778070E+01
    37   0.494544E+04   0.188133E+00   0.659965E-02   0.764272E+01
    38   0.502197E+04   0.205440E+00   0.696204E-02   0.745160E+01
    39   0.509998E+04   0.223790E+00   0.733435E-02   0.721423E+01
    40   0.517871E+04   0.243284E+00   0.771659E-02   0.694193E+01
    41   0.525791E+04   0.264004E+00   0.810874E-02   0.664241E+01
    42   0.533738E+04   0.285932E+00   0.851082E-02   0.630982E+01
    43   0.541740E+04   0.309022E+00   0.892282E-02   0.593493E+01
    44   0.549797E+04   0.333213E+00   0.934473E-02   0.550938E+01
    45   0.557960E+04   0.358456E+00   0.977656E-02   0.502493E+01
    46   0.566232E+04   0.384722E+00   0.102183E-01   0.447377E+01
    47   0.574596E+04   0.412049E+00   0.106699E-01   0.385991E+01
    48   0.583043E+04   0.440502E+00   0.111314E-01   0.319298E+01
    49   0.591574E+04   0.470122E+00   0.116028E-01   0.248199E+01
    50   0.600208E+04   0.500942E+00   0.120840E-01   0.172917E+01
    51   0.608919E+04   0.532976E+00   0.125751E-01   0.933720E+00
    52   0.617731E+04   0.566292E+00   0.130761E-01   0.882263E-01
    53   0.626605E+04   0.601004E+00   0.135868E-01  -0.814501E+00
    54   0.635537E+04   0.637070E+00   0.141074E-01  -0.177369E+01
    55   0.644548E+04   0.674433E+00   0.146377E-01  -0.278844E+01
    56   0.653662E+04   0.712926E+00   0.151779E-01  -0.386314E+01
    57   0.662872E+04   0.752449E+00   0.157278E-01  -0.499701E+01
    58   0.672177E+04   0.793030E+00   0.162875E-01  -0.618918E+01
    59   0.681564E+04   0.834726E+00   0.168569E-01  -0.743882E+01
    60   0.691031E+04   0.877608E+00   0.174360E-01  -0.874367E+01
    61   0.700611E+04   0.921779E+00   0.180249E-01  -0.101017E+02
    62   0.710246E+04   0.967195E+00   0.186235E-01  -0.115139E+02
    63   0.719965E+04   0.101378E+01   0.192317E-01  -0.129819E+02
    64   0.729801E+04   0.106150E+01   0.198497E-01  -0.145076E+02
    65   0.739723E+04   0.111029E+01   0.204774E-01  -0.160919E+02
    66   0.749763E+04   0.116007E+01   0.211147E-01  -0.177333E+02
    67   0.759899E+04   0.121081E+01   0.217617E-01  -0.194273E+02
    68   0.770153E+04   0.126257E+01   0.224184E-01  -0.211702E+02
    69   0.780493E+04   0.131531E+01   0.230848E-01  -0.229583E+02
    70   0.790926E+04   0.136907E+01   0.237609E-01  -0.247912E+02
    71   0.801431E+04   0.142384E+01   0.244466E-01  -0.266698E+02
    72   0.812021E+04   0.147955E+01   0.251421E-01  -0.285956E+02
    73   0.822702E+04   0.153608E+01   0.258473E-01  -0.305701E+02
    74   0.833489E+04   0.159339E+01   0.265622E-01  -0.325931E+02
    75   0.844405E+04   0.165140E+01   0.272868E-01  -0.346638E+02
    76   0.855453E+04   0.171009E+01   0.280212E-01  -0.367821E+02
    77   0.866630E+04   0.176942E+01   0.287654E-01  -0.389472E+02
    78   0.877932E+04   0.182941E+01   0.295193E-01  -0.411594E+02
    79   0.889328E+04   0.189001E+01   0.302831E-01  -0.434138E+02
    80   0.900820E+04   0.195121E+01   0.310568E-01  -0.457110E+02
    81   0.912391E+04   0.201295E+01   0.318403E-01  -0.480502E+02
    82   0.924050E+04   0.207520E+01   0.326338E-01  -0.504280E+02
    83   0.935797E+04   0.213788E+01   0.334372E-01  -0.528415E+02
    84   0.947645E+04   0.220093E+01   0.342506E-01  -0.552862E+02
    85   0.959587E+04   0.226427E+01   0.350740E-01  -0.577607E+02
    86   0.971634E+04   0.232786E+01   0.359075E-01  -0.602615E+02
    87   0.983807E+04   0.239163E+01   0.367512E-01  -0.627875E+02
    88   0.996058E+04   0.245556E+01   0.376050E-01  -0.653382E+02
    89   0.100842E+05   0.251960E+01   0.384690E-01  -0.679151E+02
    90   0.102087E+05   0.258368E+01   0.393433E-01  -0.705150E+02
    91   0.103341E+05   0.264776E+01   0.402279E-01  -0.731381E+02
    92   0.104604E+05   0.271177E+01   0.411230E-01  -0.757823E+02
    93   0.105877E+05   0.277568E+01   0.420284E-01  -0.784459E+02
    94   0.107157E+05   0.283938E+01   0.429444E-01  -0.811259E+02
    95   0.108446E+05   0.290285E+01   0.438710E-01  -0.838212E+02
    96   0.109742E+05   0.296601E+01   0.448082E-01  -0.865294E+02
    97   0.111048E+05   0.302881E+01   0.457560E-01  -0.892483E+02
    98   0.112363E+05   0.309120E+01   0.467147E-01  -0.919738E+02
    99   0.113684E+05   0.315309E+01   0.476842E-01  -0.947073E+02
   100   0.115015E+05   0.321445E+01   0.486646E-01  -0.974426E+02
   101   0.116352E+05   0.327527E+01   0.496560E-01  -0.100181E+03
   102   0.117701E+05   0.333538E+01   0.506585E-01  -0.102919E+03
