#    L    TT             EE             BB             TE          
     2   0.497045E+04   0.239385E+00   0.462400E-02   0.146428E+02
     3   0.461584E+04   0.384213E+00   0.528883E-02   0.181831E+02
     4   0.429917E+04   0.424880E+00   0.516761E-02   0.186126E+02
     5   0.405666E+04   0.370795E+00   0.454307E-02   0.171822E+02
     6   0.388010E+04   0.269652E+00   0.371090E-02   0.148927E+02
     7   0.375776E+04   0.169342E+00   0.289902E-02   0.123753E+02
     8   0.367588E+04   0.972073E-01   0.224011E-02   0.100079E+02
     9   0.362454E+04   0.578439E-01   0.178454E-02   0.798368E+01
    10   0.359634E+04   0.419988E-01   0.152945E-02   0.640900E+01
    11   0.358415E+04   0.372199E-01   0.144452E-02   0.531839E+01
    12   0.358855E+04   0.346013E-01   0.149101E-02   0.470429E+01
    13   0.360386E+04   0.315174E-01   0.163248E-02   0.446039E+01
    14   0.362483E+04   0.278968E-01   0.183656E-02   0.446402E+01
    15   0.365209E+04   0.250637E-01   0.208352E-02   0.463246E+01
    16   0.368713E+04   0.242438E-01   0.235861E-02   0.489634E+01
    17   0.372923E+04   0.250940E-01   0.265441E-02   0.519631E+01
    18   0.377628E+04   0.267484E-01   0.296621E-02   0.548248E+01
    19   0.382769E+04   0.286673E-01   0.329252E-02   0.572603E+01
    20   0.388053E+04   0.306053E-01   0.363275E-02   0.591009E+01
    21   0.393497E+04   0.329004E-01   0.398659E-02   0.605900E+01
    22   0.399138E+04   0.360517E-01   0.435381E-02   0.620109E+01
    23   0.404972E+04   0.402599E-01   0.473413E-02   0.634417E+01
    24   0.411005E+04   0.455868E-01   0.512728E-02   0.649205E+01
    25   0.417169E+04   0.520068E-01   0.553284E-02   0.665285E+01
    26   0.423402E+04   0.594165E-01   0.595050E-02   0.683386E+01
    27   0.429810E+04   0.676518E-01   0.638031E-02   0.702758E+01
    28   0.436449E+04   0.766026E-01   0.682238E-02   0.722307E+01
    29   0.443220E+04   0.863222E-01   0.727664E-02   0.740551E+01
    30   0.450003E+04   0.968807E-01   0.774295E-02   0.755952E+01
    31   0.456837E+04   0.108213E+00   0.822121E-02   0.767784E+01
    32   0.463823E+04   0.120240E+00   0.871127E-02   0.775416E+01
    33   0.470978E+04   0.133004E+00   0.921299E-02   0.777791E+01
    34   0.478271E+04   0.146596E+00   0.972611E-02   0.774346E+01
    35   0.485629E+04   0.161127E+00   0.102500E-01   0.766620E+01
    36   0.492989E+04   0.176688E+00   0.107843E-01   0.755945E+01
    37   0.500420E+04   0.193252E+00   0.113292E-01   0.741115E+01
    38   0.508022E+04   0.210789E+00   0.118851E-01   0.720976E+01
    39   0.515770E+04   0.229371E+00   0.124515E-01   0.696217E+01
