#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.497039E+04   0.239358E+00   0.459645E-02   0.146428E+02   0.211823E-06   0.149708E-01  -0.704975E-04
     3   0.461573E+04   0.384158E+00   0.523371E-02   0.181831E+02   0.257961E-06   0.148975E-01  -0.856048E-04
     4   0.429899E+04   0.424788E+00   0.507573E-02   0.186126E+02   0.297353E-06   0.145155E-01  -0.853692E-04
     5   0.405638E+04   0.370657E+00   0.440522E-02   0.171822E+02   0.331528E-06   0.140155E-01  -0.743123E-04
     6   0.387971E+04   0.269459E+00   0.351786E-02   0.148928E+02   0.361321E-06   0.134742E-01  -0.565363E-04
     7   0.375724E+04   0.169085E+00   0.264157E-02   0.123754E+02   0.387516E-06   0.129364E-01  -0.359719E-04
     8   0.367522E+04   0.968762E-01   0.190899E-02   0.100080E+02   0.410676E-06   0.124110E-01  -0.161747E-04
     9   0.362372E+04   0.574298E-01   0.137048E-02   0.798379E+01   0.431271E-06   0.118964E-01   0.800392E-07
    10   0.359533E+04   0.414926E-01   0.102317E-02   0.640917E+01   0.449589E-06   0.113964E-01   0.113262E-04
    11   0.358295E+04   0.366122E-01   0.836718E-03   0.531862E+01   0.466032E-06   0.109280E-01   0.174083E-04
    12   0.358713E+04   0.338827E-01   0.772345E-03   0.470462E+01   0.480700E-06   0.104999E-01   0.188027E-04
    13   0.360221E+04   0.306786E-01   0.793605E-03   0.446083E+01   0.493789E-06   0.101126E-01   0.162474E-04
    14   0.362293E+04   0.269285E-01   0.868104E-03   0.446460E+01   0.505523E-06   0.976259E-02   0.107026E-04
    15   0.364993E+04   0.239564E-01   0.976072E-03   0.463322E+01   0.516030E-06   0.943160E-02   0.396788E-05
    16   0.368470E+04   0.229882E-01   0.110273E-02   0.489730E+01   0.525424E-06   0.910403E-02  -0.219510E-05
    17   0.372651E+04   0.236806E-01   0.124066E-02   0.519751E+01   0.533827E-06   0.878719E-02  -0.687730E-05
    18   0.377326E+04   0.251678E-01   0.138508E-02   0.548398E+01   0.541348E-06   0.849124E-02  -0.959474E-05
    19   0.382435E+04   0.269100E-01   0.153450E-02   0.572785E+01   0.548034E-06   0.821493E-02  -0.107027E-04
    20   0.387686E+04   0.286619E-01   0.168830E-02   0.591229E+01   0.553928E-06   0.795421E-02  -0.106447E-04
    21   0.393096E+04   0.307614E-01   0.184613E-02   0.606165E+01   0.559121E-06   0.770450E-02  -0.941796E-05
    22   0.398702E+04   0.337074E-01   0.200774E-02   0.620422E+01   0.563703E-06   0.746255E-02  -0.707461E-05
    23   0.404500E+04   0.377010E-01   0.217282E-02   0.634785E+01   0.567713E-06   0.723078E-02  -0.432443E-05
    24   0.410495E+04   0.428036E-01   0.234106E-02   0.649634E+01   0.571181E-06   0.701176E-02  -0.197211E-05
    25   0.416621E+04   0.489899E-01   0.251204E-02   0.665782E+01   0.574154E-06   0.680321E-02  -0.570956E-06
    26   0.422814E+04   0.561564E-01   0.268539E-02   0.683958E+01   0.576683E-06   0.660273E-02  -0.411653E-06
    27   0.429182E+04   0.641389E-01   0.286116E-02   0.703411E+01   0.578806E-06   0.641214E-02  -0.994469E-06
    28   0.435780E+04   0.728274E-01   0.303943E-02   0.723050E+01   0.580553E-06   0.623343E-02  -0.173441E-05
    29   0.442508E+04   0.822752E-01   0.322010E-02   0.741390E+01   0.581924E-06   0.606506E-02  -0.247716E-05
    30   0.449248E+04   0.925525E-01   0.340303E-02   0.756895E+01   0.582924E-06   0.590478E-02  -0.320702E-05
    31   0.456039E+04   0.103594E+00   0.358807E-02   0.768839E+01   0.583601E-06   0.575081E-02  -0.403305E-05
    32   0.462980E+04   0.115321E+00   0.377507E-02   0.776591E+01   0.584005E-06   0.560166E-02  -0.500031E-05
    33   0.470090E+04   0.127776E+00   0.396387E-02   0.779093E+01   0.584153E-06   0.545649E-02  -0.577630E-05
    34   0.477337E+04   0.141049E+00   0.415420E-02   0.775782E+01   0.584055E-06   0.531502E-02  -0.599586E-05
    35   0.484648E+04   0.155252E+00   0.434545E-02   0.768198E+01   0.583729E-06   0.517851E-02  -0.553438E-05
    36   0.491962E+04   0.170477E+00   0.453713E-02   0.757672E+01   0.583193E-06   0.504835E-02  -0.444571E-05
    37   0.499344E+04   0.186694E+00   0.472954E-02   0.742999E+01   0.582462E-06   0.492487E-02  -0.325648E-05
    38   0.506898E+04   0.203876E+00   0.492302E-02   0.723023E+01   0.581550E-06   0.480793E-02  -0.246853E-05
    39   0.514597E+04   0.222094E+00   0.511713E-02   0.698434E+01   0.580467E-06   0.469647E-02  -0.201994E-05
    40   0.522367E+04   0.241450E+00   0.531124E-02   0.670363E+01   0.579220E-06   0.458922E-02  -0.170880E-05
    41   0.530181E+04   0.262025E+00   0.550483E-02   0.639582E+01   0.577821E-06   0.448514E-02  -0.137732E-05
    42   0.538021E+04   0.283800E+00   0.569763E-02   0.605507E+01   0.576278E-06   0.438409E-02  -0.104108E-05
    43   0.545913E+04   0.306730E+00   0.588948E-02   0.567215E+01   0.574601E-06   0.428616E-02  -0.758829E-06
    44   0.553859E+04   0.330754E+00   0.608019E-02   0.523873E+01   0.572802E-06   0.419145E-02  -0.589113E-06
    45   0.561908E+04   0.355823E+00   0.626960E-02   0.474656E+01   0.570890E-06   0.410005E-02  -0.590328E-06
    46   0.570065E+04   0.381908E+00   0.645752E-02   0.418786E+01   0.568875E-06   0.401194E-02  -0.799480E-06
    47   0.578313E+04   0.409048E+00   0.664369E-02   0.356665E+01   0.566765E-06   0.392673E-02  -0.116858E-05
    48   0.586640E+04   0.437307E+00   0.682788E-02   0.289254E+01   0.564567E-06   0.384391E-02  -0.162860E-05
    49   0.595052E+04   0.466724E+00   0.700983E-02   0.217458E+01   0.562288E-06   0.376296E-02  -0.211069E-05
    50   0.603565E+04   0.497334E+00   0.718927E-02   0.141499E+01   0.559934E-06   0.368340E-02  -0.254617E-05
    51   0.612154E+04   0.529153E+00   0.736597E-02   0.612975E+00   0.557513E-06   0.360493E-02  -0.287949E-05
    52   0.620841E+04   0.562245E+00   0.753978E-02  -0.238878E+00   0.555029E-06   0.352813E-02  -0.310696E-05
    53   0.629591E+04   0.596726E+00   0.771055E-02  -0.114777E+01   0.552486E-06   0.345376E-02  -0.323783E-05
    54   0.638396E+04   0.632554E+00   0.787814E-02  -0.211293E+01   0.549889E-06   0.338260E-02  -0.328132E-05
    55   0.647280E+04   0.669672E+00   0.804242E-02  -0.313346E+01   0.547242E-06   0.331544E-02  -0.324660E-05
    56   0.656267E+04   0.707912E+00   0.820323E-02  -0.421378E+01   0.544548E-06   0.325275E-02  -0.314440E-05
    57   0.665347E+04   0.747175E+00   0.836040E-02  -0.535308E+01   0.541812E-06   0.319384E-02  -0.299172E-05
    58   0.674523E+04   0.787490E+00   0.851375E-02  -0.655053E+01   0.539034E-06   0.313773E-02  -0.280707E-05
    59   0.683779E+04   0.828912E+00   0.866309E-02  -0.780527E+01   0.536218E-06   0.308343E-02  -0.260895E-05
    60   0.693116E+04   0.871514E+00   0.880825E-02  -0.911506E+01   0.533366E-06   0.302996E-02  -0.241581E-05
    61   0.702563E+04   0.915399E+00   0.894907E-02  -0.104778E+02   0.530480E-06   0.297655E-02  -0.224323E-05
    62   0.712067E+04   0.960523E+00   0.908544E-02  -0.118947E+02   0.527566E-06   0.292330E-02  -0.209542E-05
    63   0.721653E+04   0.100681E+01   0.921732E-02  -0.133673E+02   0.524626E-06   0.287048E-02  -0.197373E-05
    64   0.731356E+04   0.105422E+01   0.934462E-02  -0.148974E+02   0.521665E-06   0.281839E-02  -0.187954E-05
    65   0.741145E+04   0.110271E+01   0.946728E-02  -0.164861E+02   0.518688E-06   0.276733E-02  -0.181419E-05
    66   0.751052E+04   0.115216E+01   0.958523E-02  -0.181318E+02   0.515698E-06   0.271754E-02  -0.178065E-05
    67   0.761055E+04   0.120259E+01   0.969836E-02  -0.198301E+02   0.512697E-06   0.266913E-02  -0.178818E-05
    68   0.771176E+04   0.125402E+01   0.980656E-02  -0.215774E+02   0.509688E-06   0.262216E-02  -0.184762E-05
    69   0.781383E+04   0.130642E+01   0.990972E-02  -0.233697E+02   0.506673E-06   0.257670E-02  -0.196981E-05
    70   0.791683E+04   0.135985E+01   0.100077E-01  -0.252069E+02   0.503652E-06   0.253279E-02  -0.216557E-05
    71   0.802057E+04   0.141427E+01   0.101005E-01  -0.270896E+02   0.500629E-06   0.249049E-02  -0.243541E-05
    72   0.812514E+04   0.146962E+01   0.101881E-01  -0.290197E+02   0.497602E-06   0.244974E-02  -0.273861E-05
    73   0.823064E+04   0.152581E+01   0.102704E-01  -0.309985E+02   0.494574E-06   0.241048E-02  -0.302420E-05
    74   0.833721E+04   0.158275E+01   0.103475E-01  -0.330259E+02   0.491542E-06   0.237261E-02  -0.324127E-05
    75   0.844507E+04   0.164040E+01   0.104193E-01  -0.351012E+02   0.488509E-06   0.233608E-02  -0.333897E-05
    76   0.855426E+04   0.169872E+01   0.104859E-01  -0.372243E+02   0.485473E-06   0.230078E-02  -0.328364E-05
    77   0.866476E+04   0.175768E+01   0.105474E-01  -0.393944E+02   0.482437E-06   0.226645E-02  -0.311032E-05
    78   0.877651E+04   0.181729E+01   0.106035E-01  -0.416117E+02   0.479402E-06   0.223281E-02  -0.287113E-05
    79   0.888922E+04   0.187751E+01   0.106543E-01  -0.438716E+02   0.476370E-06   0.219958E-02  -0.261815E-05
    80   0.900290E+04   0.193832E+01   0.106999E-01  -0.461744E+02   0.473343E-06   0.216648E-02  -0.240342E-05
    81   0.911738E+04   0.199967E+01   0.107401E-01  -0.485193E+02   0.470321E-06   0.213332E-02  -0.226939E-05
    82   0.923276E+04   0.206152E+01   0.107750E-01  -0.509032E+02   0.467308E-06   0.210025E-02  -0.222044E-05
    83   0.934904E+04   0.212379E+01   0.108045E-01  -0.533230E+02   0.464303E-06   0.206754E-02  -0.225143E-05
    84   0.946635E+04   0.218644E+01   0.108288E-01  -0.557744E+02   0.461307E-06   0.203543E-02  -0.235722E-05
    85   0.958461E+04   0.224936E+01   0.108478E-01  -0.582558E+02   0.458322E-06   0.200417E-02  -0.253268E-05
    86   0.970395E+04   0.231253E+01   0.108615E-01  -0.607641E+02   0.455349E-06   0.197397E-02  -0.276943E-05
    87   0.982457E+04   0.237588E+01   0.108699E-01  -0.632978E+02   0.452389E-06   0.194479E-02  -0.304606E-05
    88   0.994598E+04   0.243938E+01   0.108732E-01  -0.658569E+02   0.449442E-06   0.191654E-02  -0.333792E-05
    89   0.100685E+05   0.250299E+01   0.108712E-01  -0.684425E+02   0.446508E-06   0.188913E-02  -0.362038E-05
    90   0.101920E+05   0.256663E+01   0.108642E-01  -0.710515E+02   0.443588E-06   0.186249E-02  -0.386883E-05
    91   0.103164E+05   0.263026E+01   0.108521E-01  -0.736843E+02   0.440683E-06   0.183652E-02  -0.406350E-05
    92   0.104417E+05   0.269382E+01   0.108349E-01  -0.763387E+02   0.437793E-06   0.181120E-02  -0.420392E-05
    93   0.105680E+05   0.275726E+01   0.108129E-01  -0.790131E+02   0.434918E-06   0.178651E-02  -0.429445E-05
    94   0.106951E+05   0.282050E+01   0.107862E-01  -0.817043E+02   0.432058E-06   0.176243E-02  -0.433944E-05
    95   0.108231E+05   0.288348E+01   0.107547E-01  -0.844115E+02   0.429214E-06   0.173894E-02  -0.434323E-05
    96   0.109518E+05   0.294616E+01   0.107187E-01  -0.871323E+02   0.426386E-06   0.171601E-02  -0.431018E-05
    97   0.110816E+05   0.300847E+01   0.106782E-01  -0.898642E+02   0.423573E-06   0.169364E-02  -0.424463E-05
    98   0.112122E+05   0.307036E+01   0.106333E-01  -0.926035E+02   0.420777E-06   0.167179E-02  -0.415090E-05
    99   0.113436E+05   0.313174E+01   0.105842E-01  -0.953514E+02   0.417996E-06   0.165044E-02  -0.403334E-05
   100   0.114759E+05   0.319257E+01   0.105309E-01  -0.981019E+02   0.415233E-06   0.162959E-02  -0.389628E-05
   101   0.116089E+05   0.325287E+01   0.104736E-01  -0.100856E+03   0.412486E-06   0.160920E-02  -0.374404E-05
   102   0.117431E+05   0.331243E+01   0.104123E-01  -0.103611E+03   0.409756E-06   0.158926E-02  -0.358094E-05
   103   0.118779E+05   0.337129E+01   0.103472E-01  -0.106364E+03   0.407044E-06   0.156975E-02  -0.341132E-05
   104   0.120134E+05   0.342941E+01   0.102784E-01  -0.109112E+03   0.404349E-06   0.155064E-02  -0.323950E-05
   105   0.121497E+05   0.348666E+01   0.102059E-01  -0.111855E+03   0.401671E-06   0.153192E-02  -0.306978E-05
   106   0.122868E+05   0.354307E+01   0.101298E-01  -0.114589E+03   0.399012E-06   0.151357E-02  -0.290648E-05
   107   0.124244E+05   0.359845E+01   0.100504E-01  -0.117312E+03   0.396370E-06   0.149556E-02  -0.275393E-05
   108   0.125630E+05   0.365282E+01   0.996758E-02  -0.120024E+03   0.393747E-06   0.147789E-02  -0.261642E-05
   109   0.127022E+05   0.370608E+01   0.988157E-02  -0.122720E+03   0.391143E-06   0.146052E-02  -0.249827E-05
   110   0.128421E+05   0.375816E+01   0.979245E-02  -0.125398E+03   0.388558E-06   0.144344E-02  -0.240379E-05
   111   0.129827E+05   0.380911E+01   0.970032E-02  -0.128057E+03   0.385991E-06   0.142663E-02  -0.233622E-05
   112   0.131240E+05   0.385881E+01   0.960530E-02  -0.130695E+03   0.383444E-06   0.141008E-02  -0.229453E-05
   113   0.132659E+05   0.390724E+01   0.950754E-02  -0.133310E+03   0.380916E-06   0.139379E-02  -0.227664E-05
   114   0.134085E+05   0.395429E+01   0.940717E-02  -0.135897E+03   0.378407E-06   0.137776E-02  -0.228046E-05
   115   0.135516E+05   0.400007E+01   0.930432E-02  -0.138456E+03   0.375917E-06   0.136197E-02  -0.230392E-05
   116   0.136952E+05   0.404433E+01   0.919913E-02  -0.140983E+03   0.373446E-06   0.134643E-02  -0.234493E-05
   117   0.138394E+05   0.408711E+01   0.909173E-02  -0.143477E+03   0.370993E-06   0.133114E-02  -0.240141E-05
   118   0.139841E+05   0.412853E+01   0.898225E-02  -0.145936E+03   0.368560E-06   0.131607E-02  -0.247129E-05
   119   0.141291E+05   0.416842E+01   0.887083E-02  -0.148356E+03   0.366146E-06   0.130124E-02  -0.255248E-05
   120   0.142745E+05   0.420658E+01   0.875760E-02  -0.150736E+03   0.363750E-06   0.128664E-02  -0.264290E-05
   121   0.144201E+05   0.424329E+01   0.864270E-02  -0.153074E+03   0.361373E-06   0.127225E-02  -0.274049E-05
   122   0.145661E+05   0.427822E+01   0.852625E-02  -0.155366E+03   0.359015E-06   0.125809E-02  -0.284316E-05
   123   0.147123E+05   0.431141E+01   0.840840E-02  -0.157612E+03   0.356675E-06   0.124414E-02  -0.294884E-05
   124   0.148587E+05   0.434290E+01   0.828928E-02  -0.159806E+03   0.354355E-06   0.123040E-02  -0.305546E-05
   125   0.150052E+05   0.437259E+01   0.816902E-02  -0.161949E+03   0.352053E-06   0.121686E-02  -0.316094E-05
   126   0.151519E+05   0.440051E+01   0.804776E-02  -0.164039E+03   0.349769E-06   0.120352E-02  -0.326322E-05
   127   0.152987E+05   0.442650E+01   0.792562E-02  -0.166072E+03   0.347505E-06   0.119037E-02  -0.336022E-05
   128   0.154454E+05   0.445066E+01   0.780275E-02  -0.168047E+03   0.345259E-06   0.117742E-02  -0.344987E-05
   129   0.155923E+05   0.447282E+01   0.767928E-02  -0.169961E+03   0.343031E-06   0.116465E-02  -0.353010E-05
   130   0.157391E+05   0.449295E+01   0.755534E-02  -0.171811E+03   0.340822E-06   0.115207E-02  -0.359884E-05
   131   0.158858E+05   0.451116E+01   0.743105E-02  -0.173596E+03   0.338632E-06   0.113966E-02  -0.365451E-05
   132   0.160325E+05   0.452731E+01   0.730653E-02  -0.175314E+03   0.336460E-06   0.112743E-02  -0.369751E-05
   133   0.161790E+05   0.454148E+01   0.718187E-02  -0.176963E+03   0.334306E-06   0.111537E-02  -0.372872E-05
   134   0.163254E+05   0.455367E+01   0.705717E-02  -0.178539E+03   0.332171E-06   0.110349E-02  -0.374901E-05
   135   0.164715E+05   0.456381E+01   0.693252E-02  -0.180044E+03   0.330054E-06   0.109177E-02  -0.375926E-05
   136   0.166174E+05   0.457191E+01   0.680803E-02  -0.181471E+03   0.327954E-06   0.108023E-02  -0.376036E-05
