#           k/h    P           
   0.100000E-03   0.229626E+04
   0.102020E-03   0.233991E+04
   0.104081E-03   0.238439E+04
   0.106184E-03   0.242972E+04
   0.108329E-03   0.247591E+04
   0.110517E-03   0.252768E+04
   0.112750E-03   0.257572E+04
   0.115027E-03   0.262468E+04
   0.117351E-03   0.267456E+04
   0.119722E-03   0.273048E+04
   0.122140E-03   0.278237E+04
   0.124608E-03   0.283524E+04
   0.127125E-03   0.288912E+04
   0.129693E-03   0.294952E+04
   0.132313E-03   0.300556E+04
   0.134986E-03   0.306266E+04
   0.137713E-03   0.312084E+04
   0.140495E-03   0.318608E+04
   0.143333E-03   0.324659E+04
   0.146228E-03   0.330826E+04
   0.149182E-03   0.337109E+04
   0.152196E-03   0.344156E+04
   0.155271E-03   0.350690E+04
   0.158407E-03   0.357349E+04
   0.161607E-03   0.364134E+04
   0.164872E-03   0.371048E+04
   0.168203E-03   0.378801E+04
   0.171601E-03   0.385991E+04
   0.175067E-03   0.393317E+04
   0.178604E-03   0.400782E+04
   0.182212E-03   0.409155E+04
   0.185893E-03   0.416918E+04
   0.189648E-03   0.424828E+04
   0.193479E-03   0.432888E+04
   0.197388E-03   0.441929E+04
   0.201375E-03   0.450311E+04
   0.205443E-03   0.458851E+04
   0.209594E-03   0.467553E+04
   0.213828E-03   0.477315E+04
   0.218147E-03   0.486363E+04
   0.222554E-03   0.495582E+04
   0.227050E-03   0.504975E+04
   0.231637E-03   0.515515E+04
   0.236316E-03   0.525282E+04
   0.241090E-03   0.535233E+04
   0.245960E-03   0.545372E+04
   0.250929E-03   0.556750E+04
   0.255998E-03   0.567292E+04
   0.261170E-03   0.578032E+04
   0.266446E-03   0.588974E+04
   0.271828E-03   0.600122E+04
   0.277319E-03   0.612632E+04
   0.282922E-03   0.624222E+04
   0.288637E-03   0.636029E+04
   0.294468E-03   0.648058E+04
   0.300417E-03   0.661559E+04
   0.306485E-03   0.674064E+04
   0.312677E-03   0.686803E+04
   0.318993E-03   0.699780E+04
   0.325437E-03   0.714348E+04
   0.332012E-03   0.727837E+04
   0.338719E-03   0.741579E+04
   0.345561E-03   0.755577E+04
   0.352542E-03   0.771293E+04
   0.359664E-03   0.785841E+04
   0.366930E-03   0.800661E+04
   0.374342E-03   0.815757E+04
   0.381904E-03   0.832708E+04
   0.389619E-03   0.848395E+04
   0.397490E-03   0.864373E+04
   0.405520E-03   0.880648E+04
   0.413712E-03   0.898927E+04
   0.422070E-03   0.915837E+04
   0.430596E-03   0.933060E+04
   0.439295E-03   0.950601E+04
   0.448169E-03   0.968466E+04
   0.457222E-03   0.988530E+04
   0.466459E-03   0.100709E+05
   0.475882E-03   0.102599E+05
   0.485496E-03   0.104524E+05
   0.495303E-03   0.106686E+05
   0.505309E-03   0.108685E+05
   0.515517E-03   0.110721E+05
   0.525931E-03   0.112793E+05
   0.536556E-03   0.115123E+05
   0.547395E-03   0.117275E+05
   0.558453E-03   0.119467E+05
   0.569734E-03   0.121699E+05
   0.581244E-03   0.124207E+05
   0.592986E-03   0.126523E+05
   0.604965E-03   0.128882E+05
   0.617186E-03   0.131284E+05
