#    L    TT             EE             TE             PP             TP          
     2   0.488338E+04   0.236502E+00   0.145773E+02   0.439566E+07   0.139578E+06
     3   0.454600E+04   0.380557E+00   0.182456E+02   0.677501E+07   0.165734E+06
     4   0.423378E+04   0.421016E+00   0.187156E+02   0.888556E+07   0.177899E+06
     5   0.399303E+04   0.367242E+00   0.172927E+02   0.107496E+08   0.182617E+06
     6   0.381720E+04   0.266692E+00   0.149957E+02   0.123946E+08   0.183142E+06
     7   0.369505E+04   0.167026E+00   0.124653E+02   0.138529E+08   0.181356E+06
     8   0.361307E+04   0.954222E-01   0.100846E+02   0.151505E+08   0.178149E+06
     9   0.356145E+04   0.564054E-01   0.804933E+01   0.163106E+08   0.173974E+06
    10   0.353286E+04   0.407149E-01   0.646601E+01   0.173486E+08   0.169195E+06
    11   0.352024E+04   0.359312E-01   0.536967E+01   0.182840E+08   0.164273E+06
    12   0.352429E+04   0.331944E-01   0.475242E+01   0.191242E+08   0.159495E+06
    13   0.353927E+04   0.299171E-01   0.450756E+01   0.198795E+08   0.154985E+06
    14   0.355987E+04   0.260595E-01   0.451206E+01   0.205611E+08   0.150774E+06
    15   0.358670E+04   0.229612E-01   0.468291E+01   0.211763E+08   0.146639E+06
    16   0.362124E+04   0.218577E-01   0.495043E+01   0.217313E+08   0.142379E+06
    17   0.366285E+04   0.224083E-01   0.525509E+01   0.222324E+08   0.138140E+06
    18   0.370947E+04   0.237477E-01   0.554687E+01   0.226855E+08   0.134108E+06
    19   0.376050E+04   0.253361E-01   0.579668E+01   0.230934E+08   0.130285E+06
    20   0.381302E+04   0.269282E-01   0.598747E+01   0.234589E+08   0.126625E+06
    21   0.386718E+04   0.288618E-01   0.614365E+01   0.237866E+08   0.123068E+06
    22   0.392334E+04   0.316363E-01   0.629359E+01   0.240809E+08   0.119574E+06
    23   0.398146E+04   0.354531E-01   0.644506E+01   0.243442E+08   0.116189E+06
    24   0.404158E+04   0.403745E-01   0.660177E+01   0.245781E+08   0.112964E+06
    25   0.410304E+04   0.463755E-01   0.677181E+01   0.247853E+08   0.109868E+06
    26   0.416520E+04   0.533531E-01   0.696244E+01   0.249683E+08   0.106867E+06
    27   0.422913E+04   0.611441E-01   0.716603E+01   0.251291E+08   0.103996E+06
    28   0.429540E+04   0.696390E-01   0.737159E+01   0.252694E+08   0.101292E+06
    29   0.436300E+04   0.788889E-01   0.756438E+01   0.253894E+08   0.987318E+05
    30   0.443074E+04   0.889622E-01   0.772912E+01   0.254896E+08   0.962830E+05
    31   0.449901E+04   0.997944E-01   0.785851E+01   0.255724E+08   0.939189E+05
    32   0.456881E+04   0.111307E+00   0.794610E+01   0.256402E+08   0.916172E+05
    33   0.464031E+04   0.123545E+00   0.798130E+01   0.256939E+08   0.893659E+05
    34   0.471321E+04   0.136600E+00   0.795845E+01   0.257341E+08   0.871621E+05
    35   0.478677E+04   0.150582E+00   0.789291E+01   0.257618E+08   0.850276E+05
    36   0.486038E+04   0.165584E+00   0.779798E+01   0.257779E+08   0.829865E+05
    37   0.493469E+04   0.181575E+00   0.766157E+01   0.257832E+08   0.810455E+05
    38   0.501074E+04   0.198527E+00   0.747208E+01   0.257785E+08   0.792033E+05
    39   0.508825E+04   0.216513E+00   0.723640E+01   0.257644E+08   0.774435E+05
    40   0.516649E+04   0.235634E+00   0.696586E+01   0.257412E+08   0.757459E+05
    41   0.524519E+04   0.255973E+00   0.666815E+01   0.257096E+08   0.740942E+05
    42   0.532415E+04   0.277511E+00   0.633743E+01   0.256700E+08   0.724865E+05
    43   0.540367E+04   0.300202E+00   0.596444E+01   0.256231E+08   0.709249E+05
    44   0.548373E+04   0.323987E+00   0.554083E+01   0.255692E+08   0.694115E+05
    45   0.556484E+04   0.348815E+00   0.505835E+01   0.255091E+08   0.679481E+05
    46   0.564703E+04   0.374659E+00   0.450918E+01   0.254431E+08   0.665352E+05
    47   0.573015E+04   0.401556E+00   0.389732E+01   0.253717E+08   0.651662E+05
    48   0.581409E+04   0.429572E+00   0.323239E+01   0.252952E+08   0.638333E+05
    49   0.589886E+04   0.458746E+00   0.252340E+01   0.252141E+08   0.625281E+05
    50   0.598467E+04   0.489114E+00   0.177256E+01   0.251287E+08   0.612428E+05
    51   0.607124E+04   0.520689E+00   0.979047E+00   0.250393E+08   0.599727E+05
    52   0.615881E+04   0.553540E+00   0.135453E+00   0.249462E+08   0.587275E+05
    53   0.624701E+04   0.587779E+00  -0.765432E+00   0.248496E+08   0.575203E+05
    54   0.633577E+04   0.623367E+00  -0.172284E+01   0.247497E+08   0.563643E+05
    55   0.642533E+04   0.660247E+00  -0.273591E+01   0.246469E+08   0.552726E+05
    56   0.651591E+04   0.698250E+00  -0.380902E+01   0.245412E+08   0.542534E+05
    57   0.660745E+04   0.737278E+00  -0.494142E+01   0.244329E+08   0.532955E+05
    58   0.669994E+04   0.777360E+00  -0.613225E+01   0.243221E+08   0.523825E+05
    59   0.679324E+04   0.818551E+00  -0.738070E+01   0.242090E+08   0.514981E+05
    60   0.688735E+04   0.860923E+00  -0.868451E+01   0.240936E+08   0.506262E+05
    61   0.698257E+04   0.904581E+00  -0.100416E+02   0.239761E+08   0.497539E+05
    62   0.707835E+04   0.949480E+00  -0.114532E+02   0.238568E+08   0.488828E+05
    63   0.717496E+04   0.995542E+00  -0.129209E+02   0.237358E+08   0.480177E+05
    64   0.727276E+04   0.104274E+01  -0.144463E+02   0.236134E+08   0.471636E+05
    65   0.737140E+04   0.109101E+01  -0.160307E+02   0.234897E+08   0.463256E+05
    66   0.747122E+04   0.114025E+01  -0.176724E+02   0.233650E+08   0.455078E+05
    67   0.757201E+04   0.119046E+01  -0.193670E+02   0.232395E+08   0.447121E+05
    68   0.767397E+04   0.124169E+01  -0.211109E+02   0.231131E+08   0.439396E+05
    69   0.777680E+04   0.129389E+01  -0.229003E+02   0.229860E+08   0.431913E+05
    70   0.788056E+04   0.134712E+01  -0.247348E+02   0.228583E+08   0.424684E+05
    71   0.798504E+04   0.140135E+01  -0.266154E+02   0.227301E+08   0.417715E+05
    72   0.809037E+04   0.145651E+01  -0.285436E+02   0.226014E+08   0.411000E+05
    73   0.819662E+04   0.151251E+01  -0.305209E+02   0.224722E+08   0.404525E+05
    74   0.830393E+04   0.156927E+01  -0.325471E+02   0.223427E+08   0.398280E+05
    75   0.841254E+04   0.162675E+01  -0.346215E+02   0.222127E+08   0.392253E+05
    76   0.852246E+04   0.168489E+01  -0.367441E+02   0.220823E+08   0.386425E+05
    77   0.863370E+04   0.174368E+01  -0.389138E+02   0.219516E+08   0.380755E+05
    78   0.874617E+04   0.180313E+01  -0.411311E+02   0.218207E+08   0.375197E+05
    79   0.885961E+04   0.186319E+01  -0.433913E+02   0.216896E+08   0.369702E+05
    80   0.897401E+04   0.192385E+01  -0.456948E+02   0.215585E+08   0.364224E+05
    81   0.908920E+04   0.198504E+01  -0.480408E+02   0.214274E+08   0.358731E+05
    82   0.920529E+04   0.204676E+01  -0.504261E+02   0.212965E+08   0.353249E+05
    83   0.932227E+04   0.210890E+01  -0.528476E+02   0.211657E+08   0.347823E+05
    84   0.944027E+04   0.217141E+01  -0.553010E+02   0.210351E+08   0.342494E+05
    85   0.955922E+04   0.223421E+01  -0.577848E+02   0.209047E+08   0.337305E+05
    86   0.967924E+04   0.229727E+01  -0.602956E+02   0.207748E+08   0.332289E+05
    87   0.980052E+04   0.236050E+01  -0.628322E+02   0.206452E+08   0.327441E+05
    88   0.992260E+04   0.242389E+01  -0.653944E+02   0.205159E+08   0.322748E+05
    89   0.100458E+05   0.248740E+01  -0.679834E+02   0.203872E+08   0.318193E+05
    90   0.101700E+05   0.255095E+01  -0.705961E+02   0.202589E+08   0.313763E+05
    91   0.102949E+05   0.261449E+01  -0.732327E+02   0.201311E+08   0.309444E+05
    92   0.104209E+05   0.267797E+01  -0.758913E+02   0.200038E+08   0.305232E+05
    93   0.105478E+05   0.274134E+01  -0.785700E+02   0.198770E+08   0.301124E+05
    94   0.106755E+05   0.280451E+01  -0.812659E+02   0.197508E+08   0.297115E+05
    95   0.108041E+05   0.286743E+01  -0.839779E+02   0.196251E+08   0.293204E+05
    96   0.109334E+05   0.293006E+01  -0.867037E+02   0.195000E+08   0.289385E+05
    97   0.110638E+05   0.299232E+01  -0.894408E+02   0.193755E+08   0.285657E+05
    98   0.111950E+05   0.305416E+01  -0.921855E+02   0.192516E+08   0.282016E+05
    99   0.113269E+05   0.311550E+01  -0.949391E+02   0.191283E+08   0.278458E+05
   100   0.114597E+05   0.317630E+01  -0.976953E+02   0.190056E+08   0.274981E+05
   101   0.115933E+05   0.323657E+01  -0.100456E+03   0.188836E+08   0.271581E+05
   102   0.117281E+05   0.329612E+01  -0.103216E+03   0.187622E+08   0.268254E+05
   103   0.118633E+05   0.335497E+01  -0.105976E+03   0.186415E+08   0.264997E+05
   104   0.119994E+05   0.341308E+01  -0.108730E+03   0.185215E+08   0.261808E+05
   105   0.121362E+05   0.347033E+01  -0.111479E+03   0.184022E+08   0.258683E+05
   106   0.122738E+05   0.352674E+01  -0.114220E+03   0.182836E+08   0.255618E+05
   107   0.124118E+05   0.358213E+01  -0.116950E+03   0.181658E+08   0.252610E+05
   108   0.125509E+05   0.363653E+01  -0.119669E+03   0.180487E+08   0.249657E+05
   109   0.126906E+05   0.368980E+01  -0.122372E+03   0.179323E+08   0.246754E+05
   110   0.128309E+05   0.374192E+01  -0.125056E+03   0.178167E+08   0.243898E+05
   111   0.129720E+05   0.379290E+01  -0.127723E+03   0.177019E+08   0.241087E+05
   112   0.131136E+05   0.384265E+01  -0.130369E+03   0.175879E+08   0.238319E+05
   113   0.132560E+05   0.389112E+01  -0.132990E+03   0.174747E+08   0.235594E+05
   114   0.133989E+05   0.393822E+01  -0.135584E+03   0.173623E+08   0.232911E+05
   115   0.135425E+05   0.398406E+01  -0.138151E+03   0.172506E+08   0.230268E+05
   116   0.136864E+05   0.402838E+01  -0.140685E+03   0.171398E+08   0.227667E+05
   117   0.138310E+05   0.407124E+01  -0.143187E+03   0.170297E+08   0.225105E+05
   118   0.139760E+05   0.411274E+01  -0.145653E+03   0.169204E+08   0.222581E+05
