#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.488338E+04   0.145773E+02   0.149708E-01   0.145773E+02   0.236502E+00  -0.704975E-04   0.149708E-01  -0.704975E-04   0.211823E-06
     3   0.454600E+04   0.182456E+02   0.148975E-01   0.182456E+02   0.380557E+00  -0.856048E-04   0.148975E-01  -0.856048E-04   0.257961E-06
     4   0.423378E+04   0.187156E+02   0.145155E-01   0.187156E+02   0.421016E+00  -0.853692E-04   0.145155E-01  -0.853692E-04   0.297353E-06
     5   0.399303E+04   0.172927E+02   0.140155E-01   0.172927E+02   0.367242E+00  -0.743123E-04   0.140155E-01  -0.743123E-04   0.331528E-06
     6   0.381720E+04   0.149957E+02   0.134742E-01   0.149957E+02   0.266692E+00  -0.565363E-04   0.134742E-01  -0.565363E-04   0.361321E-06
     7   0.369505E+04   0.124653E+02   0.129364E-01   0.124653E+02   0.167026E+00  -0.359719E-04   0.129364E-01  -0.359719E-04   0.387516E-06
     8   0.361307E+04   0.100846E+02   0.124110E-01   0.100846E+02   0.954222E-01  -0.161747E-04   0.124110E-01  -0.161747E-04   0.410676E-06
     9   0.356145E+04   0.804933E+01   0.118964E-01   0.804933E+01   0.564054E-01   0.800392E-07   0.118964E-01   0.800392E-07   0.431271E-06
    10   0.353286E+04   0.646601E+01   0.113964E-01   0.646601E+01   0.407149E-01   0.113262E-04   0.113964E-01   0.113262E-04   0.449589E-06
    11   0.352024E+04   0.536967E+01   0.109280E-01   0.536967E+01   0.359312E-01   0.174083E-04   0.109280E-01   0.174083E-04   0.466032E-06
    12   0.352429E+04   0.475242E+01   0.104997E-01   0.475242E+01   0.331944E-01   0.188057E-04   0.104997E-01   0.188057E-04   0.480700E-06
    13   0.353927E+04   0.450756E+01   0.101125E-01   0.450756E+01   0.299171E-01   0.162474E-04   0.101125E-01   0.162474E-04   0.493789E-06
    14   0.355987E+04   0.451206E+01   0.976251E-02   0.451206E+01   0.260595E-01   0.107062E-04   0.976251E-02   0.107062E-04   0.505522E-06
    15   0.358670E+04   0.468291E+01   0.943160E-02   0.468291E+01   0.229612E-01   0.396788E-05   0.943160E-02   0.396788E-05   0.516030E-06
    16   0.362124E+04   0.495043E+01   0.910406E-02   0.495043E+01   0.218577E-01  -0.219540E-05   0.910406E-02  -0.219540E-05   0.525424E-06
    17   0.366285E+04   0.525509E+01   0.878719E-02   0.525509E+01   0.224083E-01  -0.687730E-05   0.878719E-02  -0.687730E-05   0.533827E-06
    18   0.370947E+04   0.554687E+01   0.849121E-02   0.554687E+01   0.237477E-01  -0.959616E-05   0.849121E-02  -0.959616E-05   0.541348E-06
    19   0.376050E+04   0.579668E+01   0.821493E-02   0.579668E+01   0.253361E-01  -0.107027E-04   0.821493E-02  -0.107027E-04   0.548034E-06
    20   0.381302E+04   0.598747E+01   0.795421E-02   0.598747E+01   0.269282E-01  -0.106439E-04   0.795421E-02  -0.106439E-04   0.553928E-06
