#    L    TT             EE             BB             TE          
     2   0.870119E+02   0.285532E-02   0.459645E-02   0.654773E-01
     3   0.697284E+02   0.360066E-02   0.523371E-02  -0.625111E-01
     4   0.652073E+02   0.377174E-02   0.507573E-02  -0.103010E+00
     5   0.633511E+02   0.341497E-02   0.440522E-02  -0.110482E+00
     6   0.625126E+02   0.276739E-02   0.351786E-02  -0.102937E+00
     7   0.621987E+02   0.205903E-02   0.264157E-02  -0.898974E-01
     8   0.621481E+02   0.145396E-02   0.190899E-02  -0.766259E-01
     9   0.622635E+02   0.102441E-02   0.137048E-02  -0.655455E-01
    10   0.624792E+02   0.777694E-03   0.102317E-02  -0.568469E-01
    11   0.627035E+02   0.680991E-03   0.836718E-03  -0.510467E-01
    12   0.628441E+02   0.688278E-03   0.772345E-03  -0.478066E-01
    13   0.629423E+02   0.761457E-03   0.793605E-03  -0.467253E-01
    14   0.630643E+02   0.868963E-03   0.868104E-03  -0.474646E-01
    15   0.632361E+02   0.995225E-03   0.976072E-03  -0.496964E-01
    16   0.634577E+02   0.113049E-02   0.110273E-02  -0.531254E-01
    17   0.636660E+02   0.127230E-02   0.124066E-02  -0.575782E-01
    18   0.637975E+02   0.142012E-02   0.138508E-02  -0.628925E-01
    19   0.638507E+02   0.157392E-02   0.153450E-02  -0.688261E-01
    20   0.638400E+02   0.173375E-02   0.168830E-02  -0.751797E-01
    21   0.637791E+02   0.189955E-02   0.184613E-02  -0.820020E-01
    22   0.636799E+02   0.207111E-02   0.200774E-02  -0.893681E-01
    23   0.635450E+02   0.224785E-02   0.217282E-02  -0.972082E-01
    24   0.633754E+02   0.242911E-02   0.234106E-02  -0.105430E+00
    25   0.631744E+02   0.261442E-02   0.251204E-02  -0.113993E+00
    26   0.629452E+02   0.280325E-02   0.268539E-02  -0.122857E+00
    27   0.626874E+02   0.299471E-02   0.286116E-02  -0.131915E+00
    28   0.624006E+02   0.318841E-02   0.303943E-02  -0.141088E+00
    29   0.620854E+02   0.338630E-02   0.322010E-02  -0.150474E+00
    30   0.617437E+02   0.359031E-02   0.340303E-02  -0.160171E+00
    31   0.613795E+02   0.379999E-02   0.358807E-02  -0.170111E+00
