#    L    TT             EE             BB             TE          
     2   0.497039E+04   0.239358E+00   0.459645E-02   0.146428E+02
     3   0.461573E+04   0.384158E+00   0.523371E-02   0.181831E+02
     4   0.429899E+04   0.424788E+00   0.507573E-02   0.186126E+02
     5   0.405638E+04   0.370657E+00   0.440522E-02   0.171822E+02
     6   0.387971E+04   0.269459E+00   0.351786E-02   0.148928E+02
     7   0.375724E+04   0.169085E+00   0.264157E-02   0.123754E+02
     8   0.367522E+04   0.968762E-01   0.190899E-02   0.100080E+02
     9   0.362372E+04   0.574298E-01   0.137048E-02   0.798379E+01
    10   0.359533E+04   0.414926E-01   0.102317E-02   0.640917E+01
    11   0.358295E+04   0.366122E-01   0.836718E-03   0.531862E+01
    12   0.358713E+04   0.338827E-01   0.772345E-03   0.470462E+01
    13   0.360221E+04   0.306786E-01   0.793605E-03   0.446083E+01
    14   0.362293E+04   0.269285E-01   0.868104E-03   0.446460E+01
    15   0.364993E+04   0.239564E-01   0.976072E-03   0.463322E+01
    16   0.368470E+04   0.229882E-01   0.110273E-02   0.489730E+01
    17   0.372651E+04   0.236806E-01   0.124066E-02   0.519751E+01
    18   0.377326E+04   0.251678E-01   0.138508E-02   0.548398E+01
    19   0.382435E+04   0.269100E-01   0.153450E-02   0.572785E+01
    20   0.387686E+04   0.286619E-01   0.168830E-02   0.591229E+01
    21   0.393096E+04   0.307614E-01   0.184613E-02   0.606165E+01
    22   0.398702E+04   0.337074E-01   0.200774E-02   0.620422E+01
    23   0.404500E+04   0.377010E-01   0.217282E-02   0.634785E+01
    24   0.410495E+04   0.428036E-01   0.234106E-02   0.649634E+01
    25   0.416621E+04   0.489899E-01   0.251204E-02   0.665782E+01
    26   0.422814E+04   0.561564E-01   0.268539E-02   0.683958E+01
    27   0.429182E+04   0.641389E-01   0.286116E-02   0.703411E+01
    28   0.435780E+04   0.728274E-01   0.303943E-02   0.723050E+01
    29   0.442508E+04   0.822752E-01   0.322010E-02   0.741390E+01
    30   0.449248E+04   0.925525E-01   0.340303E-02   0.756895E+01
    31   0.456039E+04   0.103594E+00   0.358807E-02   0.768839E+01
    32   0.462980E+04   0.115321E+00   0.377507E-02   0.776591E+01
    33   0.470090E+04   0.127776E+00   0.396387E-02   0.779093E+01
    34   0.477337E+04   0.141049E+00   0.415420E-02   0.775782E+01
    35   0.484648E+04   0.155252E+00   0.434545E-02   0.768198E+01
    36   0.491962E+04   0.170477E+00   0.453713E-02   0.757672E+01
    37   0.499344E+04   0.186694E+00   0.472954E-02   0.742999E+01
    38   0.506898E+04   0.203876E+00   0.492302E-02   0.723023E+01
    39   0.514597E+04   0.222094E+00   0.511713E-02   0.698434E+01
    40   0.522367E+04   0.241450E+00   0.531124E-02   0.670363E+01
    41   0.530181E+04   0.262025E+00   0.550483E-02   0.639582E+01
    42   0.538021E+04   0.283800E+00   0.569763E-02   0.605507E+01
    43   0.545913E+04   0.306730E+00   0.588948E-02   0.567215E+01
    44   0.553859E+04   0.330754E+00   0.608019E-02   0.523873E+01
    45   0.561908E+04   0.355823E+00   0.626960E-02   0.474656E+01
    46   0.570065E+04   0.381908E+00   0.645752E-02   0.418786E+01
    47   0.578313E+04   0.409048E+00   0.664369E-02   0.356665E+01
    48   0.586640E+04   0.437307E+00   0.682788E-02   0.289254E+01
    49   0.595052E+04   0.466724E+00   0.700983E-02   0.217458E+01
    50   0.603565E+04   0.497334E+00   0.718927E-02   0.141499E+01
    51   0.612154E+04   0.529153E+00   0.736597E-02   0.612975E+00
    52   0.620841E+04   0.562245E+00   0.753978E-02  -0.238878E+00
    53   0.629591E+04   0.596726E+00   0.771055E-02  -0.114777E+01
    54   0.638396E+04   0.632554E+00   0.787814E-02  -0.211293E+01
    55   0.647280E+04   0.669672E+00   0.804242E-02  -0.313346E+01
    56   0.656267E+04   0.707912E+00   0.820323E-02  -0.421378E+01
    57   0.665347E+04   0.747175E+00   0.836040E-02  -0.535308E+01
    58   0.674523E+04   0.787490E+00   0.851375E-02  -0.655053E+01
    59   0.683779E+04   0.828912E+00   0.866309E-02  -0.780527E+01
    60   0.693116E+04   0.871514E+00   0.880825E-02  -0.911506E+01
    61   0.702563E+04   0.915399E+00   0.894907E-02  -0.104778E+02
    62   0.712067E+04   0.960523E+00   0.908544E-02  -0.118947E+02
    63   0.721653E+04   0.100681E+01   0.921732E-02  -0.133673E+02
    64   0.731356E+04   0.105422E+01   0.934462E-02  -0.148974E+02
    65   0.741145E+04   0.110271E+01   0.946728E-02  -0.164861E+02
    66   0.751052E+04   0.115216E+01   0.958523E-02  -0.181318E+02
    67   0.761055E+04   0.120259E+01   0.969836E-02  -0.198301E+02
    68   0.771176E+04   0.125402E+01   0.980656E-02  -0.215774E+02
    69   0.781383E+04   0.130642E+01   0.990972E-02  -0.233697E+02
    70   0.791683E+04   0.135985E+01   0.100077E-01  -0.252069E+02
    71   0.802057E+04   0.141427E+01   0.101005E-01  -0.270896E+02
    72   0.812514E+04   0.146962E+01   0.101881E-01  -0.290197E+02
    73   0.823064E+04   0.152581E+01   0.102704E-01  -0.309985E+02
    74   0.833721E+04   0.158275E+01   0.103475E-01  -0.330259E+02
    75   0.844507E+04   0.164040E+01   0.104193E-01  -0.351012E+02
    76   0.855426E+04   0.169872E+01   0.104859E-01  -0.372243E+02
    77   0.866476E+04   0.175768E+01   0.105474E-01  -0.393944E+02
    78   0.877651E+04   0.181729E+01   0.106035E-01  -0.416117E+02
    79   0.888922E+04   0.187751E+01   0.106543E-01  -0.438716E+02
    80   0.900290E+04   0.193832E+01   0.106999E-01  -0.461744E+02
    81   0.911738E+04   0.199967E+01   0.107401E-01  -0.485193E+02
    82   0.923276E+04   0.206152E+01   0.107750E-01  -0.509032E+02
    83   0.934904E+04   0.212379E+01   0.108045E-01  -0.533230E+02
    84   0.946635E+04   0.218644E+01   0.108288E-01  -0.557744E+02
    85   0.958461E+04   0.224936E+01   0.108478E-01  -0.582558E+02
    86   0.970395E+04   0.231253E+01   0.108615E-01  -0.607641E+02
    87   0.982457E+04   0.237588E+01   0.108699E-01  -0.632978E+02
    88   0.994598E+04   0.243938E+01   0.108732E-01  -0.658569E+02
    89   0.100685E+05   0.250299E+01   0.108712E-01  -0.684425E+02
    90   0.101920E+05   0.256663E+01   0.108642E-01  -0.710515E+02
    91   0.103164E+05   0.263026E+01   0.108521E-01  -0.736843E+02
    92   0.104417E+05   0.269382E+01   0.108349E-01  -0.763387E+02
    93   0.105680E+05   0.275726E+01   0.108129E-01  -0.790131E+02
    94   0.106951E+05   0.282050E+01   0.107862E-01  -0.817043E+02
    95   0.108231E+05   0.288348E+01   0.107547E-01  -0.844115E+02
    96   0.109518E+05   0.294616E+01   0.107187E-01  -0.871323E+02
    97   0.110816E+05   0.300847E+01   0.106782E-01  -0.898642E+02
