#    L    TT             EE             BB             TE          
     2   0.152516E+04   0.737902E-01   0.269286E-05   0.454328E+01
     3   0.142041E+04   0.118821E+00   0.538661E-05   0.569146E+01
     4   0.132335E+04   0.131518E+00   0.897967E-05   0.584148E+01
     5   0.124852E+04   0.114766E+00   0.134732E-04   0.539983E+01
     6   0.119392E+04   0.833744E-01   0.188687E-04   0.468432E+01
     7   0.115605E+04   0.522412E-01   0.251677E-04   0.389506E+01
     8   0.113070E+04   0.298700E-01   0.323724E-04   0.315201E+01
     9   0.111481E+04   0.176828E-01   0.404849E-04   0.251650E+01
    10   0.110612E+04   0.127887E-01   0.495076E-04   0.202199E+01
    11   0.110242E+04   0.113054E-01   0.594431E-04   0.167958E+01
    12   0.110403E+04   0.105333E-01   0.702942E-04   0.148673E+01
    13   0.110884E+04   0.944931E-02   0.820638E-04   0.141061E+01
    14   0.111546E+04   0.823673E-02   0.947550E-04   0.141234E+01
    15   0.112408E+04   0.729999E-02   0.108371E-03   0.146600E+01
    16   0.113508E+04   0.695442E-02   0.122915E-03   0.155018E+01
    17   0.114833E+04   0.715863E-02   0.138390E-03   0.164554E+01
    18   0.116283E+04   0.760300E-02   0.154800E-03   0.173670E+01
    19   0.117930E+04   0.811046E-02   0.172148E-03   0.181542E+01
    20   0.119596E+04   0.863480E-02   0.190437E-03   0.187529E+01
    21   0.121308E+04   0.925341E-02   0.209670E-03   0.192432E+01
    22   0.123089E+04   0.101388E-01   0.229852E-03   0.197137E+01
    23   0.124924E+04   0.113611E-01   0.250984E-03   0.201894E+01
    24   0.126824E+04   0.129229E-01   0.273070E-03   0.206823E+01
    25   0.128769E+04   0.148305E-01   0.296112E-03   0.212143E+01
    26   0.130731E+04   0.170453E-01   0.320114E-03   0.218135E+01
    27   0.132756E+04   0.195100E-01   0.345077E-03   0.224506E+01
    28   0.134847E+04   0.222002E-01   0.371004E-03   0.230928E+01
    29   0.136983E+04   0.251276E-01   0.397898E-03   0.236984E+01
    30   0.139128E+04   0.283137E-01   0.425759E-03   0.242153E+01
    31   0.141281E+04   0.317420E-01   0.454590E-03   0.246214E+01
    32   0.143484E+04   0.353843E-01   0.484391E-03   0.248972E+01
    33   0.145744E+04   0.392525E-01   0.515165E-03   0.250059E+01
    34   0.148045E+04   0.433801E-01   0.546911E-03   0.249315E+01
    35   0.150368E+04   0.477991E-01   0.579631E-03   0.247269E+01
    36   0.152695E+04   0.525394E-01   0.613325E-03   0.244314E+01
    37   0.155038E+04   0.575915E-01   0.647992E-03   0.239994E+01
    38   0.157436E+04   0.629491E-01   0.683634E-03   0.234002E+01
    39   0.159887E+04   0.686301E-01   0.720248E-03   0.226590E+01
    40   0.162354E+04   0.746640E-01   0.757836E-03   0.218134E+01
    41   0.164846E+04   0.810781E-01   0.796395E-03   0.208868E+01
    42   0.167338E+04   0.878711E-01   0.835926E-03   0.198556E+01
    43   0.169849E+04   0.950343E-01   0.876426E-03   0.186849E+01
    44   0.172366E+04   0.102544E+00   0.917894E-03   0.173483E+01
    45   0.174927E+04   0.110387E+00   0.960330E-03   0.158203E+01
    46   0.177527E+04   0.118556E+00   0.100373E-02   0.140650E+01
    47   0.180152E+04   0.127060E+00   0.104809E-02   0.121030E+01
    48   0.182795E+04   0.135915E+00   0.109342E-02   0.999586E+00
    49   0.185461E+04   0.145116E+00   0.113971E-02   0.779902E+00
    50   0.188173E+04   0.154652E+00   0.118695E-02   0.550017E+00
    51   0.190909E+04   0.164504E+00   0.123515E-02   0.306713E+00
    52   0.193690E+04   0.174751E+00   0.128430E-02   0.444701E-01
    53   0.196478E+04   0.185533E+00   0.133441E-02  -0.240959E+00
    54   0.199266E+04   0.196836E+00   0.138547E-02  -0.545848E+00
    55   0.202074E+04   0.208627E+00   0.143747E-02  -0.866358E+00
    56   0.204924E+04   0.220757E+00   0.149043E-02  -0.120462E+01
    57   0.207810E+04   0.233122E+00   0.154432E-02  -0.156037E+01
    58   0.210732E+04   0.245736E+00   0.159917E-02  -0.193396E+01
    59   0.213677E+04   0.258643E+00   0.165496E-02  -0.232577E+01
    60   0.216646E+04   0.271903E+00   0.171169E-02  -0.273475E+01
    61   0.219669E+04   0.285611E+00   0.176936E-02  -0.315977E+01
    62   0.222688E+04   0.299750E+00   0.182797E-02  -0.360184E+01
    63   0.225726E+04   0.314271E+00   0.188753E-02  -0.406211E+01
    64   0.228813E+04   0.329177E+00   0.194802E-02  -0.454196E+01
    65   0.231913E+04   0.344436E+00   0.200946E-02  -0.504218E+01
    66   0.235055E+04   0.359974E+00   0.207184E-02  -0.556098E+01
    67   0.238222E+04   0.375795E+00   0.213517E-02  -0.609541E+01
    68   0.241441E+04   0.391945E+00   0.219944E-02  -0.664349E+01
    69   0.244684E+04   0.408387E+00   0.226465E-02  -0.720320E+01
    70   0.247965E+04   0.425168E+00   0.233081E-02  -0.777592E+01
    71   0.251265E+04   0.442278E+00   0.239793E-02  -0.836380E+01
    72   0.254591E+04   0.459681E+00   0.246599E-02  -0.896821E+01
    73   0.257939E+04   0.477331E+00   0.253501E-02  -0.958981E+01
    74   0.261317E+04   0.495204E+00   0.260499E-02  -0.102277E+02
    75   0.264738E+04   0.513297E+00   0.267593E-02  -0.108806E+02
