#    L    TT             EE             BB             TE          
     2   0.166386E+04   0.782954E-01   0.728006E-02   0.465038E+01
     3   0.153089E+04   0.124471E+00   0.825547E-02   0.559445E+01
     4   0.142624E+04   0.137418E+00   0.798234E-02   0.568037E+01
     5   0.134816E+04   0.120093E+00   0.691333E-02   0.522696E+01
     6   0.129200E+04   0.876798E-01   0.551403E-02   0.452335E+01
     7   0.125343E+04   0.554343E-01   0.413903E-02   0.375464E+01
     8   0.122781E+04   0.321157E-01   0.299400E-02   0.303250E+01
     9   0.121192E+04   0.192563E-01   0.215610E-02   0.241440E+01
    10   0.120340E+04   0.139750E-01   0.161908E-02   0.193353E+01
    11   0.119992E+04   0.123377E-01   0.133420E-02   0.160023E+01
    12   0.120162E+04   0.115727E-01   0.124027E-02   0.141251E+01
    13   0.120647E+04   0.105976E-01   0.128024E-02   0.133816E+01
    14   0.121317E+04   0.954668E-02   0.140347E-02   0.133885E+01
    15   0.122194E+04   0.880027E-02   0.157918E-02   0.138916E+01
    16   0.123318E+04   0.865864E-02   0.178441E-02   0.146815E+01
    17   0.124666E+04   0.907662E-02   0.200765E-02   0.155673E+01
    18   0.126127E+04   0.974378E-02   0.224154E-02   0.163979E+01
    19   0.127775E+04   0.104830E-01   0.248379E-02   0.170946E+01
    20   0.129431E+04   0.112480E-01   0.273350E-02   0.175965E+01
    21   0.131125E+04   0.121162E-01   0.299018E-02   0.179831E+01
    22   0.132882E+04   0.132597E-01   0.325342E-02   0.183416E+01
    23   0.134690E+04   0.147479E-01   0.352274E-02   0.186983E+01
    24   0.136557E+04   0.165824E-01   0.379760E-02   0.190664E+01
    25   0.138465E+04   0.187687E-01   0.407744E-02   0.194683E+01
    26   0.140388E+04   0.212674E-01   0.436177E-02   0.199327E+01
    27   0.142367E+04   0.240199E-01   0.465066E-02   0.204323E+01
    28   0.144408E+04   0.270011E-01   0.494422E-02   0.209357E+01
    29   0.146489E+04   0.302258E-01   0.524223E-02   0.213996E+01
    30   0.148575E+04   0.337185E-01   0.554440E-02   0.217701E+01
    31   0.150667E+04   0.374618E-01   0.585058E-02   0.220259E+01
    32   0.152807E+04   0.414260E-01   0.616062E-02   0.221492E+01
    33   0.155001E+04   0.456199E-01   0.647434E-02   0.221041E+01
    34   0.157231E+04   0.500749E-01   0.679140E-02   0.218749E+01
    35   0.159481E+04   0.548241E-01   0.711085E-02   0.215150E+01
    36   0.161733E+04   0.598992E-01   0.743187E-02   0.210639E+01
