#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.166386E+04   0.782927E-01   0.727737E-02   0.465038E+01   0.663633E-07   0.469183E-02  -0.219973E-04
     3   0.153088E+04   0.124465E+00   0.825008E-02   0.559445E+01   0.808550E-07   0.467034E-02  -0.267298E-04
     4   0.142622E+04   0.137409E+00   0.797336E-02   0.568037E+01   0.932315E-07   0.455172E-02  -0.266683E-04
     5   0.134814E+04   0.120080E+00   0.689986E-02   0.522696E+01   0.103973E-06   0.439586E-02  -0.232218E-04
     6   0.129196E+04   0.876610E-01   0.549517E-02   0.452335E+01   0.113340E-06   0.422695E-02  -0.176710E-04
     7   0.125338E+04   0.554091E-01   0.411386E-02   0.375464E+01   0.121578E-06   0.405901E-02  -0.112444E-04
     8   0.122774E+04   0.320833E-01   0.296163E-02   0.303251E+01   0.128864E-06   0.389478E-02  -0.505438E-05
     9   0.121184E+04   0.192158E-01   0.211562E-02   0.241441E+01   0.135346E-06   0.373373E-02   0.298005E-07
    10   0.120330E+04   0.139255E-01   0.156958E-02   0.193355E+01   0.141112E-06   0.357724E-02   0.354846E-05
    11   0.119980E+04   0.122782E-01   0.127475E-02   0.160026E+01   0.146289E-06   0.343064E-02   0.545211E-05
    12   0.120148E+04   0.115024E-01   0.116998E-02   0.141255E+01   0.150909E-06   0.329666E-02   0.588898E-05
    13   0.120630E+04   0.105155E-01   0.119818E-02   0.133821E+01   0.155033E-06   0.317540E-02   0.508923E-05
    14   0.121298E+04   0.945194E-02   0.130872E-02   0.133891E+01   0.158731E-06   0.306570E-02   0.335282E-05
    15   0.122173E+04   0.869192E-02   0.147081E-02   0.138923E+01   0.162044E-06   0.296190E-02   0.124345E-05
    16   0.123294E+04   0.853576E-02   0.166149E-02   0.146824E+01   0.165007E-06   0.285925E-02  -0.686840E-06
    17   0.124639E+04   0.893828E-02   0.186926E-02   0.155685E+01   0.167658E-06   0.276001E-02  -0.215331E-05
    18   0.126097E+04   0.958905E-02   0.208674E-02   0.163994E+01   0.170033E-06   0.266728E-02  -0.300444E-05
    19   0.127742E+04   0.103109E-01   0.231164E-02   0.170964E+01   0.172144E-06   0.258067E-02  -0.335166E-05
    20   0.129394E+04   0.110577E-01   0.254307E-02   0.175987E+01   0.174006E-06   0.249889E-02  -0.333390E-05
    21   0.131085E+04   0.119067E-01   0.278051E-02   0.179858E+01   0.175648E-06   0.242053E-02  -0.294994E-05
    22   0.132839E+04   0.130301E-01   0.302357E-02   0.183448E+01   0.177098E-06   0.234462E-02  -0.221567E-05
    23   0.134643E+04   0.144972E-01   0.327175E-02   0.187020E+01   0.178368E-06   0.227190E-02  -0.135358E-05
    24   0.136506E+04   0.163097E-01   0.352453E-02   0.190707E+01   0.179467E-06   0.220318E-02  -0.616016E-06
    25   0.138411E+04   0.184730E-01   0.378132E-02   0.194733E+01   0.180410E-06   0.213777E-02  -0.176680E-06
    26   0.140329E+04   0.209479E-01   0.404165E-02   0.199384E+01   0.181214E-06   0.207492E-02  -0.126906E-06
    27   0.142305E+04   0.236755E-01   0.430558E-02   0.204388E+01   0.181890E-06   0.201517E-02  -0.309935E-06
    28   0.144341E+04   0.266309E-01   0.457321E-02   0.209431E+01   0.182447E-06   0.195907E-02  -0.542216E-06
    29   0.146418E+04   0.298290E-01   0.484433E-02   0.214080E+01   0.182886E-06   0.190618E-02  -0.775261E-06
    30   0.148500E+04   0.332941E-01   0.511864E-02   0.217795E+01   0.183209E-06   0.185584E-02  -0.100411E-05
    31   0.150588E+04   0.370089E-01   0.539599E-02   0.220365E+01   0.183429E-06   0.180750E-02  -0.126311E-05
    32   0.152723E+04   0.409436E-01   0.567623E-02   0.221610E+01   0.183563E-06   0.176070E-02  -0.156655E-05
    33   0.154913E+04   0.451071E-01   0.595917E-02   0.221171E+01   0.183617E-06   0.171516E-02  -0.181012E-05
    34   0.157139E+04   0.495308E-01   0.624449E-02   0.218893E+01   0.183594E-06   0.167077E-02  -0.187923E-05
    35   0.159384E+04   0.542478E-01   0.653122E-02   0.215308E+01   0.183498E-06   0.162791E-02  -0.173466E-05
    36   0.161631E+04   0.592898E-01   0.681855E-02   0.210812E+01   0.183336E-06   0.158701E-02  -0.139317E-05
    37   0.163890E+04   0.646478E-01   0.710684E-02   0.204954E+01   0.183113E-06   0.154820E-02  -0.102000E-05
    38   0.166203E+04   0.703154E-01   0.739651E-02   0.197431E+01   0.182833E-06   0.151147E-02  -0.772628E-06
    39   0.168565E+04   0.763095E-01   0.768693E-02   0.188498E+01   0.182498E-06   0.147648E-02  -0.631691E-06
    40   0.170942E+04   0.826587E-01   0.797726E-02   0.178530E+01   0.182113E-06   0.144281E-02  -0.533926E-06
    41   0.173340E+04   0.893895E-01   0.826674E-02   0.167764E+01   0.181678E-06   0.141013E-02  -0.429878E-06
    42   0.175737E+04   0.965000E-01   0.855501E-02   0.155965E+01   0.181199E-06   0.137839E-02  -0.324429E-06
    43   0.178149E+04   0.103982E+00   0.884182E-02   0.142787E+01   0.180677E-06   0.134762E-02  -0.235977E-06
    44   0.180565E+04   0.111810E+00   0.912689E-02   0.127968E+01   0.180117E-06   0.131787E-02  -0.182859E-06
    45   0.183024E+04   0.119973E+00   0.940997E-02   0.111257E+01   0.179521E-06   0.128915E-02  -0.183368E-06
    46   0.185521E+04   0.128463E+00   0.969079E-02   0.922964E+00   0.178893E-06   0.126148E-02  -0.249088E-06
    47   0.188040E+04   0.137288E+00   0.996896E-02   0.712957E+00   0.178235E-06   0.123472E-02  -0.364967E-06
    48   0.190575E+04   0.146463E+00   0.102441E-01   0.488721E+00   0.177548E-06   0.120871E-02  -0.509352E-06
    49   0.193132E+04   0.155985E+00   0.105158E-01   0.255833E+00   0.176836E-06   0.118329E-02  -0.660651E-06
    50   0.195734E+04   0.165840E+00   0.107837E-01   0.130854E-01   0.176101E-06   0.115831E-02  -0.797327E-06
    51   0.198358E+04   0.176009E+00   0.110473E-01  -0.242717E+00   0.175344E-06   0.113367E-02  -0.901956E-06
    52   0.201026E+04   0.186572E+00   0.113066E-01  -0.517085E+00   0.174568E-06   0.110954E-02  -0.973380E-06
    53   0.203699E+04   0.197669E+00   0.115612E-01  -0.814257E+00   0.173772E-06   0.108618E-02  -0.101450E-05
    54   0.206371E+04   0.209283E+00   0.118110E-01  -0.113050E+01   0.172960E-06   0.106381E-02  -0.102820E-05
    55   0.209063E+04   0.221383E+00   0.120558E-01  -0.146197E+01   0.172131E-06   0.104269E-02  -0.101735E-05
    56   0.211796E+04   0.233819E+00   0.122954E-01  -0.181078E+01   0.171289E-06   0.102297E-02  -0.985331E-06
    57   0.214564E+04   0.246487E+00   0.125295E-01  -0.217666E+01   0.170432E-06   0.100443E-02  -0.937460E-06
    58   0.217368E+04   0.259401E+00   0.127577E-01  -0.255994E+01   0.169562E-06   0.986772E-03  -0.879547E-06
    59   0.220194E+04   0.272604E+00   0.129800E-01  -0.296098E+01   0.168680E-06   0.969688E-03  -0.817392E-06
    60   0.223043E+04   0.286156E+00   0.131958E-01  -0.337872E+01   0.167787E-06   0.952879E-03  -0.756781E-06
    61   0.225946E+04   0.300154E+00   0.134050E-01  -0.381201E+01   0.166883E-06   0.936108E-03  -0.702604E-06
    62   0.228844E+04   0.314578E+00   0.136075E-01  -0.426186E+01   0.165970E-06   0.919394E-03  -0.656186E-06
    63   0.231761E+04   0.329379E+00   0.138032E-01  -0.472944E+01   0.165049E-06   0.902823E-03  -0.617963E-06
    64   0.234726E+04   0.344562E+00   0.139919E-01  -0.521612E+01   0.164121E-06   0.886477E-03  -0.588373E-06
    65   0.237704E+04   0.360092E+00   0.141737E-01  -0.572271E+01   0.163188E-06   0.870442E-03  -0.567851E-06
    66   0.240725E+04   0.375897E+00   0.143484E-01  -0.624742E+01   0.162251E-06   0.854790E-03  -0.557328E-06
    67   0.243771E+04   0.391979E+00   0.145159E-01  -0.678728E+01   0.161310E-06   0.839559E-03  -0.559719E-06
    68   0.246868E+04   0.408383E+00   0.146760E-01  -0.734032E+01   0.160367E-06   0.824774E-03  -0.578427E-06
    69   0.249991E+04   0.425074E+00   0.148286E-01  -0.790447E+01   0.159421E-06   0.810462E-03  -0.616854E-06
    70   0.253151E+04   0.442097E+00   0.149736E-01  -0.848111E+01   0.158474E-06   0.796648E-03  -0.678397E-06
    71   0.256331E+04   0.459442E+00   0.151108E-01  -0.907240E+01   0.157526E-06   0.783352E-03  -0.763213E-06
    72   0.259536E+04   0.477073E+00   0.152402E-01  -0.967971E+01   0.156577E-06   0.770553E-03  -0.858506E-06
    73   0.262765E+04   0.494944E+00   0.153617E-01  -0.103037E+02   0.155627E-06   0.758225E-03  -0.948260E-06
    74   0.266024E+04   0.513032E+00   0.154754E-01  -0.109436E+02   0.154676E-06   0.746340E-03  -0.101647E-05
    75   0.269327E+04   0.531335E+00   0.155812E-01  -0.115981E+02   0.153724E-06   0.734871E-03  -0.104717E-05
    76   0.272670E+04   0.549845E+00   0.156791E-01  -0.122664E+02   0.152772E-06   0.723781E-03  -0.102977E-05
    77   0.276057E+04   0.568555E+00   0.157691E-01  -0.129486E+02   0.151819E-06   0.712992E-03  -0.975287E-06
    78   0.279491E+04   0.587497E+00   0.158511E-01  -0.136460E+02   0.150867E-06   0.702417E-03  -0.900115E-06
    79   0.282949E+04   0.606620E+00   0.159252E-01  -0.143550E+02   0.149916E-06   0.691970E-03  -0.820627E-06
    80   0.286443E+04   0.625933E+00   0.159913E-01  -0.150769E+02   0.148966E-06   0.681564E-03  -0.753180E-06
    81   0.289960E+04   0.645389E+00   0.160495E-01  -0.158122E+02   0.148018E-06   0.671139E-03  -0.711123E-06
    82   0.293508E+04   0.665001E+00   0.160996E-01  -0.165596E+02   0.147072E-06   0.660747E-03  -0.695821E-06
    83   0.297084E+04   0.684734E+00   0.161419E-01  -0.173182E+02   0.146129E-06   0.650467E-03  -0.705648E-06
    84   0.300696E+04   0.704575E+00   0.161762E-01  -0.180857E+02   0.145188E-06   0.640377E-03  -0.738977E-06
    85   0.304332E+04   0.724489E+00   0.162026E-01  -0.188628E+02   0.144251E-06   0.630556E-03  -0.794187E-06
    86   0.308001E+04   0.744479E+00   0.162210E-01  -0.196480E+02   0.143318E-06   0.621065E-03  -0.868633E-06
    87   0.311726E+04   0.764511E+00   0.162316E-01  -0.204406E+02   0.142389E-06   0.611894E-03  -0.955591E-06
    88   0.315461E+04   0.784599E+00   0.162344E-01  -0.212407E+02   0.141464E-06   0.603015E-03  -0.104732E-05
    89   0.319241E+04   0.804725E+00   0.162295E-01  -0.220500E+02   0.140543E-06   0.594401E-03  -0.113608E-05
    90   0.323052E+04   0.824850E+00   0.162170E-01  -0.228656E+02   0.139626E-06   0.586025E-03  -0.121415E-05
    91   0.326886E+04   0.844964E+00   0.161969E-01  -0.236883E+02   0.138714E-06   0.577862E-03  -0.127532E-05
    92   0.330755E+04   0.865049E+00   0.161694E-01  -0.245174E+02   0.137806E-06   0.569903E-03  -0.131945E-05
    93   0.334662E+04   0.885092E+00   0.161347E-01  -0.253527E+02   0.136904E-06   0.562142E-03  -0.134789E-05
    94   0.338583E+04   0.905053E+00   0.160929E-01  -0.261925E+02   0.136006E-06   0.554572E-03  -0.136202E-05
    95   0.342541E+04   0.924926E+00   0.160441E-01  -0.270375E+02   0.135112E-06   0.547186E-03  -0.136321E-05
    96   0.346506E+04   0.944693E+00   0.159886E-01  -0.278868E+02   0.134224E-06   0.539978E-03  -0.135283E-05
    97   0.350523E+04   0.964334E+00   0.159264E-01  -0.287394E+02   0.133341E-06   0.532943E-03  -0.133222E-05
    98   0.354570E+04   0.983838E+00   0.158578E-01  -0.295931E+02   0.132463E-06   0.526073E-03  -0.130277E-05
    99   0.358631E+04   0.100316E+01   0.157828E-01  -0.304507E+02   0.131589E-06   0.519362E-03  -0.126583E-05
   100   0.362730E+04   0.102230E+01   0.157016E-01  -0.313075E+02   0.130721E-06   0.512805E-03  -0.122276E-05
   101   0.366851E+04   0.104132E+01   0.156145E-01  -0.321665E+02   0.129859E-06   0.506394E-03  -0.117492E-05
   102   0.371031E+04   0.106005E+01   0.155215E-01  -0.330251E+02   0.129001E-06   0.500123E-03  -0.112368E-05
   103   0.375211E+04   0.107857E+01   0.154227E-01  -0.338841E+02   0.128149E-06   0.493986E-03  -0.107038E-05
   104   0.379421E+04   0.109687E+01   0.153185E-01  -0.347403E+02   0.127303E-06   0.487977E-03  -0.101640E-05
   105   0.383654E+04   0.111488E+01   0.152088E-01  -0.355951E+02   0.126461E-06   0.482090E-03  -0.963075E-06
   106   0.387916E+04   0.113267E+01   0.150939E-01  -0.364476E+02   0.125626E-06   0.476318E-03  -0.911774E-06
   107   0.392179E+04   0.115008E+01   0.149739E-01  -0.372961E+02   0.124796E-06   0.470655E-03  -0.863850E-06
   108   0.396486E+04   0.116718E+01   0.148490E-01  -0.381413E+02   0.123972E-06   0.465095E-03  -0.820657E-06
   109   0.400817E+04   0.118390E+01   0.147193E-01  -0.389815E+02   0.123154E-06   0.459631E-03  -0.783551E-06
   110   0.405162E+04   0.120022E+01   0.145849E-01  -0.398152E+02   0.122342E-06   0.454258E-03  -0.753884E-06
   111   0.409530E+04   0.121622E+01   0.144462E-01  -0.406435E+02   0.121535E-06   0.448969E-03  -0.732675E-06
   112   0.413920E+04   0.123183E+01   0.143031E-01  -0.414658E+02   0.120735E-06   0.443763E-03  -0.719603E-06
   113   0.418339E+04   0.124704E+01   0.141560E-01  -0.422801E+02   0.119941E-06   0.438639E-03  -0.714013E-06
   114   0.422773E+04   0.126176E+01   0.140050E-01  -0.430856E+02   0.119152E-06   0.433594E-03  -0.715249E-06
   115   0.427234E+04   0.127616E+01   0.138503E-01  -0.438821E+02   0.118370E-06   0.428628E-03  -0.722657E-06
   116   0.431701E+04   0.129000E+01   0.136922E-01  -0.446686E+02   0.117593E-06   0.423739E-03  -0.735582E-06
   117   0.436203E+04   0.130334E+01   0.135308E-01  -0.454443E+02   0.116823E-06   0.418925E-03  -0.753372E-06
   118   0.440724E+04   0.131635E+01   0.133664E-01  -0.462095E+02   0.116058E-06   0.414186E-03  -0.775371E-06
   119   0.445250E+04   0.132886E+01   0.131991E-01  -0.469620E+02   0.115299E-06   0.409519E-03  -0.800927E-06
   120   0.449794E+04   0.134073E+01   0.130291E-01  -0.477015E+02   0.114546E-06   0.404924E-03  -0.829387E-06
   121   0.454342E+04   0.135225E+01   0.128566E-01  -0.484278E+02   0.113799E-06   0.400399E-03  -0.860098E-06
   122   0.458899E+04   0.136312E+01   0.126819E-01  -0.491399E+02   0.113058E-06   0.395942E-03  -0.892408E-06
   123   0.463467E+04   0.137340E+01   0.125051E-01  -0.498377E+02   0.112323E-06   0.391552E-03  -0.925665E-06
   124   0.468043E+04   0.138318E+01   0.123265E-01  -0.505180E+02   0.111594E-06   0.387229E-03  -0.959217E-06
   125   0.472622E+04   0.139237E+01   0.121462E-01  -0.511829E+02   0.110870E-06   0.382969E-03  -0.992413E-06
   126   0.477208E+04   0.140105E+01   0.119644E-01  -0.518313E+02   0.110152E-06   0.378773E-03  -0.102460E-05
   127   0.481795E+04   0.140906E+01   0.117814E-01  -0.524623E+02   0.109441E-06   0.374638E-03  -0.105513E-05
   128   0.486383E+04   0.141655E+01   0.115973E-01  -0.530750E+02   0.108735E-06   0.370564E-03  -0.108335E-05
   129   0.490977E+04   0.142337E+01   0.114124E-01  -0.536684E+02   0.108034E-06   0.366548E-03  -0.110861E-05
   130   0.495570E+04   0.142951E+01   0.112268E-01  -0.542417E+02   0.107340E-06   0.362590E-03  -0.113026E-05
