#           k/h    P           
   0.100000E-03   0.714243E+03
   0.102020E-03   0.727873E+03
   0.104081E-03   0.741763E+03
   0.106184E-03   0.755919E+03
   0.108329E-03   0.770345E+03
   0.110517E-03   0.786418E+03
   0.112750E-03   0.801422E+03
   0.115027E-03   0.816714E+03
   0.117351E-03   0.832297E+03
   0.119722E-03   0.849662E+03
   0.122140E-03   0.865870E+03
   0.124608E-03   0.882387E+03
   0.127125E-03   0.899219E+03
   0.129693E-03   0.917979E+03
   0.132313E-03   0.935486E+03
   0.134986E-03   0.953327E+03
   0.137713E-03   0.971509E+03
   0.140495E-03   0.991775E+03
   0.143333E-03   0.101068E+04
   0.146228E-03   0.102995E+04
   0.149182E-03   0.104959E+04
   0.152196E-03   0.107148E+04
   0.155271E-03   0.109191E+04
   0.158407E-03   0.111272E+04
   0.161607E-03   0.113393E+04
   0.164872E-03   0.115554E+04
   0.168203E-03   0.117963E+04
   0.171601E-03   0.120211E+04
   0.175067E-03   0.122502E+04
   0.178604E-03   0.124836E+04
   0.182212E-03   0.127438E+04
   0.185893E-03   0.129865E+04
   0.189648E-03   0.132339E+04
   0.193479E-03   0.134859E+04
   0.197388E-03   0.137670E+04
   0.201375E-03   0.140291E+04
   0.205443E-03   0.142962E+04
   0.209594E-03   0.145683E+04
   0.213828E-03   0.148718E+04
   0.218147E-03   0.151548E+04
   0.222554E-03   0.154432E+04
   0.227050E-03   0.157370E+04
   0.231637E-03   0.160648E+04
   0.236316E-03   0.163703E+04
   0.241090E-03   0.166816E+04
   0.245960E-03   0.169989E+04
   0.250929E-03   0.173527E+04
   0.255998E-03   0.176826E+04
   0.261170E-03   0.180186E+04
   0.266446E-03   0.183610E+04
   0.271828E-03   0.187099E+04
   0.277319E-03   0.190991E+04
   0.282922E-03   0.194618E+04
   0.288637E-03   0.198313E+04
   0.294468E-03   0.202078E+04
   0.300417E-03   0.206279E+04
   0.306485E-03   0.210193E+04
   0.312677E-03   0.214181E+04
   0.318993E-03   0.218243E+04
   0.325437E-03   0.222777E+04
   0.332012E-03   0.227000E+04
   0.338719E-03   0.231302E+04
   0.345561E-03   0.235685E+04
   0.352542E-03   0.240576E+04
   0.359664E-03   0.245132E+04
   0.366930E-03   0.249772E+04
   0.374342E-03   0.254499E+04
   0.381904E-03   0.259776E+04
   0.389619E-03   0.264689E+04
   0.397490E-03   0.269693E+04
   0.405520E-03   0.274790E+04
   0.413712E-03   0.280482E+04
   0.422070E-03   0.285778E+04
   0.430596E-03   0.291173E+04
   0.439295E-03   0.296668E+04
   0.448169E-03   0.302265E+04
   0.457222E-03   0.308513E+04
   0.466459E-03   0.314328E+04
   0.475882E-03   0.320249E+04
   0.485496E-03   0.326280E+04
   0.495303E-03   0.333015E+04
   0.505309E-03   0.339279E+04
   0.515517E-03   0.345658E+04
   0.525931E-03   0.352154E+04
   0.536556E-03   0.359410E+04
   0.547395E-03   0.366157E+04
   0.558453E-03   0.373026E+04
   0.569734E-03   0.380020E+04
   0.581244E-03   0.387835E+04
   0.592986E-03   0.395098E+04
   0.604965E-03   0.402492E+04
   0.617186E-03   0.410020E+04
   0.629654E-03   0.418433E+04
   0.642374E-03   0.426247E+04
   0.655350E-03   0.434202E+04
   0.668589E-03   0.442300E+04
   0.682096E-03   0.450543E+04
   0.695875E-03   0.459756E+04
   0.709933E-03   0.468310E+04
   0.724274E-03   0.477016E+04
   0.738906E-03   0.485877E+04
   0.753832E-03   0.495784E+04
   0.769061E-03   0.504977E+04
   0.784597E-03   0.514332E+04
   0.800447E-03   0.523852E+04
   0.816617E-03   0.534498E+04
   0.833114E-03   0.544371E+04
   0.849944E-03   0.554416E+04
   0.867114E-03   0.564637E+04
   0.884631E-03   0.576071E+04
   0.902501E-03   0.586667E+04
   0.920733E-03   0.597446E+04
   0.939333E-03   0.608411E+04
   0.958309E-03   0.620682E+04
   0.977668E-03   0.632045E+04
   0.997418E-03   0.643602E+04
   0.101757E-02   0.655356E+04
   0.103812E-02   0.668515E+04
   0.105910E-02   0.680689E+04
   0.108049E-02   0.693069E+04
   0.110232E-02   0.705657E+04
   0.112459E-02   0.718456E+04
   0.114730E-02   0.732788E+04
   0.117048E-02   0.746037E+04
   0.119413E-02   0.759505E+04
   0.121825E-02   0.773194E+04
   0.124286E-02   0.788531E+04
   0.126797E-02   0.802694E+04
   0.129358E-02   0.817087E+04
   0.131971E-02   0.831712E+04
   0.134637E-02   0.848106E+04
   0.137357E-02   0.863228E+04
   0.140132E-02   0.878591E+04
   0.142963E-02   0.894197E+04
   0.145851E-02   0.911699E+04
   0.148797E-02   0.927824E+04
   0.151803E-02   0.944200E+04
   0.154870E-02   0.960829E+04
   0.157998E-02   0.979490E+04
   0.161190E-02   0.996659E+04
   0.164446E-02   0.101409E+05
   0.167768E-02   0.103178E+05
   0.171158E-02   0.105165E+05
   0.174615E-02   0.106990E+05
   0.178143E-02   0.108842E+05
   0.181741E-02   0.110721E+05
   0.185413E-02   0.112628E+05
   0.189158E-02   0.114770E+05
   0.192980E-02   0.116734E+05
   0.196878E-02   0.118726E+05
   0.200855E-02   0.120748E+05
   0.204913E-02   0.123019E+05
   0.209052E-02   0.125100E+05
   0.213276E-02   0.127207E+05
   0.217584E-02   0.129344E+05
   0.221979E-02   0.131748E+05
   0.226464E-02   0.133945E+05
   0.231039E-02   0.136170E+05
   0.235706E-02   0.138424E+05
   0.240467E-02   0.140963E+05
   0.245325E-02   0.143278E+05
   0.250281E-02   0.145621E+05
   0.255337E-02   0.147993E+05
   0.260495E-02   0.150669E+05
   0.265758E-02   0.153101E+05
   0.271126E-02   0.155562E+05
   0.276603E-02   0.158052E+05
   0.282191E-02   0.160569E+05
   0.287892E-02   0.163413E+05
   0.293708E-02   0.165990E+05
   0.299641E-02   0.168595E+05
   0.305694E-02   0.171227E+05
   0.311870E-02   0.174204E+05
   0.318170E-02   0.176894E+05
   0.324597E-02   0.179611E+05
   0.331155E-02   0.182354E+05
   0.337844E-02   0.185462E+05
   0.344669E-02   0.188260E+05
   0.351632E-02   0.191082E+05
   0.358735E-02   0.193930E+05
   0.365982E-02   0.197163E+05
   0.373376E-02   0.200061E+05
   0.380918E-02   0.202983E+05
   0.388613E-02   0.205926E+05
   0.396464E-02   0.209276E+05
   0.404473E-02   0.212266E+05
   0.412644E-02   0.215276E+05
   0.420980E-02   0.218305E+05
   0.429484E-02   0.221761E+05
   0.438160E-02   0.224831E+05
   0.447012E-02   0.227916E+05
   0.456042E-02   0.231018E+05
   0.465255E-02   0.234133E+05
   0.474653E-02   0.237700E+05
   0.484242E-02   0.240845E+05
   0.494024E-02   0.244002E+05
   0.504004E-02   0.247169E+05
   0.514186E-02   0.250806E+05
   0.524573E-02   0.253993E+05
   0.535170E-02   0.257185E+05
   0.545981E-02   0.260382E+05
   0.557011E-02   0.264069E+05
   0.568263E-02   0.267274E+05
   0.579743E-02   0.270479E+05
   0.591455E-02   0.273681E+05
   0.603403E-02   0.277393E+05
   0.615592E-02   0.280590E+05
   0.628028E-02   0.283779E+05
   0.640715E-02   0.286958E+05
   0.653658E-02   0.290664E+05
   0.666863E-02   0.293822E+05
   0.680335E-02   0.296964E+05
   0.694078E-02   0.300088E+05
   0.708100E-02   0.303754E+05
   0.722404E-02   0.306838E+05
   0.736998E-02   0.309896E+05
   0.751886E-02   0.312926E+05
   0.767075E-02   0.315925E+05
   0.782571E-02   0.319483E+05
