#    L    TT             EE             TE             PP             TP          
     2   0.152515E+04   0.737875E-01   0.454328E+01   0.137714E+07   0.437434E+05
     3   0.142040E+04   0.118815E+00   0.569146E+01   0.212355E+07   0.519574E+05
     4   0.132333E+04   0.131509E+00   0.584148E+01   0.278596E+07   0.557850E+05
     5   0.124849E+04   0.114752E+00   0.539983E+01   0.337124E+07   0.572768E+05
     6   0.119389E+04   0.833556E-01   0.468433E+01   0.388796E+07   0.574531E+05
     7   0.115600E+04   0.522161E-01   0.389506E+01   0.434616E+07   0.569035E+05
     8   0.113064E+04   0.298376E-01   0.315202E+01   0.475402E+07   0.559063E+05
     9   0.111473E+04   0.176424E-01   0.251651E+01   0.511873E+07   0.546026E+05
    10   0.110602E+04   0.127392E-01   0.202201E+01   0.544516E+07   0.531087E+05
    11   0.110230E+04   0.112460E-01   0.167960E+01   0.573942E+07   0.515702E+05
    12   0.110389E+04   0.104631E-01   0.148676E+01   0.600377E+07   0.500770E+05
    13   0.110867E+04   0.936726E-02   0.141065E+01   0.624149E+07   0.486663E+05
    14   0.111527E+04   0.814199E-02   0.141240E+01   0.645608E+07   0.473468E+05
    15   0.112387E+04   0.719164E-02   0.146607E+01   0.664981E+07   0.460504E+05
    16   0.113484E+04   0.683154E-02   0.155028E+01   0.682461E+07   0.447162E+05
    17   0.114806E+04   0.702029E-02   0.164567E+01   0.698250E+07   0.433891E+05
    18   0.116253E+04   0.744827E-02   0.173685E+01   0.712529E+07   0.421264E+05
    19   0.117897E+04   0.793841E-02   0.181561E+01   0.725391E+07   0.409283E+05
    20   0.119560E+04   0.844449E-02   0.187551E+01   0.736918E+07   0.397804E+05
    21   0.121269E+04   0.904390E-02   0.192459E+01   0.747257E+07   0.386644E+05
    22   0.123046E+04   0.990918E-02   0.197168E+01   0.756548E+07   0.375683E+05
    23   0.124878E+04   0.111104E-01   0.201931E+01   0.764862E+07   0.365066E+05
    24   0.126774E+04   0.126502E-01   0.206866E+01   0.772254E+07   0.354947E+05
    25   0.128715E+04   0.145348E-01   0.212193E+01   0.778804E+07   0.345236E+05
    26   0.130673E+04   0.167258E-01   0.218192E+01   0.784592E+07   0.335833E+05
    27   0.132694E+04   0.191657E-01   0.224571E+01   0.789683E+07   0.326833E+05
    28   0.134781E+04   0.218301E-01   0.231002E+01   0.794128E+07   0.318343E+05
    29   0.136913E+04   0.247308E-01   0.237068E+01   0.797935E+07   0.310302E+05
    30   0.139053E+04   0.278893E-01   0.242248E+01   0.801120E+07   0.302612E+05
    31   0.141202E+04   0.312890E-01   0.246320E+01   0.803756E+07   0.295191E+05
    32   0.143400E+04   0.349019E-01   0.249089E+01   0.805919E+07   0.287969E+05
    33   0.145656E+04   0.387397E-01   0.250190E+01   0.807638E+07   0.280908E+05
    34   0.147952E+04   0.428360E-01   0.249459E+01   0.808933E+07   0.273993E+05
