#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.152515E+04   0.454328E+01   0.469183E-02   0.454328E+01   0.737875E-01  -0.219973E-04   0.469183E-02  -0.219973E-04   0.663633E-07
     3   0.142040E+04   0.569146E+01   0.467034E-02   0.569146E+01   0.118815E+00  -0.267298E-04   0.467034E-02  -0.267298E-04   0.808550E-07
     4   0.132333E+04   0.584148E+01   0.455172E-02   0.584148E+01   0.131509E+00  -0.266683E-04   0.455172E-02  -0.266683E-04   0.932315E-07
     5   0.124849E+04   0.539983E+01   0.439586E-02   0.539983E+01   0.114752E+00  -0.232218E-04   0.439586E-02  -0.232218E-04   0.103973E-06
     6   0.119389E+04   0.468433E+01   0.422695E-02   0.468433E+01   0.833556E-01  -0.176710E-04   0.422695E-02  -0.176710E-04   0.113340E-06
     7   0.115600E+04   0.389506E+01   0.405901E-02   0.389506E+01   0.522161E-01  -0.112444E-04   0.405901E-02  -0.112444E-04   0.121578E-06
     8   0.113064E+04   0.315202E+01   0.389478E-02   0.315202E+01   0.298376E-01  -0.505438E-05   0.389478E-02  -0.505438E-05   0.128864E-06
     9   0.111473E+04   0.251651E+01   0.373373E-02   0.251651E+01   0.176424E-01   0.298005E-07   0.373373E-02   0.298005E-07   0.135346E-06
    10   0.110602E+04   0.202201E+01   0.357724E-02   0.202201E+01   0.127392E-01   0.354846E-05   0.357724E-02   0.354846E-05   0.141112E-06
    11   0.110230E+04   0.167960E+01   0.343064E-02   0.167960E+01   0.112460E-01   0.545211E-05   0.343064E-02   0.545211E-05   0.146289E-06
    12   0.110389E+04   0.148676E+01   0.329663E-02   0.148676E+01   0.104631E-01   0.588992E-05   0.329663E-02   0.588992E-05   0.150909E-06
    13   0.110867E+04   0.141065E+01   0.317540E-02   0.141065E+01   0.936726E-02   0.508923E-05   0.317540E-02   0.508923E-05   0.155033E-06
    14   0.111527E+04   0.141240E+01   0.306567E-02   0.141240E+01   0.814199E-02   0.335395E-05   0.306567E-02   0.335395E-05   0.158731E-06
    15   0.112387E+04   0.146607E+01   0.296190E-02   0.146607E+01   0.719164E-02   0.124345E-05   0.296190E-02   0.124345E-05   0.162044E-06
    16   0.113484E+04   0.155028E+01   0.285926E-02   0.155028E+01   0.683154E-02  -0.686933E-06   0.285926E-02  -0.686933E-06   0.165007E-06
    17   0.114806E+04   0.164567E+01   0.276001E-02   0.164567E+01   0.702029E-02  -0.215331E-05   0.276001E-02  -0.215331E-05   0.167658E-06
    18   0.116253E+04   0.173685E+01   0.266727E-02   0.173685E+01   0.744827E-02  -0.300488E-05   0.266727E-02  -0.300488E-05   0.170032E-06
    19   0.117897E+04   0.181561E+01   0.258067E-02   0.181561E+01   0.793841E-02  -0.335166E-05   0.258067E-02  -0.335166E-05   0.172144E-06
    20   0.119560E+04   0.187551E+01   0.249888E-02   0.187551E+01   0.844449E-02  -0.333365E-05   0.249888E-02  -0.333365E-05   0.174006E-06
    21   0.121269E+04   0.192459E+01   0.242053E-02   0.192459E+01   0.904390E-02  -0.294994E-05   0.242053E-02  -0.294994E-05   0.175648E-06
    22   0.123046E+04   0.197168E+01   0.234462E-02   0.197168E+01   0.990918E-02  -0.221598E-05   0.234462E-02  -0.221598E-05   0.177098E-06
    23   0.124878E+04   0.201931E+01   0.227190E-02   0.201931E+01   0.111104E-01  -0.135358E-05   0.227190E-02  -0.135358E-05   0.178368E-06
    24   0.126774E+04   0.206866E+01   0.220318E-02   0.206866E+01   0.126502E-01  -0.616077E-06   0.220318E-02  -0.616077E-06   0.179467E-06
    25   0.128715E+04   0.212193E+01   0.213777E-02   0.212193E+01   0.145348E-01  -0.176680E-06   0.213777E-02  -0.176680E-06   0.180410E-06
    26   0.130673E+04   0.218192E+01   0.207492E-02   0.218192E+01   0.167258E-01  -0.126695E-06   0.207492E-02  -0.126695E-06   0.181214E-06
    27   0.132694E+04   0.224571E+01   0.201517E-02   0.224571E+01   0.191657E-01  -0.309935E-06   0.201517E-02  -0.309935E-06   0.181890E-06
    28   0.134781E+04   0.231002E+01   0.195907E-02   0.231002E+01   0.218301E-01  -0.542269E-06   0.195907E-02  -0.542269E-06   0.182447E-06
    29   0.136913E+04   0.237068E+01   0.190618E-02   0.237068E+01   0.247308E-01  -0.775262E-06   0.190618E-02  -0.775262E-06   0.182886E-06
    30   0.139053E+04   0.242248E+01   0.185584E-02   0.242248E+01   0.278893E-01  -0.100414E-05   0.185584E-02  -0.100414E-05   0.183209E-06
    31   0.141202E+04   0.246320E+01   0.180750E-02   0.246320E+01   0.312890E-01  -0.126311E-05   0.180750E-02  -0.126311E-05   0.183429E-06
    32   0.143400E+04   0.249089E+01   0.176070E-02   0.249089E+01   0.349019E-01  -0.156648E-05   0.176070E-02  -0.156648E-05   0.183563E-06
    33   0.145656E+04   0.250190E+01   0.171516E-02   0.250190E+01   0.387397E-01  -0.181012E-05   0.171516E-02  -0.181012E-05   0.183617E-06
    34   0.147952E+04   0.249459E+01   0.167077E-02   0.249459E+01   0.428360E-01  -0.187921E-05   0.167077E-02  -0.187921E-05   0.183594E-06
    35   0.150271E+04   0.247427E+01   0.162791E-02   0.247427E+01   0.472228E-01  -0.173466E-05   0.162791E-02  -0.173466E-05   0.183498E-06
    36   0.152593E+04   0.244487E+01   0.158701E-02   0.244487E+01   0.519300E-01  -0.139330E-05   0.158701E-02  -0.139330E-05   0.183336E-06
    37   0.154931E+04   0.240183E+01   0.154820E-02   0.240183E+01   0.569482E-01  -0.102000E-05   0.154820E-02  -0.102000E-05   0.183113E-06
    38   0.157325E+04   0.234207E+01   0.151147E-02   0.234207E+01   0.622709E-01  -0.772411E-06   0.151147E-02  -0.772411E-06   0.182833E-06
    39   0.159770E+04   0.226812E+01   0.147647E-02   0.226812E+01   0.679162E-01  -0.631470E-06   0.147647E-02  -0.631470E-06   0.182498E-06
    40   0.162233E+04   0.218373E+01   0.144281E-02   0.218373E+01   0.739135E-01  -0.533926E-06   0.144281E-02  -0.533926E-06   0.182113E-06
    41   0.164720E+04   0.209124E+01   0.141013E-02   0.209124E+01   0.802902E-01  -0.430129E-06   0.141013E-02  -0.430129E-06   0.181678E-06
    42   0.167207E+04   0.198832E+01   0.137839E-02   0.198832E+01   0.870450E-01  -0.324828E-06   0.137839E-02  -0.324828E-06   0.181199E-06
    43   0.169713E+04   0.187143E+01   0.134762E-02   0.187143E+01   0.941691E-01  -0.236369E-06   0.134762E-02  -0.236369E-06   0.180677E-06
    44   0.172224E+04   0.173796E+01   0.131787E-02   0.173796E+01   0.101639E+00  -0.183099E-06   0.131787E-02  -0.183099E-06   0.180117E-06
    45   0.174780E+04   0.158536E+01   0.128915E-02   0.158536E+01   0.109441E+00  -0.183368E-06   0.128915E-02  -0.183368E-06   0.179521E-06
    46   0.177376E+04   0.141002E+01   0.126148E-02   0.141002E+01   0.117569E+00  -0.248860E-06   0.126148E-02  -0.248860E-06   0.178893E-06
    47   0.179996E+04   0.121402E+01   0.123471E-02   0.121402E+01   0.126031E+00  -0.364620E-06   0.123471E-02  -0.364620E-06   0.178235E-06
    48   0.182632E+04   0.100350E+01   0.120870E-02   0.100350E+01   0.134843E+00  -0.509030E-06   0.120870E-02  -0.509030E-06   0.177548E-06
    49   0.185293E+04   0.784017E+00   0.118329E-02   0.784017E+00   0.144001E+00  -0.660472E-06   0.118329E-02  -0.660472E-06   0.176836E-06
