#    L    TT             EE             BB             TE          
     2   0.138708E+03   0.450514E-02   0.727737E-02   0.107094E+00
     3   0.110477E+03   0.564990E-02   0.825008E-02  -0.970159E-01
     4   0.102893E+03   0.590022E-02   0.797336E-02  -0.161108E+00
     5   0.996476E+02   0.532791E-02   0.689986E-02  -0.172872E+00
     6   0.980763E+02   0.430538E-02   0.549517E-02  -0.160975E+00
     7   0.973729E+02   0.319310E-02   0.411386E-02  -0.140418E+00
     8   0.971041E+02   0.224570E-02   0.296163E-02  -0.119514E+00
     9   0.971066E+02   0.157346E-02   0.211562E-02  -0.102103E+00
    10   0.972816E+02   0.118624E-02   0.156958E-02  -0.884607E-01
    11   0.974925E+02   0.103223E-02   0.127475E-02  -0.793455E-01
    12   0.975910E+02   0.103934E-02   0.116998E-02  -0.742164E-01
    13   0.976309E+02   0.114826E-02   0.119818E-02  -0.724413E-01
    14   0.977070E+02   0.130994E-02   0.130872E-02  -0.734874E-01
    15   0.978624E+02   0.150028E-02   0.147081E-02  -0.768399E-01
    16   0.981022E+02   0.170423E-02   0.166149E-02  -0.820373E-01
    17   0.983298E+02   0.191799E-02   0.186926E-02  -0.888126E-01
    18   0.984464E+02   0.214078E-02   0.208674E-02  -0.969144E-01
    19   0.984452E+02   0.237250E-02   0.231164E-02  -0.105961E+00
    20   0.983443E+02   0.261320E-02   0.254307E-02  -0.115634E+00
    21   0.981669E+02   0.286276E-02   0.278051E-02  -0.126009E+00
    22   0.979344E+02   0.312091E-02   0.302357E-02  -0.137204E+00
    23   0.976538E+02   0.338679E-02   0.327175E-02  -0.149111E+00
    24   0.973290E+02   0.365947E-02   0.352453E-02  -0.161593E+00
    25   0.969645E+02   0.393819E-02   0.378132E-02  -0.174602E+00
    26   0.965623E+02   0.422211E-02   0.404165E-02  -0.188080E+00
    27   0.961125E+02   0.450987E-02   0.430558E-02  -0.201832E+00
    28   0.956072E+02   0.480088E-02   0.457321E-02  -0.215709E+00
    29   0.950558E+02   0.509817E-02   0.484433E-02  -0.229880E+00
