#    L    TT             EE             BB             TE          
     2   0.166386E+04   0.782927E-01   0.727737E-02   0.465038E+01
     3   0.153088E+04   0.124465E+00   0.825008E-02   0.559445E+01
     4   0.142622E+04   0.137409E+00   0.797336E-02   0.568037E+01
     5   0.134814E+04   0.120080E+00   0.689986E-02   0.522696E+01
     6   0.129196E+04   0.876610E-01   0.549517E-02   0.452335E+01
     7   0.125338E+04   0.554091E-01   0.411386E-02   0.375464E+01
     8   0.122774E+04   0.320833E-01   0.296163E-02   0.303251E+01
     9   0.121184E+04   0.192158E-01   0.211562E-02   0.241441E+01
    10   0.120330E+04   0.139255E-01   0.156958E-02   0.193355E+01
    11   0.119980E+04   0.122782E-01   0.127475E-02   0.160026E+01
    12   0.120148E+04   0.115024E-01   0.116998E-02   0.141255E+01
    13   0.120630E+04   0.105155E-01   0.119818E-02   0.133821E+01
    14   0.121298E+04   0.945194E-02   0.130872E-02   0.133891E+01
    15   0.122173E+04   0.869192E-02   0.147081E-02   0.138923E+01
    16   0.123294E+04   0.853576E-02   0.166149E-02   0.146824E+01
    17   0.124639E+04   0.893828E-02   0.186926E-02   0.155685E+01
    18   0.126097E+04   0.958905E-02   0.208674E-02   0.163994E+01
    19   0.127742E+04   0.103109E-01   0.231164E-02   0.170964E+01
    20   0.129394E+04   0.110577E-01   0.254307E-02   0.175987E+01
    21   0.131085E+04   0.119067E-01   0.278051E-02   0.179858E+01
    22   0.132839E+04   0.130301E-01   0.302357E-02   0.183448E+01
    23   0.134643E+04   0.144972E-01   0.327175E-02   0.187020E+01
    24   0.136506E+04   0.163097E-01   0.352453E-02   0.190707E+01
    25   0.138411E+04   0.184730E-01   0.378132E-02   0.194733E+01
    26   0.140329E+04   0.209479E-01   0.404165E-02   0.199384E+01
    27   0.142305E+04   0.236755E-01   0.430558E-02   0.204388E+01
    28   0.144341E+04   0.266309E-01   0.457321E-02   0.209431E+01
    29   0.146418E+04   0.298290E-01   0.484433E-02   0.214080E+01
    30   0.148500E+04   0.332941E-01   0.511864E-02   0.217795E+01
    31   0.150588E+04   0.370089E-01   0.539599E-02   0.220365E+01
    32   0.152723E+04   0.409436E-01   0.567623E-02   0.221610E+01
    33   0.154913E+04   0.451071E-01   0.595917E-02   0.221171E+01
    34   0.157139E+04   0.495308E-01   0.624449E-02   0.218893E+01
    35   0.159384E+04   0.542478E-01   0.653122E-02   0.215308E+01
    36   0.161631E+04   0.592898E-01   0.681855E-02   0.210812E+01
    37   0.163890E+04   0.646478E-01   0.710684E-02   0.204954E+01
    38   0.166203E+04   0.703154E-01   0.739651E-02   0.197431E+01
    39   0.168565E+04   0.763095E-01   0.768693E-02   0.188498E+01
    40   0.170942E+04   0.826587E-01   0.797726E-02   0.178530E+01
    41   0.173340E+04   0.893895E-01   0.826674E-02   0.167764E+01
    42   0.175737E+04   0.965000E-01   0.855501E-02   0.155965E+01
    43   0.178149E+04   0.103982E+00   0.884182E-02   0.142787E+01
    44   0.180565E+04   0.111810E+00   0.912689E-02   0.127968E+01
