#    L    TT             EE             BB             TE          
     2   0.149165E+04   0.721025E-01   0.261991E-05   0.443520E+01
     3   0.138974E+04   0.116176E+00   0.524069E-05   0.556034E+01
     4   0.129520E+04   0.128645E+00   0.873641E-05   0.570987E+01
     5   0.122232E+04   0.112294E+00   0.131082E-04   0.528036E+01
     6   0.116920E+04   0.815986E-01   0.183575E-04   0.458222E+01
     7   0.113240E+04   0.511386E-01   0.244860E-04   0.381121E+01
     8   0.110781E+04   0.292451E-01   0.314955E-04   0.308491E+01
     9   0.109247E+04   0.173171E-01   0.393882E-04   0.246349E+01
    10   0.108416E+04   0.125281E-01   0.481665E-04   0.197984E+01
    11   0.108074E+04   0.110780E-01   0.578329E-04   0.164495E+01
    12   0.108251E+04   0.103254E-01   0.683900E-04   0.145642E+01
    13   0.108739E+04   0.926212E-02   0.798408E-04   0.138215E+01
    14   0.109403E+04   0.807394E-02   0.921882E-04   0.138409E+01
    15   0.110263E+04   0.715704E-02   0.105435E-03   0.143689E+01
    16   0.111356E+04   0.681858E-02   0.119585E-03   0.151962E+01
    17   0.112671E+04   0.701984E-02   0.134641E-03   0.161328E+01
    18   0.114106E+04   0.745618E-02   0.150607E-03   0.170279E+01
    19   0.115737E+04   0.795386E-02   0.167485E-03   0.178012E+01
    20   0.117384E+04   0.846851E-02   0.185279E-03   0.183895E+01
    21   0.119075E+04   0.907532E-02   0.203991E-03   0.188717E+01
    22   0.120835E+04   0.994400E-02   0.223626E-03   0.193344E+01
    23   0.122648E+04   0.111435E-01   0.244186E-03   0.198022E+01
    24   0.124523E+04   0.126760E-01   0.265673E-03   0.202868E+01
    25   0.126443E+04   0.145480E-01   0.288091E-03   0.208097E+01
    26   0.128381E+04   0.167217E-01   0.311443E-03   0.213987E+01
    27   0.130379E+04   0.191407E-01   0.335730E-03   0.220246E+01
    28   0.132441E+04   0.217812E-01   0.360955E-03   0.226551E+01
    29   0.134547E+04   0.246551E-01   0.387120E-03   0.232500E+01
    30   0.136663E+04   0.277832E-01   0.414227E-03   0.237585E+01
    31   0.138787E+04   0.311494E-01   0.442276E-03   0.241585E+01
    32   0.140960E+04   0.347258E-01   0.471271E-03   0.244302E+01
    33   0.143189E+04   0.385239E-01   0.501211E-03   0.245377E+01
    34   0.145457E+04   0.425770E-01   0.532097E-03   0.244650E+01
    35   0.147746E+04   0.469165E-01   0.563931E-03   0.242646E+01
    36   0.150041E+04   0.515721E-01   0.596712E-03   0.239751E+01
    37   0.152350E+04   0.565340E-01   0.630440E-03   0.235515E+01
    38   0.154714E+04   0.617963E-01   0.665116E-03   0.229636E+01
    39   0.157129E+04   0.673763E-01   0.700738E-03   0.222362E+01
    40   0.159562E+04   0.733031E-01   0.737307E-03   0.214063E+01
    41   0.162017E+04   0.796038E-01   0.774822E-03   0.204969E+01
    42   0.164474E+04   0.862770E-01   0.813282E-03   0.194847E+01
    43   0.166948E+04   0.933143E-01   0.852684E-03   0.183352E+01
    44   0.169428E+04   0.100692E+00   0.893029E-03   0.170226E+01
    45   0.171952E+04   0.108399E+00   0.934315E-03   0.155219E+01
    46   0.174515E+04   0.116426E+00   0.976540E-03   0.137974E+01
    47   0.177101E+04   0.124783E+00   0.101970E-02   0.118696E+01
    48   0.179704E+04   0.133485E+00   0.106380E-02   0.979962E+00
    49   0.182331E+04   0.142527E+00   0.110883E-02   0.764260E+00
    50   0.185003E+04   0.151898E+00   0.115480E-02   0.538583E+00
    51   0.187699E+04   0.161577E+00   0.120169E-02   0.299687E+00
    52   0.190439E+04   0.171645E+00   0.124951E-02   0.420726E-01
    53   0.193186E+04   0.182242E+00   0.129826E-02  -0.238474E+00
    54   0.195931E+04   0.193353E+00   0.134794E-02  -0.538195E+00
    55   0.198697E+04   0.204946E+00   0.139853E-02  -0.853218E+00
    56   0.201504E+04   0.216874E+00   0.145005E-02  -0.118565E+01
    57   0.204347E+04   0.229030E+00   0.150249E-02  -0.153524E+01
    58   0.207226E+04   0.241429E+00   0.155585E-02  -0.190235E+01
    59   0.210127E+04   0.254115E+00   0.161013E-02  -0.228739E+01
    60   0.213051E+04   0.267147E+00   0.166532E-02  -0.268932E+01
    61   0.216030E+04   0.280623E+00   0.172144E-02  -0.310703E+01
    62   0.219004E+04   0.294522E+00   0.177846E-02  -0.354152E+01
    63   0.221996E+04   0.308797E+00   0.183641E-02  -0.399394E+01
    64   0.225036E+04   0.323454E+00   0.189527E-02  -0.446567E+01
    65   0.228089E+04   0.338457E+00   0.195505E-02  -0.495748E+01
    66   0.231184E+04   0.353736E+00   0.201574E-02  -0.546759E+01
    67   0.234303E+04   0.369293E+00   0.207736E-02  -0.599305E+01
    68   0.237472E+04   0.385174E+00   0.213989E-02  -0.653191E+01
    69   0.240667E+04   0.401343E+00   0.220334E-02  -0.708213E+01
    70   0.243898E+04   0.417845E+00   0.226772E-02  -0.764512E+01
    71   0.247148E+04   0.434670E+00   0.233302E-02  -0.822306E+01
    72   0.250424E+04   0.451783E+00   0.239925E-02  -0.881729E+01
    73   0.253722E+04   0.469138E+00   0.246641E-02  -0.942849E+01
    74   0.257048E+04   0.486714E+00   0.253450E-02  -0.100558E+02
    75   0.260418E+04   0.504508E+00   0.260353E-02  -0.106979E+02
    76   0.263826E+04   0.522512E+00   0.267349E-02  -0.113540E+02
    77   0.267277E+04   0.540722E+00   0.274440E-02  -0.120242E+02
    78   0.270773E+04   0.559168E+00   0.281626E-02  -0.127098E+02
    79   0.274293E+04   0.577800E+00   0.288906E-02  -0.134072E+02
    80   0.277846E+04   0.596628E+00   0.296283E-02  -0.141177E+02
    81   0.281421E+04   0.615605E+00   0.303755E-02  -0.148419E+02
    82   0.285027E+04   0.634745E+00   0.311323E-02  -0.155784E+02
    83   0.288657E+04   0.654012E+00   0.318988E-02  -0.163264E+02
    84   0.292323E+04   0.673394E+00   0.326751E-02  -0.170836E+02
    85   0.296011E+04   0.692857E+00   0.334611E-02  -0.178505E+02
    86   0.299731E+04   0.712404E+00   0.342570E-02  -0.186259E+02
    87   0.303504E+04   0.732002E+00   0.350628E-02  -0.194088E+02
    88   0.307285E+04   0.751664E+00   0.358785E-02  -0.201995E+02
    89   0.311111E+04   0.771373E+00   0.367042E-02  -0.209995E+02
    90   0.314964E+04   0.791092E+00   0.375400E-02  -0.218061E+02
    91   0.318838E+04   0.810810E+00   0.383859E-02  -0.226200E+02
    92   0.322746E+04   0.830509E+00   0.392419E-02  -0.234405E+02
    93   0.326689E+04   0.850177E+00   0.401082E-02  -0.242673E+02
    94   0.330645E+04   0.869774E+00   0.409847E-02  -0.250989E+02
    95   0.334635E+04   0.889294E+00   0.418716E-02  -0.259358E+02
    96   0.338630E+04   0.908720E+00   0.427688E-02  -0.267772E+02
