#    L    TT             EE             BB             TE          
     2   0.159710E+04   0.755370E-01   0.554529E-02   0.451605E+01
     3   0.147387E+04   0.120490E+00   0.629635E-02   0.548604E+01
     4   0.137364E+04   0.133154E+00   0.609464E-02   0.558675E+01
     5   0.129835E+04   0.116368E+00   0.528386E-02   0.514826E+01
     6   0.124409E+04   0.848936E-01   0.421917E-02   0.445920E+01
     7   0.120680E+04   0.535844E-01   0.317194E-02   0.370386E+01
     8   0.118204E+04   0.309671E-01   0.229975E-02   0.299351E+01
     9   0.116674E+04   0.185255E-01   0.166189E-02   0.238538E+01
    10   0.115859E+04   0.134409E-01   0.125396E-02   0.191214E+01
    11   0.115537E+04   0.118736E-01   0.103897E-02   0.158421E+01
    12   0.115724E+04   0.111273E-01   0.970291E-03   0.139959E+01
    13   0.116217E+04   0.101484E-01   0.100432E-02   0.132666E+01
    14   0.116890E+04   0.908508E-02   0.110237E-02   0.132778E+01
    15   0.117764E+04   0.831511E-02   0.124088E-02   0.137798E+01
    16   0.118877E+04   0.813406E-02   0.140227E-02   0.145671E+01
    17   0.120211E+04   0.850033E-02   0.157773E-02   0.154515E+01
    18   0.121657E+04   0.910866E-02   0.176162E-02   0.162843E+01
    19   0.123289E+04   0.978522E-02   0.195217E-02   0.169879E+01
    20   0.124930E+04   0.104857E-01   0.214869E-02   0.175017E+01
    21   0.126610E+04   0.112852E-01   0.235079E-02   0.179040E+01
    22   0.128353E+04   0.123533E-01   0.255816E-02   0.182805E+01
    23   0.130146E+04   0.137582E-01   0.277043E-02   0.186566E+01
    24   0.131998E+04   0.155012E-01   0.298722E-02   0.190451E+01
    25   0.133891E+04   0.175886E-01   0.320806E-02   0.194678E+01
    26   0.135799E+04   0.199816E-01   0.343257E-02   0.199530E+01
    27   0.137764E+04   0.226228E-01   0.366080E-02   0.204729E+01
    28   0.139788E+04   0.254882E-01   0.389284E-02   0.209964E+01
    29   0.141854E+04   0.285917E-01   0.412854E-02   0.214819E+01
    30   0.143926E+04   0.319567E-01   0.436770E-02   0.218775E+01
