#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.159709E+04   0.755344E-01   0.554267E-02   0.451605E+01   0.650889E-07   0.460304E-02  -0.214964E-04
     3   0.147386E+04   0.120485E+00   0.629111E-02   0.548604E+01   0.793348E-07   0.458326E-02  -0.261373E-04
     4   0.137362E+04   0.133145E+00   0.608590E-02   0.558675E+01   0.915047E-07   0.446786E-02  -0.260878E-04
     5   0.129833E+04   0.116355E+00   0.527075E-02   0.514826E+01   0.102070E-06   0.431572E-02  -0.227231E-04
     6   0.124405E+04   0.848752E-01   0.420081E-02   0.445920E+01   0.111286E-06   0.415065E-02  -0.172950E-04
     7   0.120675E+04   0.535599E-01   0.314746E-02   0.370386E+01   0.119395E-06   0.398642E-02  -0.110060E-04
     8   0.118198E+04   0.309356E-01   0.226825E-02   0.299352E+01   0.126567E-06   0.382566E-02  -0.494578E-05
     9   0.116666E+04   0.184861E-01   0.162250E-02   0.238539E+01   0.132950E-06   0.366788E-02   0.333992E-07
    10   0.115850E+04   0.133927E-01   0.120579E-02   0.191216E+01   0.138629E-06   0.351451E-02   0.348032E-05
    11   0.115525E+04   0.118158E-01   0.981134E-03   0.158423E+01   0.143730E-06   0.337088E-02   0.534577E-05
    12   0.115710E+04   0.110589E-01   0.901901E-03   0.139962E+01   0.148283E-06   0.323963E-02   0.577425E-05
    13   0.116201E+04   0.100686E-01   0.924484E-03   0.132670E+01   0.152349E-06   0.312077E-02   0.499056E-05
    14   0.116871E+04   0.899291E-02   0.101018E-02   0.132783E+01   0.155995E-06   0.301311E-02   0.328814E-05
    15   0.117743E+04   0.820970E-02   0.113544E-02   0.137806E+01   0.159263E-06   0.291122E-02   0.121983E-05
    16   0.118854E+04   0.801451E-02   0.128268E-02   0.145680E+01   0.162187E-06   0.281052E-02  -0.672869E-06
    17   0.120185E+04   0.836573E-02   0.144309E-02   0.154527E+01   0.164804E-06   0.271321E-02  -0.211075E-05
    18   0.121628E+04   0.895811E-02   0.161101E-02   0.162857E+01   0.167149E-06   0.262227E-02  -0.294531E-05
    19   0.123257E+04   0.961782E-02   0.178469E-02   0.169897E+01   0.169234E-06   0.253728E-02  -0.328593E-05
    20   0.124895E+04   0.103006E-01   0.196341E-02   0.175039E+01   0.171075E-06   0.245698E-02  -0.326890E-05
    21   0.126572E+04   0.110814E-01   0.214680E-02   0.179066E+01   0.172699E-06   0.238002E-02  -0.289263E-05
