#           k/h    P           
   0.100000E-03   0.696007E+03
   0.102020E-03   0.709335E+03
   0.104081E-03   0.722918E+03
   0.106184E-03   0.736762E+03
   0.108329E-03   0.750871E+03
   0.110517E-03   0.766507E+03
   0.112750E-03   0.781182E+03
   0.115027E-03   0.796139E+03
   0.117351E-03   0.811382E+03
   0.119722E-03   0.828277E+03
   0.122140E-03   0.844132E+03
   0.124608E-03   0.860290E+03
   0.127125E-03   0.876758E+03
   0.129693E-03   0.895013E+03
   0.132313E-03   0.912141E+03
   0.134986E-03   0.929597E+03
   0.137713E-03   0.947387E+03
   0.140495E-03   0.967111E+03
   0.143333E-03   0.985614E+03
   0.146228E-03   0.100447E+04
   0.149182E-03   0.102369E+04
   0.152196E-03   0.104500E+04
   0.155271E-03   0.106499E+04
   0.158407E-03   0.108536E+04
   0.161607E-03   0.110611E+04
   0.164872E-03   0.112727E+04
   0.168203E-03   0.115073E+04
   0.171601E-03   0.117273E+04
   0.175067E-03   0.119515E+04
   0.178604E-03   0.121800E+04
   0.182212E-03   0.124334E+04
   0.185893E-03   0.126710E+04
   0.189648E-03   0.129132E+04
   0.193479E-03   0.131600E+04
   0.197388E-03   0.134337E+04
   0.201375E-03   0.136904E+04
   0.205443E-03   0.139519E+04
   0.209594E-03   0.142184E+04
   0.213828E-03   0.145140E+04
   0.218147E-03   0.147912E+04
   0.222554E-03   0.150736E+04
   0.227050E-03   0.153614E+04
   0.231637E-03   0.156807E+04
   0.236316E-03   0.159800E+04
   0.241090E-03   0.162849E+04
   0.245960E-03   0.165956E+04
   0.250929E-03   0.169404E+04
   0.255998E-03   0.172635E+04
   0.261170E-03   0.175928E+04
   0.266446E-03   0.179282E+04
   0.271828E-03   0.182700E+04
   0.277319E-03   0.186493E+04
   0.282922E-03   0.190047E+04
   0.288637E-03   0.193668E+04
   0.294468E-03   0.197357E+04
   0.300417E-03   0.201452E+04
   0.306485E-03   0.205288E+04
   0.312677E-03   0.209195E+04
   0.318993E-03   0.213177E+04
   0.325437E-03   0.217597E+04
   0.332012E-03   0.221736E+04
   0.338719E-03   0.225952E+04
   0.345561E-03   0.230248E+04
   0.352542E-03   0.235018E+04
   0.359664E-03   0.239483E+04
   0.366930E-03   0.244032E+04
   0.374342E-03   0.248667E+04
   0.381904E-03   0.253813E+04
   0.389619E-03   0.258629E+04
   0.397490E-03   0.263536E+04
   0.405520E-03   0.268534E+04
   0.413712E-03   0.274085E+04
   0.422070E-03   0.279278E+04
   0.430596E-03   0.284568E+04
   0.439295E-03   0.289957E+04
   0.448169E-03   0.295446E+04
   0.457222E-03   0.301542E+04
   0.466459E-03   0.307244E+04
   0.475882E-03   0.313052E+04
   0.485496E-03   0.318967E+04
   0.495303E-03   0.325539E+04
   0.505309E-03   0.331683E+04
   0.515517E-03   0.337941E+04
   0.525931E-03   0.344313E+04
   0.536556E-03   0.351395E+04
   0.547395E-03   0.358013E+04
   0.558453E-03   0.364753E+04
   0.569734E-03   0.371615E+04
   0.581244E-03   0.379243E+04
   0.592986E-03   0.386369E+04
   0.604965E-03   0.393624E+04
   0.617186E-03   0.401011E+04
   0.629654E-03   0.409223E+04
   0.642374E-03   0.416892E+04
   0.655350E-03   0.424699E+04
   0.668589E-03   0.432647E+04
   0.682096E-03   0.440738E+04
   0.695875E-03   0.449733E+04
   0.709933E-03   0.458129E+04
   0.724274E-03   0.466676E+04
   0.738906E-03   0.475375E+04
   0.753832E-03   0.485049E+04
   0.769061E-03   0.494073E+04
   0.784597E-03   0.503258E+04
   0.800447E-03   0.512605E+04
   0.816617E-03   0.523003E+04
   0.833114E-03   0.532697E+04
   0.849944E-03   0.542560E+04
