#    L    TT             EE             TE             PP             TP          
     2   0.149164E+04   0.720999E-01   0.443520E+01   0.135070E+07   0.429155E+05
     3   0.138973E+04   0.116171E+00   0.556034E+01   0.208362E+07   0.509886E+05
     4   0.129518E+04   0.128637E+00   0.570987E+01   0.273436E+07   0.547572E+05
     5   0.122230E+04   0.112281E+00   0.528036E+01   0.330954E+07   0.562325E+05
     6   0.116917E+04   0.815803E-01   0.458222E+01   0.381752E+07   0.564160E+05
     7   0.113235E+04   0.511141E-01   0.381121E+01   0.426809E+07   0.558858E+05
     8   0.110775E+04   0.292136E-01   0.308492E+01   0.466928E+07   0.549141E+05
     9   0.109239E+04   0.172778E-01   0.246350E+01   0.502811E+07   0.536396E+05
    10   0.108406E+04   0.124800E-01   0.197985E+01   0.534936E+07   0.521774E+05
    11   0.108062E+04   0.110202E-01   0.164497E+01   0.563902E+07   0.506718E+05
    12   0.108237E+04   0.102571E-01   0.145645E+01   0.589930E+07   0.492106E+05
    13   0.108723E+04   0.918229E-02   0.138219E+01   0.613341E+07   0.478289E+05
    14   0.109385E+04   0.798177E-02   0.138415E+01   0.634481E+07   0.465346E+05
    15   0.110243E+04   0.705163E-02   0.143696E+01   0.653569E+07   0.452624E+05
    16   0.111333E+04   0.669903E-02   0.151971E+01   0.670797E+07   0.439542E+05
    17   0.112645E+04   0.688524E-02   0.161340E+01   0.686363E+07   0.426534E+05
    18   0.114077E+04   0.730564E-02   0.170294E+01   0.700444E+07   0.414154E+05
    19   0.115705E+04   0.778646E-02   0.178030E+01   0.713130E+07   0.402401E+05
    20   0.117349E+04   0.828335E-02   0.183916E+01   0.724505E+07   0.391132E+05
    21   0.119037E+04   0.887149E-02   0.188742E+01   0.734710E+07   0.380174E+05
    22   0.120793E+04   0.972058E-02   0.193374E+01   0.743884E+07   0.369410E+05
    23   0.122602E+04   0.108996E-01   0.198058E+01   0.752097E+07   0.358986E+05
    24   0.124474E+04   0.124107E-01   0.202910E+01   0.759403E+07   0.349049E+05
    25   0.126390E+04   0.142604E-01   0.208146E+01   0.765880E+07   0.339516E+05
    26   0.128324E+04   0.164109E-01   0.214043E+01   0.771607E+07   0.330291E+05
    27   0.130319E+04   0.188056E-01   0.220310E+01   0.776648E+07   0.321460E+05
    28   0.132377E+04   0.214211E-01   0.226623E+01   0.781051E+07   0.313119E+05
    29   0.134479E+04   0.242690E-01   0.232581E+01   0.784828E+07   0.305213E+05
    30   0.136590E+04   0.273703E-01   0.237677E+01   0.787992E+07   0.297654E+05
    31   0.138710E+04   0.307087E-01   0.241687E+01   0.790615E+07   0.290363E+05
    32   0.140879E+04   0.342564E-01   0.244416E+01   0.792772E+07   0.283272E+05
    33   0.143104E+04   0.380249E-01   0.245503E+01   0.794492E+07   0.276339E+05
    34   0.145367E+04   0.420476E-01   0.244789E+01   0.795794E+07   0.269548E+05
    35   0.147652E+04   0.463558E-01   0.242798E+01   0.796707E+07   0.262962E+05
    36   0.149942E+04   0.509792E-01   0.239918E+01   0.797261E+07   0.256654E+05
    37   0.152246E+04   0.559081E-01   0.235698E+01   0.797481E+07   0.250654E+05
    38   0.154606E+04   0.611364E-01   0.229834E+01   0.797389E+07   0.244966E+05
    39   0.157017E+04   0.666817E-01   0.222577E+01   0.797003E+07   0.239538E+05
    40   0.159444E+04   0.725729E-01   0.214294E+01   0.796338E+07   0.234302E+05
    41   0.161895E+04   0.788371E-01   0.205217E+01   0.795409E+07   0.229205E+05
    42   0.164347E+04   0.854731E-01   0.195114E+01   0.794233E+07   0.224242E+05
    43   0.166816E+04   0.924725E-01   0.183637E+01   0.792827E+07   0.219418E+05
    44   0.169291E+04   0.998119E-01   0.170529E+01   0.791207E+07   0.214743E+05
    45   0.171810E+04   0.107479E+00   0.155540E+01   0.789391E+07   0.210223E+05
    46   0.174368E+04   0.115466E+00   0.138315E+01   0.787393E+07   0.205861E+05
    47   0.176949E+04   0.123781E+00   0.119056E+01   0.785227E+07   0.201635E+05
    48   0.179547E+04   0.132442E+00   0.983753E+00   0.782903E+07   0.197522E+05
    49   0.182168E+04   0.141442E+00   0.768241E+00   0.780433E+07   0.193495E+05
    50   0.184835E+04   0.150769E+00   0.542752E+00   0.777829E+07   0.189528E+05
    51   0.187526E+04   0.160404E+00   0.304041E+00   0.775101E+07   0.185608E+05
    52   0.190260E+04   0.170428E+00   0.466068E-01   0.772258E+07   0.181763E+05
    53   0.193002E+04   0.180980E+00  -0.233765E+00   0.769305E+07   0.178034E+05
    54   0.195742E+04   0.192046E+00  -0.533318E+00   0.766252E+07   0.174461E+05
    55   0.198503E+04   0.203593E+00  -0.848181E+00   0.763104E+07   0.171083E+05
    56   0.201305E+04   0.215474E+00  -0.118047E+01   0.759868E+07   0.167926E+05
    57   0.204142E+04   0.227583E+00  -0.152991E+01   0.756550E+07   0.164957E+05
    58   0.207015E+04   0.239935E+00  -0.189690E+01   0.753154E+07   0.162127E+05
    59   0.209911E+04   0.252573E+00  -0.228183E+01   0.749684E+07   0.159388E+05
    60   0.212830E+04   0.265557E+00  -0.268366E+01   0.746144E+07   0.156691E+05
    61   0.215803E+04   0.278983E+00  -0.310129E+01   0.742539E+07   0.153999E+05
    62   0.218771E+04   0.292833E+00  -0.353572E+01   0.738875E+07   0.151314E+05
    63   0.221758E+04   0.307059E+00  -0.398810E+01   0.735160E+07   0.148648E+05
    64   0.224793E+04   0.321665E+00  -0.445981E+01   0.731399E+07   0.146016E+05
    65   0.227840E+04   0.336619E+00  -0.495163E+01   0.727599E+07   0.143429E+05
    66   0.230929E+04   0.351848E+00  -0.546177E+01   0.723767E+07   0.140900E+05
    67   0.234042E+04   0.367354E+00  -0.598729E+01   0.719905E+07   0.138435E+05
    68   0.237206E+04   0.383184E+00  -0.652624E+01   0.716019E+07   0.136040E+05
    69   0.240395E+04   0.399302E+00  -0.707659E+01   0.712110E+07   0.133719E+05
    70   0.243621E+04   0.415752E+00  -0.763974E+01   0.708181E+07   0.131480E+05
    71   0.246866E+04   0.432526E+00  -0.821786E+01   0.704236E+07   0.129325E+05
    72   0.250136E+04   0.449588E+00  -0.881233E+01   0.700276E+07   0.127252E+05
    73   0.253428E+04   0.466892E+00  -0.942379E+01   0.696301E+07   0.125255E+05
    74   0.256750E+04   0.484415E+00  -0.100514E+02   0.692312E+07   0.123329E+05
    75   0.260114E+04   0.502158E+00  -0.106938E+02   0.688309E+07   0.121470E+05
    76   0.263517E+04   0.520110E+00  -0.113504E+02   0.684294E+07   0.119670E+05
    77   0.266962E+04   0.538268E+00  -0.120210E+02   0.680269E+07   0.117918E+05
    78   0.270453E+04   0.556662E+00  -0.127071E+02   0.676236E+07   0.116199E+05
    79   0.273968E+04   0.575243E+00  -0.134050E+02   0.672198E+07   0.114499E+05
    80   0.277516E+04   0.594020E+00  -0.141162E+02   0.668158E+07   0.112804E+05
    81   0.281086E+04   0.612945E+00  -0.148410E+02   0.664119E+07   0.111106E+05
    82   0.284687E+04   0.632032E+00  -0.155782E+02   0.660082E+07   0.109411E+05
    83   0.288313E+04   0.651248E+00  -0.163270E+02   0.656050E+07   0.107734E+05
    84   0.291974E+04   0.670579E+00  -0.170850E+02   0.652024E+07   0.106088E+05
    85   0.295657E+04   0.689990E+00  -0.178528E+02   0.648007E+07   0.104484E+05
    86   0.299372E+04   0.709485E+00  -0.186291E+02   0.643999E+07   0.102934E+05
    87   0.303141E+04   0.729032E+00  -0.194130E+02   0.640002E+07   0.101435E+05
    88   0.306918E+04   0.748642E+00  -0.202048E+02   0.636017E+07   0.999842E+04
    89   0.310740E+04   0.768300E+00  -0.210060E+02   0.632045E+07   0.985758E+04
    90   0.314589E+04   0.787968E+00  -0.218138E+02   0.628087E+07   0.972057E+04
    91   0.318459E+04   0.807634E+00  -0.226290E+02   0.624145E+07   0.958702E+04
    92   0.322364E+04   0.827281E+00  -0.234508E+02   0.620217E+07   0.945675E+04
    93   0.326303E+04   0.846898E+00  -0.242791E+02   0.616306E+07   0.932968E+04
