#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.149164E+04   0.443520E+01   0.460304E-02   0.443520E+01   0.720999E-01  -0.214964E-04   0.460304E-02  -0.214964E-04   0.650889E-07
     3   0.138973E+04   0.556034E+01   0.458326E-02   0.556034E+01   0.116171E+00  -0.261373E-04   0.458326E-02  -0.261373E-04   0.793348E-07
     4   0.129518E+04   0.570987E+01   0.446786E-02   0.570987E+01   0.128637E+00  -0.260878E-04   0.446786E-02  -0.260878E-04   0.915047E-07
     5   0.122230E+04   0.528036E+01   0.431572E-02   0.528036E+01   0.112281E+00  -0.227231E-04   0.431572E-02  -0.227231E-04   0.102070E-06
     6   0.116917E+04   0.458222E+01   0.415065E-02   0.458222E+01   0.815803E-01  -0.172950E-04   0.415065E-02  -0.172950E-04   0.111286E-06
     7   0.113235E+04   0.381121E+01   0.398642E-02   0.381121E+01   0.511141E-01  -0.110060E-04   0.398642E-02  -0.110060E-04   0.119395E-06
     8   0.110775E+04   0.308492E+01   0.382566E-02   0.308492E+01   0.292136E-01  -0.494578E-05   0.382566E-02  -0.494578E-05   0.126567E-06
     9   0.109239E+04   0.246350E+01   0.366788E-02   0.246350E+01   0.172778E-01   0.333992E-07   0.366788E-02   0.333992E-07   0.132950E-06
    10   0.108406E+04   0.197985E+01   0.351451E-02   0.197985E+01   0.124800E-01   0.348032E-05   0.351451E-02   0.348032E-05   0.138629E-06
    11   0.108062E+04   0.164497E+01   0.337088E-02   0.164497E+01   0.110202E-01   0.534577E-05   0.337088E-02   0.534577E-05   0.143730E-06
    12   0.108237E+04   0.145645E+01   0.323959E-02   0.145645E+01   0.102571E-01   0.577517E-05   0.323959E-02   0.577517E-05   0.148283E-06
    13   0.108723E+04   0.138219E+01   0.312077E-02   0.138219E+01   0.918229E-02   0.499056E-05   0.312077E-02   0.499056E-05   0.152349E-06
    14   0.109385E+04   0.138415E+01   0.301308E-02   0.138415E+01   0.798177E-02   0.328926E-05   0.301308E-02   0.328926E-05   0.155995E-06
    15   0.110243E+04   0.143696E+01   0.291122E-02   0.143696E+01   0.705163E-02   0.121983E-05   0.291122E-02   0.121983E-05   0.159263E-06
    16   0.111333E+04   0.151971E+01   0.281053E-02   0.151971E+01   0.669903E-02  -0.672961E-06   0.281053E-02  -0.672961E-06   0.162187E-06
    17   0.112645E+04   0.161340E+01   0.271321E-02   0.161340E+01   0.688524E-02  -0.211075E-05   0.271321E-02  -0.211075E-05   0.164804E-06
    18   0.114077E+04   0.170294E+01   0.262226E-02   0.170294E+01   0.730564E-02  -0.294574E-05   0.262226E-02  -0.294574E-05   0.167148E-06
    19   0.115705E+04   0.178030E+01   0.253728E-02   0.178030E+01   0.778646E-02  -0.328593E-05   0.253728E-02  -0.328593E-05   0.169234E-06
    20   0.117349E+04   0.183916E+01   0.245698E-02   0.183916E+01   0.828335E-02  -0.326865E-05   0.245698E-02  -0.326865E-05   0.171075E-06
    21   0.119037E+04   0.188742E+01   0.238002E-02   0.188742E+01   0.887149E-02  -0.289263E-05   0.238002E-02  -0.289263E-05   0.172699E-06
    22   0.120793E+04   0.193374E+01   0.230548E-02   0.193374E+01   0.972058E-02  -0.217269E-05   0.230548E-02  -0.217269E-05   0.174134E-06
    23   0.122602E+04   0.198058E+01   0.223407E-02   0.198058E+01   0.108996E-01  -0.132645E-05   0.223407E-02  -0.132645E-05   0.175391E-06
    24   0.124474E+04   0.202910E+01   0.216657E-02   0.202910E+01   0.124107E-01  -0.602596E-06   0.216657E-02  -0.602596E-06   0.176480E-06
    25   0.126390E+04   0.208146E+01   0.210235E-02   0.208146E+01   0.142604E-01  -0.171326E-06   0.210235E-02  -0.171326E-06   0.177417E-06
    26   0.128324E+04   0.214043E+01   0.204068E-02   0.214043E+01   0.164109E-01  -0.122422E-06   0.204068E-02  -0.122422E-06   0.178215E-06
    27   0.130319E+04   0.220310E+01   0.198203E-02   0.220310E+01   0.188056E-01  -0.302527E-06   0.198203E-02  -0.302527E-06   0.178887E-06
    28   0.132377E+04   0.226623E+01   0.192691E-02   0.226623E+01   0.214211E-01  -0.530803E-06   0.192691E-02  -0.530803E-06   0.179443E-06
    29   0.134479E+04   0.232581E+01   0.187492E-02   0.232581E+01   0.242690E-01  -0.759624E-06   0.187492E-02  -0.759624E-06   0.179882E-06
    30   0.136590E+04   0.237677E+01   0.182543E-02   0.237677E+01   0.273703E-01  -0.984272E-06   0.182543E-02  -0.984272E-06   0.180206E-06
    31   0.138710E+04   0.241687E+01   0.177794E-02   0.241687E+01   0.307087E-01  -0.123845E-05   0.177794E-02  -0.123845E-05   0.180430E-06
    32   0.140879E+04   0.244416E+01   0.173198E-02   0.244416E+01   0.342564E-01  -0.153635E-05   0.173198E-02  -0.153635E-05   0.180569E-06
    33   0.143104E+04   0.245503E+01   0.168726E-02   0.245503E+01   0.380249E-01  -0.177571E-05   0.168726E-02  -0.177571E-05   0.180629E-06
    34   0.145367E+04   0.244789E+01   0.164366E-02   0.244789E+01   0.420476E-01  -0.184375E-05   0.164366E-02  -0.184375E-05   0.180612E-06
    35   0.147652E+04   0.242798E+01   0.160154E-02   0.242798E+01   0.463558E-01  -0.170198E-05   0.160154E-02  -0.170198E-05   0.180524E-06
    36   0.149942E+04   0.239918E+01   0.156131E-02   0.239918E+01   0.509792E-01  -0.136682E-05   0.156131E-02  -0.136682E-05   0.180371E-06
    37   0.152246E+04   0.235698E+01   0.152314E-02   0.235698E+01   0.559081E-01  -0.100017E-05   0.152314E-02  -0.100017E-05   0.180157E-06
    38   0.154606E+04   0.229834E+01   0.148703E-02   0.229834E+01   0.611364E-01  -0.756888E-06   0.148703E-02  -0.756888E-06   0.179887E-06
    39   0.157017E+04   0.222577E+01   0.145265E-02   0.222577E+01   0.666817E-01  -0.618309E-06   0.145265E-02  -0.618309E-06   0.179563E-06
    40   0.159444E+04   0.214294E+01   0.141957E-02   0.214294E+01   0.725729E-01  -0.522386E-06   0.141957E-02  -0.522386E-06   0.179189E-06
    41   0.161895E+04   0.205217E+01   0.138745E-02   0.205217E+01   0.788371E-01  -0.420409E-06   0.138745E-02  -0.420409E-06   0.178767E-06
    42   0.164347E+04   0.195114E+01   0.135625E-02   0.195114E+01   0.854731E-01  -0.317032E-06   0.135625E-02  -0.317032E-06   0.178301E-06
    43   0.166816E+04   0.183637E+01   0.132600E-02   0.183637E+01   0.924725E-01  -0.230247E-06   0.132600E-02  -0.230247E-06   0.177793E-06
    44   0.169291E+04   0.170529E+01   0.129674E-02   0.170529E+01   0.998119E-01  -0.178046E-06   0.129674E-02  -0.178046E-06   0.177246E-06
    45   0.171810E+04   0.155540E+01   0.126851E-02   0.155540E+01   0.107479E+00  -0.178422E-06   0.126851E-02  -0.178422E-06   0.176665E-06
    46   0.174368E+04   0.138315E+01   0.124130E-02   0.138315E+01   0.115466E+00  -0.242830E-06   0.124130E-02  -0.242830E-06   0.176051E-06
    47   0.176949E+04   0.119056E+01   0.121499E-02   0.119056E+01   0.123781E+00  -0.356584E-06   0.121499E-02  -0.356584E-06   0.175408E-06
    48   0.179547E+04   0.983753E+00   0.118943E-02   0.983753E+00   0.132442E+00  -0.498458E-06   0.118943E-02  -0.498458E-06   0.174737E-06
    49   0.182168E+04   0.768241E+00   0.116445E-02   0.768241E+00   0.141442E+00  -0.647229E-06   0.116445E-02  -0.647229E-06   0.174041E-06
    50   0.184835E+04   0.542752E+00   0.113990E-02   0.542752E+00   0.150769E+00  -0.781673E-06   0.113990E-02  -0.781673E-06   0.173321E-06
    51   0.187526E+04   0.304041E+00   0.111568E-02   0.304041E+00   0.160404E+00  -0.884580E-06   0.111568E-02  -0.884580E-06   0.172581E-06
    52   0.190260E+04   0.466068E-01   0.109197E-02   0.466068E-01   0.170428E+00  -0.954800E-06   0.109197E-02  -0.954800E-06   0.171820E-06
    53   0.193002E+04  -0.233765E+00   0.106899E-02  -0.233765E+00   0.180980E+00  -0.995196E-06   0.106899E-02  -0.995196E-06   0.171041E-06
    54   0.195742E+04  -0.533318E+00   0.104700E-02  -0.533318E+00   0.192046E+00  -0.100863E-05   0.104700E-02  -0.100863E-05   0.170246E-06
    55   0.198503E+04  -0.848181E+00   0.102621E-02  -0.848181E+00   0.203593E+00  -0.997970E-06   0.102621E-02  -0.997970E-06   0.169434E-06
    56   0.201305E+04  -0.118047E+01   0.100680E-02  -0.118047E+01   0.215474E+00  -0.966545E-06   0.100680E-02  -0.966545E-06   0.168608E-06
    57   0.204142E+04  -0.152991E+01   0.988535E-03  -0.152991E+01   0.227583E+00  -0.919569E-06   0.988535E-03  -0.919569E-06   0.167769E-06
    58   0.207015E+04  -0.189690E+01   0.971143E-03  -0.189690E+01   0.239935E+00  -0.862721E-06   0.971143E-03  -0.862721E-06   0.166916E-06
    59   0.209911E+04  -0.228183E+01   0.954325E-03  -0.228183E+01   0.252573E+00  -0.801685E-06   0.954325E-03  -0.801685E-06   0.166052E-06
    60   0.212830E+04  -0.268366E+01   0.937789E-03  -0.268366E+01   0.265557E+00  -0.742142E-06   0.937789E-03  -0.742142E-06   0.165176E-06
    61   0.215803E+04  -0.310129E+01   0.921306E-03  -0.310129E+01   0.278983E+00  -0.688898E-06   0.921306E-03  -0.688898E-06   0.164290E-06
    62   0.218771E+04  -0.353572E+01   0.904889E-03  -0.353572E+01   0.292833E+00  -0.643268E-06   0.904889E-03  -0.643268E-06   0.163394E-06
    63   0.221758E+04  -0.398810E+01   0.888615E-03  -0.398810E+01   0.307059E+00  -0.605688E-06   0.888615E-03  -0.605688E-06   0.162490E-06
    64   0.224793E+04  -0.445981E+01   0.872558E-03  -0.445981E+01   0.321665E+00  -0.576599E-06   0.872558E-03  -0.576599E-06   0.161580E-06
    65   0.227840E+04  -0.495163E+01   0.856797E-03  -0.495163E+01   0.336619E+00  -0.556438E-06   0.856797E-03  -0.556438E-06   0.160665E-06
    66   0.230929E+04  -0.546177E+01   0.841397E-03  -0.546177E+01   0.351848E+00  -0.546128E-06   0.841397E-03  -0.546128E-06   0.159745E-06
    67   0.234042E+04  -0.598729E+01   0.826400E-03  -0.598729E+01   0.367354E+00  -0.548520E-06   0.826400E-03  -0.548520E-06   0.158822E-06
    68   0.237206E+04  -0.652624E+01   0.811837E-03  -0.652624E+01   0.383184E+00  -0.566950E-06   0.811837E-03  -0.566950E-06   0.157896E-06
    69   0.240395E+04  -0.707659E+01   0.797740E-03  -0.707659E+01   0.399302E+00  -0.604754E-06   0.797740E-03  -0.604754E-06   0.156968E-06
    70   0.243621E+04  -0.763974E+01   0.784141E-03  -0.763974E+01   0.415752E+00  -0.665268E-06   0.784141E-03  -0.665268E-06   0.156039E-06
    71   0.246866E+04  -0.821786E+01   0.771061E-03  -0.821786E+01   0.432526E+00  -0.748648E-06   0.771061E-03  -0.748648E-06   0.155108E-06
    72   0.250136E+04  -0.881233E+01   0.758480E-03  -0.881233E+01   0.449588E+00  -0.842341E-06   0.758480E-03  -0.842341E-06   0.154176E-06
    73   0.253428E+04  -0.942379E+01   0.746366E-03  -0.942379E+01   0.466892E+00  -0.930615E-06   0.746366E-03  -0.930615E-06   0.153243E-06
    74   0.256750E+04  -0.100514E+02   0.734690E-03  -0.100514E+02   0.484415E+00  -0.997738E-06   0.734690E-03  -0.997738E-06   0.152310E-06
