#    L    TT             EE             BB             TE          
     2   0.105445E+03   0.343450E-02   0.554267E-02   0.808431E-01
     3   0.841269E+02   0.431378E-02   0.629111E-02  -0.743014E-01
     4   0.784399E+02   0.450870E-02   0.608590E-02  -0.123121E+00
     5   0.760320E+02   0.407434E-02   0.527075E-02  -0.132094E+00
     6   0.748861E+02   0.329493E-02   0.420081E-02  -0.123023E+00
     7   0.743932E+02   0.244583E-02   0.314746E-02  -0.107347E+00
     8   0.742276E+02   0.172203E-02   0.226825E-02  -0.914028E-01
     9   0.742668E+02   0.120837E-02   0.162250E-02  -0.781141E-01
    10   0.744344E+02   0.912715E-03   0.120579E-02  -0.676961E-01
    11   0.746248E+02   0.795579E-03   0.981134E-03  -0.607392E-01
    12   0.747253E+02   0.801892E-03   0.901901E-03  -0.568322E-01
    13   0.747794E+02   0.886262E-03   0.924484E-03  -0.554931E-01
    14   0.748614E+02   0.101114E-02   0.101018E-02  -0.563153E-01
    15   0.750036E+02   0.115806E-02   0.113544E-02  -0.589059E-01
    16   0.752089E+02   0.131548E-02   0.128268E-02  -0.629120E-01
    17   0.754030E+02   0.148049E-02   0.144309E-02  -0.681287E-01
    18   0.755104E+02   0.165247E-02   0.161101E-02  -0.743635E-01
    19   0.755268E+02   0.183136E-02   0.178469E-02  -0.813249E-01
    20   0.754670E+02   0.201721E-02   0.196341E-02  -0.887717E-01
    21   0.753484E+02   0.220993E-02   0.214680E-02  -0.967614E-01
    22   0.751866E+02   0.240929E-02   0.233454E-02  -0.105384E+00
    23   0.749865E+02   0.261464E-02   0.252625E-02  -0.114557E+00
    24   0.747505E+02   0.282524E-02   0.272155E-02  -0.124173E+00
    25   0.744823E+02   0.304052E-02   0.291997E-02  -0.134194E+00
    26   0.741838E+02   0.325983E-02   0.312112E-02  -0.144573E+00
    27   0.738497E+02   0.348213E-02   0.332507E-02  -0.155169E+00
    28   0.734751E+02   0.370697E-02   0.353189E-02  -0.165870E+00
    29   0.730657E+02   0.393667E-02   0.374142E-02  -0.176805E+00
    30   0.726292E+02   0.417351E-02   0.395347E-02  -0.188104E+00
    31   0.721713E+02   0.441696E-02   0.416789E-02  -0.199692E+00
    32   0.716952E+02   0.466561E-02   0.438455E-02  -0.211452E+00
    33   0.711952E+02   0.491728E-02   0.460331E-02  -0.223324E+00
    34   0.706661E+02   0.517028E-02   0.482388E-02  -0.235263E+00
    35   0.701113E+02   0.542551E-02   0.504554E-02  -0.247250E+00
    36   0.695355E+02   0.568430E-02   0.526767E-02  -0.259264E+00
