#    L    TT             EE             BB             TE          
     2   0.159709E+04   0.755344E-01   0.554267E-02   0.451605E+01
     3   0.147386E+04   0.120485E+00   0.629111E-02   0.548604E+01
     4   0.137362E+04   0.133145E+00   0.608590E-02   0.558675E+01
     5   0.129833E+04   0.116355E+00   0.527075E-02   0.514826E+01
     6   0.124405E+04   0.848752E-01   0.420081E-02   0.445920E+01
     7   0.120675E+04   0.535599E-01   0.314746E-02   0.370386E+01
     8   0.118198E+04   0.309356E-01   0.226825E-02   0.299352E+01
     9   0.116666E+04   0.184861E-01   0.162250E-02   0.238539E+01
    10   0.115850E+04   0.133927E-01   0.120579E-02   0.191216E+01
    11   0.115525E+04   0.118158E-01   0.981134E-03   0.158423E+01
    12   0.115710E+04   0.110589E-01   0.901901E-03   0.139962E+01
    13   0.116201E+04   0.100686E-01   0.924484E-03   0.132670E+01
    14   0.116871E+04   0.899291E-02   0.101018E-02   0.132783E+01
    15   0.117743E+04   0.820970E-02   0.113544E-02   0.137806E+01
    16   0.118854E+04   0.801451E-02   0.128268E-02   0.145680E+01
    17   0.120185E+04   0.836573E-02   0.144309E-02   0.154527E+01
    18   0.121628E+04   0.895811E-02   0.161101E-02   0.162857E+01
    19   0.123257E+04   0.961782E-02   0.178469E-02   0.169897E+01
    20   0.124895E+04   0.103006E-01   0.196341E-02   0.175039E+01
    21   0.126572E+04   0.110814E-01   0.214680E-02   0.179066E+01
    22   0.128311E+04   0.121299E-01   0.233454E-02   0.182836E+01
    23   0.130101E+04   0.135142E-01   0.252625E-02   0.186602E+01
    24   0.131949E+04   0.152359E-01   0.272155E-02   0.190493E+01
    25   0.133839E+04   0.173009E-01   0.291997E-02   0.194726E+01
    26   0.135743E+04   0.196707E-01   0.312112E-02   0.199585E+01
    27   0.137704E+04   0.222878E-01   0.332507E-02   0.204793E+01
    28   0.139724E+04   0.251281E-01   0.353189E-02   0.210036E+01
    29   0.141785E+04   0.282057E-01   0.374142E-02   0.214901E+01
    30   0.143853E+04   0.315438E-01   0.395347E-02   0.218866E+01
    31   0.145927E+04   0.351257E-01   0.416789E-02   0.221718E+01
    32   0.148048E+04   0.389220E-01   0.438455E-02   0.223271E+01
    33   0.150223E+04   0.429422E-01   0.460331E-02   0.223170E+01
    34   0.152433E+04   0.472179E-01   0.482388E-02   0.221263E+01
    35   0.154663E+04   0.517814E-01   0.504554E-02   0.218073E+01
    36   0.156896E+04   0.566635E-01   0.526767E-02   0.213992E+01
    37   0.159140E+04   0.618551E-01   0.549058E-02   0.208571E+01
    38   0.161439E+04   0.673499E-01   0.571459E-02   0.201513E+01
    39   0.163786E+04   0.731648E-01   0.593922E-02   0.193068E+01
    40   0.166148E+04   0.793281E-01   0.616381E-02   0.183605E+01
    41   0.168531E+04   0.858659E-01   0.638775E-02   0.173355E+01
    42   0.170914E+04   0.927769E-01   0.661077E-02   0.162088E+01
    43   0.173312E+04   0.100053E+00   0.683265E-02   0.149460E+01
    44   0.175715E+04   0.107670E+00   0.705321E-02   0.135214E+01
    45   0.178159E+04   0.115615E+00   0.727224E-02   0.119104E+01
    46   0.180642E+04   0.123882E+00   0.748951E-02   0.100774E+01
