#    L    TT             EE             BB             TE          
     2   0.148842E+04   0.719435E-01   0.261069E-05   0.442522E+01
     3   0.138676E+04   0.115924E+00   0.522225E-05   0.554803E+01
     4   0.129244E+04   0.128368E+00   0.870567E-05   0.569738E+01
     5   0.121974E+04   0.112054E+00   0.130621E-04   0.526891E+01
     6   0.116675E+04   0.814248E-01   0.182929E-04   0.457236E+01
     7   0.113004E+04   0.510301E-01   0.243998E-04   0.380304E+01
     8   0.110551E+04   0.291833E-01   0.313847E-04   0.307834E+01
     9   0.109021E+04   0.172807E-01   0.392496E-04   0.245827E+01
    10   0.108193E+04   0.125020E-01   0.479971E-04   0.197566E+01
    11   0.107852E+04   0.110550E-01   0.576294E-04   0.164150E+01
    12   0.108030E+04   0.103043E-01   0.681494E-04   0.145338E+01
    13   0.108518E+04   0.924297E-02   0.795600E-04   0.137928E+01
    14   0.109182E+04   0.805721E-02   0.918640E-04   0.138123E+01
    15   0.110041E+04   0.714228E-02   0.105065E-03   0.143393E+01
    16   0.111132E+04   0.680449E-02   0.119165E-03   0.151650E+01
    17   0.112444E+04   0.700539E-02   0.134168E-03   0.160998E+01
    18   0.113878E+04   0.744087E-02   0.150077E-03   0.169931E+01
    19   0.115505E+04   0.793750E-02   0.166896E-03   0.177649E+01
    20   0.117150E+04   0.845112E-02   0.184627E-03   0.183520E+01
    21   0.118838E+04   0.905667E-02   0.203274E-03   0.188333E+01
    22   0.120595E+04   0.992357E-02   0.222840E-03   0.192951E+01
    23   0.122405E+04   0.111207E-01   0.243327E-03   0.197621E+01
    24   0.124277E+04   0.126501E-01   0.264740E-03   0.202457E+01
    25   0.126194E+04   0.145183E-01   0.287079E-03   0.207677E+01
    26   0.128128E+04   0.166877E-01   0.310349E-03   0.213555E+01
    27   0.130123E+04   0.191017E-01   0.334551E-03   0.219802E+01
    28   0.132181E+04   0.217370E-01   0.359687E-03   0.226094E+01
    29   0.134283E+04   0.246051E-01   0.385760E-03   0.232031E+01
    30   0.136396E+04   0.277271E-01   0.412772E-03   0.237107E+01
    31   0.138516E+04   0.310866E-01   0.440723E-03   0.241100E+01
    32   0.140685E+04   0.346558E-01   0.469615E-03   0.243813E+01
    33   0.142910E+04   0.384464E-01   0.499450E-03   0.244885E+01
    34   0.145174E+04   0.424915E-01   0.530228E-03   0.244160E+01
    35   0.147460E+04   0.468225E-01   0.561950E-03   0.242160E+01
    36   0.149750E+04   0.514688E-01   0.594616E-03   0.239272E+01
    37   0.152055E+04   0.564211E-01   0.628226E-03   0.235044E+01
    38   0.154415E+04   0.616730E-01   0.662780E-03   0.229176E+01
    39   0.156826E+04   0.672420E-01   0.698278E-03   0.221918E+01
