#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.158646E+04   0.751363E-01   0.515581E-02   0.450026E+01   0.649569E-07   0.459376E-02  -0.214491E-04
     3   0.146500E+04   0.119933E+00   0.585369E-02   0.547882E+01   0.791755E-07   0.457409E-02  -0.260806E-04
     4   0.136541E+04   0.132557E+00   0.566403E-02   0.558276E+01   0.913222E-07   0.445897E-02  -0.260316E-04
     5   0.129047E+04   0.115834E+00   0.490631E-02   0.514594E+01   0.101867E-06   0.430717E-02  -0.226745E-04
     6   0.123641E+04   0.844749E-01   0.391103E-02   0.445783E+01   0.111067E-06   0.414246E-02  -0.172582E-04
     7   0.119924E+04   0.532839E-01   0.293091E-02   0.370311E+01   0.119160E-06   0.397859E-02  -0.109826E-04
     8   0.117455E+04   0.307563E-01   0.211272E-02   0.299324E+01   0.126319E-06   0.381818E-02  -0.493517E-05
     9   0.115928E+04   0.183677E-01   0.151174E-02   0.238554E+01   0.132690E-06   0.366073E-02   0.335443E-07
    10   0.115114E+04   0.133050E-01   0.112393E-02   0.191263E+01   0.138359E-06   0.350767E-02   0.347326E-05
    11   0.114791E+04   0.117395E-01   0.914932E-03   0.158495E+01   0.143451E-06   0.336434E-02   0.533485E-05
    12   0.114976E+04   0.109843E-01   0.841355E-03   0.140048E+01   0.147996E-06   0.323336E-02   0.576246E-05
    13   0.115467E+04   0.999043E-02   0.862609E-03   0.132763E+01   0.152054E-06   0.311474E-02   0.498039E-05
    14   0.116137E+04   0.890893E-02   0.942662E-03   0.132883E+01   0.155694E-06   0.300730E-02   0.328146E-05
    15   0.117007E+04   0.811790E-02   0.105958E-02   0.137912E+01   0.158956E-06   0.290561E-02   0.121737E-05
    16   0.118116E+04   0.791291E-02   0.119699E-02   0.145798E+01   0.161875E-06   0.280512E-02  -0.671467E-06
    17   0.119444E+04   0.825281E-02   0.134669E-02   0.154661E+01   0.164487E-06   0.270800E-02  -0.210641E-05
    18   0.120884E+04   0.883288E-02   0.150340E-02   0.163016E+01   0.166828E-06   0.261725E-02  -0.293926E-05
    19   0.122511E+04   0.947966E-02   0.166548E-02   0.170088E+01   0.168910E-06   0.253243E-02  -0.327920E-05
    20   0.124147E+04   0.101490E-01   0.183228E-02   0.175268E+01   0.170748E-06   0.245229E-02  -0.326222E-05
    21   0.125822E+04   0.109158E-01   0.200343E-02   0.179340E+01   0.172369E-06   0.237548E-02  -0.288673E-05
    22   0.127560E+04   0.119493E-01   0.217865E-02   0.183159E+01   0.173802E-06   0.230108E-02  -0.216795E-05
    23   0.129348E+04   0.133176E-01   0.235758E-02   0.186978E+01   0.175057E-06   0.222981E-02  -0.132370E-05
    24   0.131195E+04   0.150222E-01   0.253986E-02   0.190924E+01   0.176145E-06   0.216245E-02  -0.601234E-06
    25   0.133084E+04   0.170691E-01   0.272506E-02   0.195215E+01   0.177079E-06   0.209835E-02  -0.170883E-06
    26   0.134986E+04   0.194200E-01   0.291282E-02   0.200133E+01   0.177877E-06   0.203681E-02  -0.122292E-06
    27   0.136947E+04   0.220175E-01   0.310318E-02   0.205400E+01   0.178548E-06   0.197828E-02  -0.301843E-06
    28   0.138966E+04   0.248377E-01   0.329623E-02   0.210702E+01   0.179103E-06   0.192327E-02  -0.529624E-06
    29   0.141027E+04   0.278943E-01   0.349182E-02   0.215628E+01   0.179542E-06   0.187137E-02  -0.758047E-06
    30   0.143094E+04   0.312105E-01   0.368976E-02   0.219659E+01   0.179866E-06   0.182198E-02  -0.982212E-06
    31   0.145168E+04   0.347696E-01   0.388993E-02   0.222581E+01   0.180089E-06   0.177458E-02  -0.123592E-05
    32   0.147289E+04   0.385423E-01   0.409219E-02   0.224209E+01   0.180228E-06   0.172871E-02  -0.153329E-05
    33   0.149463E+04   0.425384E-01   0.429640E-02   0.224186E+01   0.180288E-06   0.168408E-02  -0.177213E-05
    34   0.151673E+04   0.467893E-01   0.450230E-02   0.222359E+01   0.180272E-06   0.164057E-02  -0.184007E-05
    35   0.153903E+04   0.513273E-01   0.470922E-02   0.219254E+01   0.180184E-06   0.159853E-02  -0.169855E-05
