#           k/h    P           
   0.100000E-03   0.694379E+03
   0.102020E-03   0.707679E+03
   0.104081E-03   0.721232E+03
   0.106184E-03   0.735046E+03
   0.108329E-03   0.749125E+03
   0.110517E-03   0.764723E+03
   0.112750E-03   0.779367E+03
   0.115027E-03   0.794291E+03
   0.117351E-03   0.809501E+03
   0.119722E-03   0.826356E+03
   0.122140E-03   0.842176E+03
   0.124608E-03   0.858300E+03
   0.127125E-03   0.874732E+03
   0.129693E-03   0.892943E+03
   0.132313E-03   0.910035E+03
   0.134986E-03   0.927453E+03
   0.137713E-03   0.945205E+03
   0.140495E-03   0.964882E+03
   0.143333E-03   0.983346E+03
   0.146228E-03   0.100216E+04
   0.149182E-03   0.102134E+04
   0.152196E-03   0.104260E+04
   0.155271E-03   0.106254E+04
   0.158407E-03   0.108287E+04
   0.161607E-03   0.110358E+04
   0.164872E-03   0.112469E+04
   0.168203E-03   0.114809E+04
   0.171601E-03   0.117005E+04
   0.175067E-03   0.119242E+04
   0.178604E-03   0.121523E+04
   0.182212E-03   0.124051E+04
   0.185893E-03   0.126422E+04
   0.189648E-03   0.128838E+04
   0.193479E-03   0.131301E+04
   0.197388E-03   0.134032E+04
   0.201375E-03   0.136593E+04
   0.205443E-03   0.139203E+04
   0.209594E-03   0.141862E+04
   0.213828E-03   0.144812E+04
   0.218147E-03   0.147577E+04
   0.222554E-03   0.150396E+04
   0.227050E-03   0.153268E+04
   0.231637E-03   0.156453E+04
   0.236316E-03   0.159439E+04
   0.241090E-03   0.162482E+04
   0.245960E-03   0.165583E+04
   0.250929E-03   0.169023E+04
   0.255998E-03   0.172248E+04
   0.261170E-03   0.175533E+04
   0.266446E-03   0.178880E+04
   0.271828E-03   0.182291E+04
   0.277319E-03   0.186076E+04
   0.282922E-03   0.189622E+04
   0.288637E-03   0.193235E+04
   0.294468E-03   0.196917E+04
   0.300417E-03   0.201002E+04
   0.306485E-03   0.204830E+04
   0.312677E-03   0.208730E+04
   0.318993E-03   0.212703E+04
   0.325437E-03   0.217113E+04
