#    L    TT             EE             TE             PP             TP          
     2   0.148842E+04   0.719408E-01   0.442522E+01   0.134796E+07   0.428290E+05
     3   0.138675E+04   0.115918E+00   0.554803E+01   0.207944E+07   0.508866E+05
     4   0.129243E+04   0.128359E+00   0.569738E+01   0.272891E+07   0.546482E+05
     5   0.121971E+04   0.112041E+00   0.526891E+01   0.330298E+07   0.561211E+05
     6   0.116671E+04   0.814065E-01   0.457236E+01   0.380998E+07   0.563048E+05
     7   0.112999E+04   0.510057E-01   0.380305E+01   0.425970E+07   0.557760E+05
     8   0.110545E+04   0.291519E-01   0.307835E+01   0.466013E+07   0.548067E+05
     9   0.109013E+04   0.172415E-01   0.245828E+01   0.501828E+07   0.535350E+05
    10   0.108183E+04   0.124540E-01   0.197568E+01   0.533894E+07   0.520758E+05
    11   0.107841E+04   0.109974E-01   0.164152E+01   0.562806E+07   0.505735E+05
    12   0.108016E+04   0.102361E-01   0.145341E+01   0.588786E+07   0.491153E+05
    13   0.108502E+04   0.916342E-02   0.137932E+01   0.612154E+07   0.477366E+05
    14   0.109163E+04   0.796536E-02   0.138129E+01   0.633256E+07   0.464449E+05
    15   0.110020E+04   0.703724E-02   0.143400E+01   0.652309E+07   0.451753E+05
    16   0.111109E+04   0.668535E-02   0.151659E+01   0.669506E+07   0.438697E+05
    17   0.112418E+04   0.687127E-02   0.161009E+01   0.685044E+07   0.425716E+05
    18   0.113849E+04   0.729086E-02   0.169946E+01   0.699100E+07   0.413361E+05
    19   0.115473E+04   0.777069E-02   0.177666E+01   0.711765E+07   0.401633E+05
    20   0.117115E+04   0.826661E-02   0.183542E+01   0.723119E+07   0.390386E+05
    21   0.118800E+04   0.885356E-02   0.188359E+01   0.733307E+07   0.379449E+05
    22   0.120553E+04   0.970094E-02   0.192982E+01   0.742466E+07   0.368707E+05
    23   0.122359E+04   0.108776E-01   0.197656E+01   0.750664E+07   0.358303E+05
    24   0.124228E+04   0.123857E-01   0.202499E+01   0.757958E+07   0.348385E+05
    25   0.126141E+04   0.142317E-01   0.207725E+01   0.764424E+07   0.338872E+05
    26   0.128072E+04   0.163779E-01   0.213611E+01   0.770142E+07   0.329664E+05
    27   0.130063E+04   0.187679E-01   0.219866E+01   0.775175E+07   0.320851E+05
    28   0.132117E+04   0.213782E-01   0.226166E+01   0.779572E+07   0.312527E+05
    29   0.134215E+04   0.242204E-01   0.232113E+01   0.783343E+07   0.304636E+05
    30   0.136323E+04   0.273156E-01   0.237198E+01   0.786503E+07   0.297091E+05
    31   0.138439E+04   0.306474E-01   0.241202E+01   0.789122E+07   0.289814E+05
    32   0.140604E+04   0.341881E-01   0.243926E+01   0.791277E+07   0.282737E+05
    33   0.142825E+04   0.379492E-01   0.245011E+01   0.792994E+07   0.275818E+05
    34   0.145084E+04   0.419640E-01   0.244298E+01   0.794296E+07   0.269040E+05
    35   0.147366E+04   0.462638E-01   0.242312E+01   0.795209E+07   0.262467E+05
    36   0.149651E+04   0.508780E-01   0.239438E+01   0.795762E+07   0.256171E+05
    37   0.151952E+04   0.557973E-01   0.235226E+01   0.795983E+07   0.250183E+05
    38   0.154307E+04   0.610154E-01   0.229374E+01   0.795892E+07   0.244506E+05
    39   0.156713E+04   0.665499E-01   0.222131E+01   0.795508E+07   0.239088E+05
    40   0.159136E+04   0.724296E-01   0.213865E+01   0.794846E+07   0.233863E+05
